34153417 | Association | COVID-19 | MIR340
22016621 | Negative_Correlation | Diabetes Mellitus Type 2 | rs2237895
22016621 | Association | Diabetes Mellitus Type 2 | KCNQ1
38400096 | Association | IFNG | CD8A
36602861 | Association | TCF7 | CD8A
38612743 | Cotreatment | lenvatinib | pembrolizumab
38612743 | Negative_Correlation | pembrolizumab | Spinocerebellar Degenerations
38612743 | Negative_Correlation | lenvatinib | Spinocerebellar Degenerations
38612743 | Negative_Correlation | lenvatinib | Endometrial Neoplasms
38612743 | Negative_Correlation | pembrolizumab | Endometrial Neoplasms
38612743 | Association | Endometrial Neoplasms | KRT20
38612743 | Association | Endometrial Neoplasms | CD8A
38612743 | Association | KRT20 | CD8A
38612743 | Association | lenvatinib | Neoplasms
35751199 | Association | COVID-19 | EEF1A1
35751199 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | Asthma
35751199 | Association | Asthma | NPM1
35751199 | Association | Asthma | DDX5
35751199 | Association | Asthma | UBA52
35751199 | Association | Asthma | SRSF1
35751199 | Association | COVID-19 | DDX5
35751199 | Association | Asthma | ITGB1
35751199 | Association | Asthma | PXN
35751199 | Association | Asthma | CCR5
35751199 | Association | Asthma | FN1
35751199 | Association | Asthma | IL1A
35751199 | Association | COVID-19 | EGR1
35751199 | Association | COVID-19 | IL1A
35751199 | Association | COVID-19 | IRF8
35751199 | Association | Asthma | EEF1A1
35751199 | Association | Asthma | IRF8
35751199 | Negative_Correlation | Wortmannin | Asthma
35751199 | Association | Asthma | VEGFA
35751199 | Association | Asthma | EIF4E
35751199 | Association | COVID-19 | VEGFA
35751199 | Association | Asthma | EGR1
35751199 | Association | Asthma | XPO1
35751199 | Association | COVID-19 | UBA52
26399853 | Association | Xpo1 | Kpna2
31557508 | Bind | Ccl4 | Ccr5
31557508 | Bind | Ccr5 | Ccl3
31557508 | Negative_Correlation | Maraviroc | Cocaine
31557508 | Association | Cocaine | Cxcr4
31557508 | Positive_Correlation | Cocaine | Ccr5
31557508 | Association | Cocaine | Ccr2
31557508 | Negative_Correlation | Maraviroc | Ccr5
31557508 | Association | Dopamine | Ccr5
31557508 | Bind | Ccr5 | Ccl5
31557508 | Association | Cocaine-Related Disorders | Ccr5
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Pneumonia Pneumocystis
38297382 | Negative_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | HIV Infections
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Pneumonia Bacterial
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Candidiasis Oral
38297382 | Negative_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Skin Diseases
38297382 | Positive_Correlation | Trimethoprim Sulfamethoxazole Drug Combination | Respiratory Tract Infections
37456838 | Association | Infertility | Kpna2
37456838 | Association | Deafness Cataract Retinitis Pigmentosa And Sperm Abnormalities | Kpna2
33239672 | Positive_Correlation | Abortion Spontaneous | rs146350366
33239672 | Positive_Correlation | Abortion Spontaneous | rs143445068
33239672 | Positive_Correlation | Abortion Spontaneous | rs7859844
33239672 | Positive_Correlation | Abortion Spontaneous | rs183453668
33239672 | Association | Abortion Spontaneous | NAV2
38642547 | Positive_Correlation | Obesity | CD8A
38642547 | Positive_Correlation | Obesity | IFNG
38642547 | Positive_Correlation | Obesity | IL2
34260965 | Positive_Correlation | COVID-19 | CXCR4
34260965 | Association | Inflammation | CXCR4
37733267 | Association | Hif1a | LDHA
37733267 | Association | Liver Cirrhosis | CTNNB1
37733267 | Association | CTNNB1 | TNPO1
37733267 | Association | TNPO1 | LDHA
37733267 | Association | Liver Cirrhosis | LDHA
37733267 | Negative_Correlation | XAV939 | Ctnnb1
37733267 | Association | Ldha | WNT3A
37733267 | Positive_Correlation | CTNNB1 | LDHA
37733267 | Positive_Correlation | LDHA | WNT3A
37733267 | Association | TCF4 | WNT3A
37733267 | Association | Liver Cirrhosis | Ldha
37733267 | Association | HIF1A | LDHA
37733267 | Association | Liver Cirrhosis | Hif1a
37733267 | Association | Liver Cirrhosis | Ctnnb1
37733267 | Association | LDHA | TCF4
37733267 | Negative_Correlation | XAV939 | Liver Cirrhosis
37105172 | Positive_Correlation | Tauopathies | Ccr5
37105172 | Positive_Correlation | Ccr5 | Ccl5
37105172 | Positive_Correlation | Huntington Disease | Ccr5
37105172 | Association | Neurodegenerative Diseases | Ccr5
12364547 | Association | 1-(carboxymethylthio)tetradecane | Mapk1
12364547 | Negative_Correlation | 1-(carboxymethylthio)tetradecane | Fos
12364547 | Association | 1-(carboxymethylthio)tetradecane | Fatty Acids
12364547 | Association | 1-(carboxymethylthio)tetradecane | Mapk3
12364547 | Negative_Correlation | 1-(carboxymethylthio)tetradecane | Prkca
36793857 | Association | Cerebral Infarction | Klrb1c
36793857 | Negative_Correlation | Inflammation | Klrb1c
36793857 | Association | Cerebral Infarction | Cd4
36793857 | Association | Brain Ischemia | Ccr5
36793857 | Negative_Correlation | Inflammation | Cd4
36426967 | Association | Inflammation | Ccr1
36426967 | Association | Inflammation | Ccr5
36426967 | Association | Inflammation | Ccr2
36426967 | Association | Inflammation | Ccr3
38579682 | Association | HIV Infections | CXCR4
38579682 | Association | HIV Infections | CCR5
37516020 | Association | Ventilator-Induced Lung Injury | Ipo7
37516020 | Negative_Correlation | Ventilator-Induced Lung Injury | Ocln
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Il1b
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Tnf
37516020 | Positive_Correlation | Winter Shortland Temple syndrome | Il1b
37516020 | Negative_Correlation | Winter Shortland Temple syndrome | Ipo7
37516020 | Positive_Correlation | Winter Shortland Temple syndrome | Tnf
37516020 | Negative_Correlation | Ventilator-Induced Lung Injury | Tjp1
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Il6
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Cldn2
37516020 | Positive_Correlation | Winter Shortland Temple syndrome | Il6
28829991 | Positive_Correlation | Fatty Acids | Colorectal Neoplasms
28829991 | Negative_Correlation | Fatty Acids Unsaturated | Colorectal Neoplasms
28829991 | Positive_Correlation | Fatty Acids | Inflammation
28829991 | Positive_Correlation | stearic acid | Colorectal Neoplasms
28829991 | Positive_Correlation | Arachidonic Acid | Colorectal Neoplasms
37418541 | Negative_Correlation | Maraviroc | Neurocognitive Disorders
37418541 | Association | AIDS-Associated Nephropathy | CCR5
37418541 | Association | Neurocognitive Disorders | CCR5
37418541 | Negative_Correlation | MEC protocol 1 | Cognition Disorders
37418541 | Negative_Correlation | Maraviroc | AIDS-Associated Nephropathy
37418541 | Association | Inflammation | CCR5
37418541 | Negative_Correlation | Maraviroc | CCR5
31520166 | Association | PLIN2 | PRDM11
31520166 | Association | PLIN2 | MAP1LC3A
31520166 | Association | PLIN2 | ALOX15
31520166 | Association | Stomach Neoplasms | IPO7
31520166 | Association | PLIN2 | ACSL3
31520166 | Association | Stomach Neoplasms | PLIN2
31520166 | Association | Stomach Neoplasms | PRDM11
31520166 | Association | Stomach Neoplasms | ACSL3
31520166 | Association | Stomach Neoplasms | MAP1LC3A
31520166 | Association | Stomach Neoplasms | ALOX15
31520166 | Association | IPO7 | PLIN2
31520166 | Association | Obesity | PLIN2
36252122 | Association | Atherosclerosis | Cxcr3
36252122 | Positive_Correlation | Abca1 | Bcl2
36252122 | Association | Cholesterol | Abca1
36252122 | Association | Abca1 | Bcl2l1
36252122 | Positive_Correlation | Abca1 | Ifng
36252122 | Association | Atherosclerosis | Ifng
36252122 | Association | Atherosclerosis | Trav6-3
36252122 | Association | Atherosclerosis | Bcl2l1
36252122 | Positive_Correlation | Abca1 | Cxcr3
36252122 | Positive_Correlation | Abca1 | Ccr5
36252122 | Association | Cholesterol | Apoa1
36252122 | Positive_Correlation | Abca1 | Apoa1
36252122 | Association | Atherosclerosis | Bcl2
36252122 | Association | Abca1 | Il2
36252122 | Association | Abca1 | Ldlr
36252122 | Negative_Correlation | Ccr5 | Ldlr
36252122 | Positive_Correlation | Abca1 | Abcg1
36252122 | Association | Atherosclerosis | Abca1
36252122 | Positive_Correlation | Abca1 | Trav6-3
36252122 | Association | Atherosclerosis | Ccr5
36252122 | Association | Cxcr3 | Ldlr
36252122 | Association | Atherosclerosis | Cd4
34649567 | Association | Carcinoma Hepatocellular | GLI1
34649567 | Association | Neoplasm Metastasis | TOP1
34649567 | Cotreatment | Camptothecin | Oligonucleotides Antisense
34649567 | Negative_Correlation | Camptothecin | TOP1
34649567 | Negative_Correlation | Oligonucleotides Antisense | TOP1
34649567 | Negative_Correlation | Camptothecin | Neoplasms
34649567 | Association | GLI1 | TOP1
30745319 | Association | Down Syndrome | DYRK1A
30745319 | Association | Down Syndrome | SH2D2A
30745319 | Association | DSCAM | IPO5
30745319 | Association | Down Syndrome | STAT3
30745319 | Association | IPO5 | DSCAML1
30745319 | Association | Down Syndrome | DSCAM
30745319 | Association | Intellectual Disability | DSCAM
30745319 | Association | Down Syndrome | USP21
36189286 | Association | Fatigue Syndrome Chronic | CXCL8
36189286 | Association | Fatigue Syndrome Chronic | CD8A
36189286 | Association | Post-Acute COVID-19 Syndrome | IL1B
36189286 | Association | Post-Acute COVID-19 Syndrome | CXCL8
36189286 | Association | Post-Acute COVID-19 Syndrome | TP53
36189286 | Association | Fatigue Syndrome Chronic | IL1B
36189286 | Association | Fatigue Syndrome Chronic | TP53
36189286 | Association | Post-Acute COVID-19 Syndrome | CD8A
31325559 | Association | Cycloheximide | Melatonin
31325559 | Association | Melatonin | ST13
31325559 | Positive_Correlation | Hypoxia Brain | NEDD4
31325559 | Association | NEDD4 | NPM1
31325559 | Association | Hypoxia Brain | OTOF
31325559 | Association | Melatonin | RPL35
31325559 | Association | Hypoxia Brain | ST13
31325559 | Association | Melatonin | RPS7
31325559 | Association | Melatonin | NPM1
31325559 | Association | RPL35 | NEDD4
31325559 | Association | Melatonin | OTOF
31325559 | Negative_Correlation | Melatonin | Hypoxia Brain
31325559 | Association | NEDD4 | RPS7
31325559 | Association | Hypoxia Brain | SF3B2
31325559 | Negative_Correlation | Melatonin | NEDD4
31325559 | Association | Hypoxia Brain | MX2
31325559 | Association | Melatonin | IPO5
31325559 | Association | Hypoxia Brain | IPO5
31325559 | Association | Hypoxia Brain | MX1
31325559 | Association | Melatonin | SF3B2
31325559 | Association | Melatonin | FGFR3
31325559 | Negative_Correlation | Cycloheximide | NEDD4
31325559 | Association | Hypoxia Brain | FGFR3
31325559 | Association | Melatonin | MX2
31325559 | Association | Melatonin | MX1
27780205 | Association | IL27 | STAT1
27780205 | Negative_Correlation | STAT1 | STAT2
27780205 | Association | IL6 | STAT1
27780205 | Positive_Correlation | HLA-C | IFNG
34625540 | Association | Klf4 | Ipo13
17143267 | Bind | DPPA3 | IPO5
37243169 | Association | Arginine | CXCR4
37243169 | Association | Aspartic Acid | CXCR4
37243169 | Bind | env | CXCR4
37243169 | Association | Glutamic Acid | CXCR4
37243169 | Bind | ITIH4 | CXCR4
35318325 | Association | COVID-19 | SLC6A20
35318325 | Association | COVID-19 | CCR5
35318325 | Association | COVID-19 | CCR9
35318325 | Association | COVID-19 | CXCR6
37432596 | Association | Inflammation | Fbxw7
37432596 | Negative_Correlation | Kpna2 | Fbxw7
37432596 | Association | Fbxw7 | Irf3
37432596 | Association | Inflammation | Rela
37432596 | Positive_Correlation | Lipopolysaccharides | Inflammation
37432596 | Association | Lipopolysaccharides | Kpna2
37432596 | Association | Atherosclerosis | Mul1
37432596 | Association | Vascular Diseases | Irf3
37432596 | Association | Atherosclerosis | Irf3
37432596 | Negative_Correlation | Rela | Fbxw7
37432596 | Association | Kpna2 | Irf3
37432596 | Association | Vascular Diseases | Rela
37432596 | Association | Vascular Diseases | Kpna2
37432596 | Association | Inflammation | Irf3
37432596 | Positive_Correlation | Atherosclerosis | Kpna2
37432596 | Association | Vascular Diseases | Fbxw7
37432596 | Association | Kpna2 | Mul1
37432596 | Association | Inflammation | Kpna2
37432596 | Association | Inflammation | KPNA2
37432596 | Association | Lipopolysaccharides | KPNA2
37432596 | Association | Kpna2 | Rela
37432596 | Association | Atherosclerosis | Fbxw7
38131168 | Negative_Correlation | selinexor | Pancreatic Neoplasms
38131168 | Association | Gemcitabine | Xpo1
38131168 | Association | Carcinoma Pancreatic Ductal | XPO1
38131168 | Negative_Correlation | Neoplasms | Foxo3
38131168 | Negative_Correlation | Gemcitabine | Carcinoma Pancreatic Ductal
38131168 | Association | Neoplasms | Akt1
38131168 | Association | Neoplasms | Chil3
38131168 | Negative_Correlation | selinexor | Neoplasms
33973712 | Association | DDX10 | IMP4
33973712 | Positive_Correlation | Lung Neoplasms | DDX10
33973712 | Association | Lung Neoplasms | IMP4
31698677 | Positive_Correlation | IGHE | CXCR4
31698677 | Association | Mastocytosis | CD34
31698677 | Positive_Correlation | CCR5 | IGHE
22682551 | Positive_Correlation | Amiodarone | rs10919035
22682551 | Positive_Correlation | Amiodarone | rs10800397
22682551 | Positive_Correlation | Long QT Syndrome | rs10800397
22682551 | Positive_Correlation | Long QT Syndrome | rs10919035
22682551 | Association | Arrhythmias Cardiac | NOS1AP
22682551 | Association | Long QT Syndrome | NOS1AP
22682551 | Positive_Correlation | Amiodarone | Long QT Syndrome
22682551 | Association | Amiodarone | NOS1AP
34710339 | Association | Inflammation | S100A12
34710339 | Association | Inflammation | AGER
38065227 | Association | IMPA1 | NEIL3
38065227 | Bind | IMPA1 | NEIL1
25250856 | Association | Ischemia | XPO7
25250856 | Association | XPO7 | STK11
25250856 | Association | Ischemia | STK11
37541772 | Association | Carcinoma Pancreatic Ductal | Cxcl1
37541772 | Association | Carcinoma Pancreatic Ductal | Nfkb1
37541772 | Positive_Correlation | Leukemia Myeloid | CRIP1
37541772 | Association | Neoplasms | Rela
37541772 | Association | Carcinoma Pancreatic Ductal | Cxcl5
37541772 | Negative_Correlation | INCB057643 | Cxcr1
37541772 | Association | Carcinoma Pancreatic Ductal | Crip1
37541772 | Association | Carcinoma Pancreatic Ductal | Cxcl15
37541772 | Positive_Correlation | Crip1 | Rela
37541772 | Association | CRIP1 | RELA
37541772 | Association | Neoplasms | CRIP1
37541772 | Positive_Correlation | Crip1 | Cd274
37541772 | Positive_Correlation | CRIP1 | CXCL5
37541772 | Association | Neoplasms | Cd274
37541772 | Association | CRIP1 | Nfkb1
37541772 | Association | Neoplasms | Crip1
37541772 | Association | Carcinoma Pancreatic Ductal | CRIP1
37541772 | Association | INCB057643 | Crip1
37541772 | Association | Crip1 | Nfkb1
37541772 | Negative_Correlation | INCB057643 | Neoplasms
37541772 | Association | Carcinoma Pancreatic Ductal | Rela
37541772 | Negative_Correlation | INCB057643 | Cxcr2
37541772 | Positive_Correlation | CRIP1 | CXCL1
37541772 | Negative_Correlation | INCB057643 | Cd274
38570500 | Association | FOXO1 | XPO1
38570500 | Negative_Correlation | selinexor | Obesity
38570500 | Negative_Correlation | selinexor | XPO1
38570500 | Association | IPO7 | FOXO1
38570500 | Association | FOXO1 | RANBP2
38570500 | Positive_Correlation | selinexor | FOXO1
29465311 | Association | Obesity | C1QBP
29465311 | Association | Diabetes Mellitus | C1QBP
29465311 | Negative_Correlation | ACACA | MOGS
29465311 | Association | Lipids | Diabetes Mellitus
29465311 | Association | Obesity | MOGS
29465311 | Negative_Correlation | C1QBP | MOGS
29465311 | Association | Diabetes Mellitus | MOGS
29465311 | Association | Fatty Acids | C1QBP
29465311 | Negative_Correlation | SREBF1 | MOGS
29465311 | Negative_Correlation | FASN | MOGS
29465311 | Association | Glucose | C1QBP
29465311 | Association | Lipids | Obesity
29465311 | Association | Lipids | MOGS
29465311 | Association | Lipids | C1QBP
26585299 | Association | Ipo7 | Skp2
26585299 | Association | Coro1a | Gja8
26585299 | Association | Gja8 | Mul1
26585299 | Association | Cdkn1b | Gja8
26585299 | Association | Gja8 | Skp2
38570506 | Association | Crebbp | Kmt2d
38570506 | Association | Lymphoma | Kmt2d
38570506 | Association | Lymphoma | Crebbp
28607102 | Association | Cd8a | Clec9a
28607102 | Association | Atherosclerosis | Il10
28607102 | Positive_Correlation | Il10 | Clec9a
28607102 | Association | Atherosclerosis | Clec9a
28607102 | Association | Hypercholesterolemia | Clec9a
28607102 | Positive_Correlation | Hypercholesterolemia | Il10
28607102 | Association | Necrosis | Clec9a
34706243 | Positive_Correlation | PDGFB | ADA2
34706243 | Association | Inosine | ADA2
34706243 | Association | Non-alcoholic Fatty Liver Disease | ADA2
34706243 | Positive_Correlation | Inflammation | ADA2
34706243 | Association | Non-alcoholic Fatty Liver Disease | PDGFB
34706243 | Positive_Correlation | Inosine | PDGFB
34706243 | Association | Liver Cirrhosis | ADA2
12517958 | Association | CIITA | XPO1
12517958 | Association | CIITA | MTG1
31388185 | Association | Colorectal Neoplasms | CD8A
31388185 | Association | Neoplasms | CD8A
33397934 | Association | Cd4 | Trav6-3
37473892 | Association | Thyroid Neoplasms | p.V600E
37473892 | Association | Thyroid Neoplasms | Pin1
37473892 | Positive_Correlation | Vemurafenib | Mapk1
37473892 | Association | Birc3 | Mir20a
37473892 | Negative_Correlation | Vemurafenib | Thyroid Neoplasms
37473892 | Association | Akt1 | Pin1
37473892 | Negative_Correlation | Birc3 | Pin1
37473892 | Negative_Correlation | Birc3 | Erbb3
37473892 | Negative_Correlation | Vemurafenib | Birc3
37473892 | Positive_Correlation | Vemurafenib | Akt1
37473892 | Association | Erbb3 | Mapk1
37473892 | Negative_Correlation | Braf | Birc3
37473892 | Negative_Correlation | Vemurafenib | Neoplasms
37473892 | Association | Mir20a | Xpo5
37473892 | Association | Braf | Pin1
37473892 | Positive_Correlation | Birc3 | Xpo5
37473892 | Association | Thyroid Neoplasms | Braf
37473892 | Negative_Correlation | Thyroid Neoplasms | Birc3
37473892 | Negative_Correlation | Vemurafenib | Braf
37473892 | Negative_Correlation | Akt1 | Birc3
37473892 | Association | Akt1 | Erbb3
37473892 | Association | Neoplasms | Pin1
37473892 | Association | Thyroid Neoplasms | BRAF
34054793 | Association | Glucose | Neoplasms
36803516 | Association | Inflammation | C5AR1
36803516 | Association | COVID-19 | ORF1ab
36803516 | Association | Inflammation | CCR5
36803516 | Negative_Correlation | Polyphenols | Inflammation
36803516 | Negative_Correlation | Polyphenols | COVID-19
36803516 | Association | COVID-19 | C5AR1
11046145 | Negative_Correlation | trichostatin A | CIITA
11046145 | Association | CREBBP | CIITA
11046145 | Association | IFNG | CIITA
11046145 | Positive_Correlation | CIITA | KAT2B
37718001 | Negative_Correlation | Maraviroc | CCR5
37718001 | Negative_Correlation | vicriviroc | CCR5
11570581 | Association | Glioma | Cd8b
11570581 | Negative_Correlation | Cd8a | Cd247
11570581 | Negative_Correlation | Cd8a | Lat
11570581 | Association | Glioma | Cd8a
25832805 | Association | dimethylacetamide | zinc hydroxide
38311121 | Negative_Correlation | Acriflavine | HIF1A
38311121 | Positive_Correlation | Tgfb1 | HIF1A
38311121 | Negative_Correlation | Acriflavine | Tgfb1
38311121 | Association | Liver Failure | Tgfb1
38311121 | Association | Hif1a | Tgfb1
38311121 | Bind | Cxcr4 | ITIH4
38311121 | Positive_Correlation | Mapk1 | ITIH4
38311121 | Positive_Correlation | Akt1 | ITIH4
38311121 | Positive_Correlation | Liver Failure | ITIH4
38311121 | Association | Ccr5 | ITIH4
38311121 | Association | Liver Failure | Hif1a
38311121 | Positive_Correlation | Tgfb1 | ITIH4
38311121 | Positive_Correlation | Hif1a | ITIH4
36051697 | Association | COVID-19 | NFIA
36051697 | Association | COVID-19 | SPRY4
36051697 | Association | COVID-19 | ACTN1
36051697 | Association | COVID-19 | FMN1
36051697 | Association | COVID-19 | MNS1
36051697 | Association | COVID-19 | MMP27
36051697 | Association | COVID-19 | SEMA6D
36051697 | Association | COVID-19 | ADGRL3
36051697 | Association | COVID-19 | PDS5B
36051697 | Association | COVID-19 | TENM3
36051697 | Association | COVID-19 | RSU1
36120598 | Association | Esophageal Neoplasms | IPO5
36120598 | Association | Esophageal Neoplasms | MAPK1
36120598 | Association | Neoplasms | IPO5
36120598 | Association | IPO5 | MAPK1
37499788 | Association | COVID-19 | rs1870377
37499788 | Association | COVID-19 | rs333
37499788 | Association | COVID-19 | rs5743313
37499788 | Association | COVID-19 | KDR
37499788 | Association | COVID-19 | TLR3
37499788 | Association | COVID-19 | CCR5AS
24924195 | Association | Mapk1 | IPO7
24924195 | Association | Mapk1 | FGF10
17276916 | Association | KPNA1 | NUSAP1
17276916 | Association | IMPA1 | NUSAP1
17276916 | Association | IPO7 | NUSAP1
17276916 | Association | TPX2 | RAN
17276916 | Association | NUSAP1 | RAN
17276916 | Association | NUMA1 | RAN
33575887 | Positive_Correlation | COVID-19 | CXCL9
33575887 | Association | COVID-19 | MZB1
33575887 | Association | Histiocytosis | ITGAX
33575887 | Positive_Correlation | COVID-19 | STAT1
33575887 | Association | Histiocytosis | CD68
33575887 | Association | COVID-19 | CD8A
33575887 | Association | COVID-19 | CD163
33575887 | Positive_Correlation | COVID-19 | GZMB
33575887 | Positive_Correlation | COVID-19 | PAK1
36228659 | Association | COVID-19 | HLA-A
36228659 | Association | Infections | HLA-A
37997026 | Association | CCR5 | CXCL12
37997026 | Association | CCR5 | env
37997026 | Positive_Correlation | CXCL12 | CXCR4
37997026 | Association | CCR5 | ITIH4
37997026 | Positive_Correlation | CCR5 | CCL5
37997026 | Association | Tyrosine | CCR5
37997026 | Association | Tyrosine | CCL5
37997026 | Association | Tyrosine | CXCR4
37997026 | Positive_Correlation | CCL5 | CXCR4
37997026 | Association | Tyrosine | CXCL12
35763308 | Association | c.138C>T | Coronavirus Infections
35763308 | Association | c.138C>T | Death
35763308 | Association | Coronavirus Infections | p.V64I
35763308 | Association | c.2518A>G | Death
35763308 | Association | Death | p.V64I
35763308 | Association | c.2518A>G | Coronavirus Infections
35763308 | Positive_Correlation | c.2518A>G | COVID-19
35763308 | Association | g.55029A>G | Coronavirus Infections
35763308 | Association | Death | CCR2
35763308 | Association | Coronavirus Infections | CXCR4
35763308 | Association | Coronavirus Infections | CCL2
35763308 | Association | Coronavirus Infections | CCR2
35763308 | Association | Coronavirus Infections | CCR5
35763308 | Association | Death | CCL2
35763308 | Association | COVID-19 | CCL2
35763308 | Association | Coronavirus Infections | CXCL12
35763308 | Association | Death | CXCR4
36625336 | Positive_Correlation | Cyclophosphamide | Pancytopenia
36625336 | Negative_Correlation | Cyclophosphamide | Autoimmune Diseases
36625336 | Negative_Correlation | Cyclophosphamide | COVID-19
36625336 | Negative_Correlation | Cyclophosphamide | Multiple Sclerosis
36625336 | Negative_Correlation | Cyclophosphamide | Inflammation
33532792 | Association | Inflammation | CXCR4
33532792 | Association | COVID-19 | CXCR4
33532792 | Association | GSD IV Neuromuscular Form Fatal Perinatal | CXCR4
28448241 | Association | Prostatic Neoplasms | BRCA2
28448241 | Association | Neoplasms | BRCA1
28448241 | Association | Prostatic Neoplasms | BRCA1
28448241 | Association | Breast Neoplasms | BRCA2
