37403086 | @CHEMICAL_demethylzeylasteral | demethylzeylasteral | 30 | 19 | Chemical | chemical | demethylzeylasteral
38400850 | @DISEASE_COVID_19 | COVID-19 | 374 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_COVID_19 | COVID-19 | 527 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 673 | 2 | Disease | disease | MM
38400850 | @DISEASE_COVID_19 | COVID-19 | 700 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_COVID_19 | COVID-19 | 710 | 20 | Disease | disease | SARS-CoV-2 infection
38400850 | @DISEASE_COVID_19 | COVID-19 | 732 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_COVID_19 | COVID-19 | 769 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 857 | 2 | Disease | disease | MM
38400850 | @DISEASE_COVID_19 | COVID-19 | 1053 | 20 | Disease | disease | SARS-CoV-2 infection
38400850 | @DISEASE_COVID_19 | COVID-19 | 1078 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1121 | 2 | Disease | disease | MM
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1196 | 2 | Disease | disease | MM
38400850 | @DISEASE_COVID_19 | COVID-19 | 1237 | 8 | Disease | disease | COVID-19
38400850 | @GENE_LZTFL1 | LZTFL1 | 1283 | 6 | Gene | gene | LZTFL1
38400850 | @GENE_MUC4 | MUC4 | 1291 | 4 | Gene | gene | MUC4
38400850 | @GENE_OAS1 | OAS1 | 1297 | 4 | Gene | gene | OAS1
38400850 | @GENE_HLA_C | HLA-C | 1303 | 5 | Gene | gene | HLA-C
38400850 | @GENE_SLC22A31 | SLC22A31 | 1310 | 8 | Gene | gene | SLC22A31
38400850 | @GENE_FDX2 | FDX2 | 1320 | 4 | Gene | gene | FDX2
38400850 | @GENE_MAPT | MAPT | 1330 | 4 | Gene | gene | MAPT
38400850 | @DISEASE_COVID_19 | COVID-19 | 1356 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1387 | 2 | Disease | disease | MM
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1502 | 2 | Disease | disease | MM
38400850 | @GENE_B3GNT6 | B3GNT6 | 1580 | 6 | Gene | gene | B3GNT6
38400850 | @DISEASE_COVID_19 | COVID-19 | 1675 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1688 | 2 | Disease | disease | MM
38400850 | @DISEASE_COVID_19 | COVID-19 | 1742 | 20 | Disease | disease | SARS-CoV-2 infection
38400850 | @DISEASE_COVID_19 | COVID-19 | 1767 | 8 | Disease | disease | COVID-19
38400850 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 1824 | 2 | Disease | disease | MM
38401711 | @DISEASE_Alcoholism | Alcoholism | 85 | 20 | Disease | disease | Alcohol Use Disorder
38401711 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 128 | 21 | Disease | disease | Neurological Diseases
38401711 | @DISEASE_Alcoholism | Alcoholism | 204 | 20 | Disease | disease | Alcohol Use Disorder
38401711 | @DISEASE_Alcoholism | Alcoholism | 226 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 242 | 20 | Disease | disease | Neurological Disease
38401711 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 264 | 2 | Disease | disease | ND
38401711 | @DISEASE_Alcoholism | Alcoholism | 335 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Alcoholism | Alcoholism | 424 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Alcoholism | Alcoholism | 610 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Alcoholism | Alcoholism | 696 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 704 | 2 | Disease | disease | ND
38401711 | @DISEASE_Alcoholism | Alcoholism | 783 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 791 | 2 | Disease | disease | ND
38401711 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 918 | 12 | Disease | disease | cytotoxicity
38401711 | @GENE_CCL2 | CCL2 | 1223 | 4 | Gene | gene | CCL2
38401711 | @GENE_IL1B | IL1B | 1229 | 4 | Gene | gene | IL1B
38401711 | @GENE_MYCN | MYCN | 1239 | 4 | Gene | gene | MYCN
38401711 | @GENE_HLA_DRB1 | HLA-DRB1 | 1245 | 8 | Gene | gene | HLA-DRB1
38401711 | @GENE_SLC17A7 | SLC17A7 | 1255 | 7 | Gene | gene | SLC17A7
38401711 | @GENE_HNF4A | HNF4A | 1268 | 5 | Gene | gene | HNF4A
38401711 | @GENE_HNF4A | HNF4A | 1384 | 5 | Gene | gene | HNF4A
38401711 | @GENE_C4A | C4A | 1391 | 3 | Gene | gene | C4A
38401711 | @GENE_HLA_B | HLA-B | 1396 | 5 | Gene | gene | HLA-B
38401711 | @GENE_SNCA | SNCA | 1403 | 4 | Gene | gene | SNCA
38401711 | @GENE_HLA_DMB | HLA-DMB | 1409 | 7 | Gene | gene | HLA-DMB
38401711 | @GENE_SLC17A7 | SLC17A7 | 1418 | 7 | Gene | gene | SLC17A7
38401711 | @GENE_HLA_DRB1 | HLA-DRB1 | 1427 | 8 | Gene | gene | HLA-DRB1
38401711 | @GENE_HLA_C | HLA-C | 1437 | 5 | Gene | gene | HLA-C
38401711 | @GENE_HLA_A | HLA-A | 1444 | 5 | Gene | gene | HLA-A
38401711 | @GENE_HLA_DPB1 | HLA-DPB1 | 1455 | 8 | Gene | gene | HLA-DPB1
38401711 | @GENE_MIR449A | MIR449A | 1519 | 12 | Gene | gene | hsa-mir-449a
38401711 | @DISEASE_Alcoholism | Alcoholism | 1613 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 1621 | 2 | Disease | disease | ND
38401711 | @DISEASE_Alcoholism | Alcoholism | 1774 | 3 | Disease | disease | AUD
38401711 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 1790 | 22 | Disease | disease | neurological disorders
38424564 | @GENE_HLA_DRB1 | HLA-DRB1 | 56 | 4 | Gene | gene | DRB1
38424564 | @GENE_HLA_DQA1 | HLA-DQA1 | 62 | 4 | Gene | gene | DQA1
38424564 | @GENE_HLA_DQB1 | HLA-DQB1 | 68 | 4 | Gene | gene | DQB1
38424564 | @GENE_HLA_A | HLA-A | 172 | 3 | Gene | gene | HLA
38424564 | @GENE_HLA_A | HLA-A | 446 | 3 | Gene | gene | HLA
38424564 | @GENE_HLA_DRB1 | HLA-DRB1 | 535 | 4 | Gene | gene | DRB1
38424564 | @GENE_HLA_DQA1 | HLA-DQA1 | 541 | 4 | Gene | gene | DQA1
38424564 | @GENE_HLA_DQB1 | HLA-DQB1 | 547 | 4 | Gene | gene | DQB1
38424564 | @GENE_HLA_A | HLA-A | 949 | 5 | Gene | gene | HLA A
38424564 | @GENE_HLA_B | HLA-B | 971 | 5 | Gene | gene | HLA B
38424564 | @GENE_HLA_C | HLA-C | 993 | 5 | Gene | gene | HLA C
38424564 | @GENE_HLA_DRB1 | HLA-DRB1 | 1015 | 8 | Gene | gene | HLA DRB1
38424564 | @GENE_HLA_DQA1 | HLA-DQA1 | 1039 | 8 | Gene | gene | HLA DQA1
38424564 | @GENE_HLA_DQB1 | HLA-DQB1 | 1066 | 8 | Gene | gene | HLA DQB1
38424564 | @GENE_HLA_DRB1 | HLA-DRB1 | 1175 | 8 | Gene | gene | HLA DRB1
38424564 | @GENE_HLA_DQA1 | HLA-DQA1 | 1196 | 8 | Gene | gene | HLA DQA1
38424564 | @GENE_HLA_DQB1 | HLA-DQB1 | 1220 | 8 | Gene | gene | HLA DQB1
38424564 | @GENE_GAP43 | GAP43 | 1305 | 4 | Gene | gene | B*50
38424564 | @GENE_HLA_DRB1 | HLA-DRB1 | 1315 | 4 | Gene | gene | DRB1
38424564 | @GENE_HLA_DQA1 | HLA-DQA1 | 1323 | 4 | Gene | gene | DQA1
38424564 | @GENE_HLA_A | HLA-A | 1369 | 3 | Gene | gene | HLA
38459565 | @GENE_HLA_A | HLA-A | 1186 | 5 | Gene | gene | HLA-A
38459565 | @GENE_HLA_B | HLA-B | 1266 | 5 | Gene | gene | HLA-B
38459565 | @GENE_HLA_C | HLA-C | 1348 | 5 | Gene | gene | HLA-C
38459565 | @GENE_HLA_DRB1 | HLA-DRB1 | 1476 | 8 | Gene | gene | HLA-DRB1
38459565 | @GENE_HLA_DQB1 | HLA-DQB1 | 1562 | 8 | Gene | gene | HLA-DQB1
38459565 | @GENE_HLA_DQB1 | HLA-DQB1 | 1580 | 4 | Gene | gene | DQB1
38459565 | @GENE_HLA_DPB1 | HLA-DPB1 | 1656 | 4 | Gene | gene | DPB1
38459565 | @GENE_HLA_DPB1 | HLA-DPB1 | 1670 | 4 | Gene | gene | DPB1
38459565 | @GENE_HLA_DRB1 | HLA-DRB1 | 1886 | 5 | Gene | gene | DRB1*
38459565 | @GENE_HLA_DRB1 | HLA-DRB1 | 1999 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_A | HLA-A | 538 | 5 | Gene | gene | HLA A
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 548 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 553 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 603 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 608 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 1249 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 1254 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 1302 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 1342 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 1393 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 1463 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 1518 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 1603 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 1608 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 1653 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 2178 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 2190 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 2241 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 2324 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 2375 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 2751 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 2817 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 2949 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 3015 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 3317 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 3349 | 4 | Gene | gene | DRB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 3354 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DQB1 | HLA-DQB1 | 3467 | 4 | Gene | gene | DQB1
38462359 | @GENE_HLA_DRB1 | HLA-DRB1 | 3504 | 4 | Gene | gene | DRB1
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 74 | 14 | Disease | disease | mental illness
38469033 | @DISEASE_Mood_Disorders | Mood Disorders | 119 | 14 | Disease | disease | Mood disorders
38469033 | @DISEASE_Depressive_Disorder | Depressive Disorder | 148 | 10 | Disease | disease | depressive
38469033 | @DISEASE_Bipolar_Disorder | Bipolar Disorder | 163 | 17 | Disease | disease | bipolar disorders
38469033 | @DISEASE_Stress_Disorders_Post_Traumatic | Stress Disorders Post-Traumatic | 193 | 29 | Disease | disease | posttraumatic stress disorder
38469033 | @DISEASE_Stress_Disorders_Post_Traumatic | Stress Disorders Post-Traumatic | 224 | 4 | Disease | disease | PTSD
38469033 | @DISEASE_Schizophrenia | Schizophrenia | 231 | 13 | Disease | disease | schizophrenia
38469033 | @DISEASE_Schizophrenia | Schizophrenia | 246 | 3 | Disease | disease | SCZ
38469033 | @DISEASE_Psychotic_Disorders | Psychotic Disorders | 262 | 19 | Disease | disease | psychotic disorders
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 302 | 16 | Disease | disease | mental illnesses
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 320 | 3 | Disease | disease | SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 353 | 11 | Disease | disease | psychiatric
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 445 | 3 | Disease | disease | SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 450 | 5 | Disease | disease | H-SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 708 | 3 | Disease | disease | SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 713 | 5 | Disease | disease | H-SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 756 | 21 | Disease | disease | psychiatric disorders
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 779 | 5 | Disease | disease | H-SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 935 | 11 | Disease | disease | Psychiatric
38469033 | @DISEASE_Stress_Disorders_Post_Traumatic | Stress Disorders Post-Traumatic | 972 | 4 | Disease | disease | PTSD
38469033 | @GENE_UBD | UBD | 1194 | 11 | Gene | gene | ubiquitin D
38469033 | @GENE_UBD | UBD | 1207 | 3 | Gene | gene | UBD
38469033 | @VARIANT_rs362514 | rs362514 | 1224 | 8 | Variant | variant | rs362514
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 1289 | 5 | Disease | disease | H-SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 1327 | 21 | Disease | disease | psychiatric disorders
38469033 | @GENE_TSPAN9 | TSPAN9 | 1531 | 6 | Gene | gene | TSPAN9
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 1615 | 5 | Disease | disease | H-SMI
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 1701 | 5 | Disease | disease | H-SMI
38469033 | @DISEASE_Schizophrenia | Schizophrenia | 1775 | 3 | Disease | disease | SCZ
38469033 | @DISEASE_Mental_Disorders | Mental Disorders | 1941 | 3 | Disease | disease | SMI
38478091 | @GENE_KIR3DL1 | KIR3DL1 | 28 | 3 | Gene | gene | KIR
38478091 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 61 | 16 | Disease | disease | multiple myeloma
38478091 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 79 | 16 | Disease | disease | Multiple myeloma
38478091 | @DISEASE_Multiple_Myeloma | Multiple Myeloma | 97 | 2 | Disease | disease | MM
38478091 | @DISEASE_Hematologic_Neoplasms | Hematologic Neoplasms | 106 | 24 | Disease | disease | hematological malignancy
