24631022 | @CHEMICAL_galiellalactone | galiellalactone | 22 | 15 | Chemical | chemical | galiellalactone
26000204 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 1338 | 4 | Disease | disease | GVHD
26000204 | @GENE_CCL5 | Ccl5 | 1391 | 6 | Gene | gene | RANTES
26000204 | @GENE_CCL3 | Ccl3 | 1399 | 4 | Gene | gene | CCL3
26000204 | @GENE_CXCL9 | Cxcl9 | 1405 | 5 | Gene | gene | CXCL9
26000204 | @GENE_CCR5 | Ccr5 | 1412 | 4 | Gene | gene | CCR5
26000204 | @GENE_CXCR3 | Cxcr3 | 1421 | 5 | Gene | gene | CXCR3
26000204 | @DISEASE_Inflammation | Inflammation | 1566 | 12 | Disease | disease | inflammatory
26000204 | @GENE_STAT5A | Stat5a | 1605 | 9 | Gene | gene | STAT 5A/B
26000204 | @GENE_CCR7 | Ccr7 | 1656 | 4 | Gene | gene | CCR7
26000204 | @CHEMICAL_Nitrous_Oxide | Nitrous Oxide | 1689 | 13 | Chemical | chemical | nitrous oxide
26000204 | @DISEASE_614878 | 614878 | 2006 | 20 | Disease | disease | immune dysregulation
26331426 | @GENE_STAT3 | STAT3 | 29 | 5 | Gene | gene | Stat3
26331426 | @GENE_GCN1 | GCN1 | 51 | 4 | Gene | gene | GCN1
26331426 | @GENE_MAP1B | MAP1B | 57 | 5 | Gene | gene | MAP1B
26331426 | @GENE_HSPH1 | HSPH1 | 64 | 6 | Gene | gene | Hsp105
26331426 | @GENE_G6PD | G6PD | 72 | 4 | Gene | gene | G6PD
26331426 | @GENE_VIM | VIM | 78 | 8 | Gene | gene | Vimentin
26331426 | @GENE_TXNRD1 | TXNRD1 | 88 | 5 | Gene | gene | TrxR1
26331426 | @DISEASE_Glioma | Glioma | 171 | 6 | Disease | disease | Glioma
26331426 | @GENE_STAT3 | STAT3 | 325 | 56 | Gene | gene | signal transducer and activator of transcription (Stat)3
26331426 | @DISEASE_Glioma | Glioma | 386 | 16 | Disease | disease | malignant glioma
26331426 | @CHEMICAL_Esters | Esters | 439 | 5 | Chemical | chemical | ester
26331426 | @GENE_STAT3 | STAT3 | 575 | 5 | Gene | gene | Stat3
26331426 | @GENE_KPNA2 | KPNA2 | 649 | 24 | Gene | gene | importin subunit alpha-2
26331426 | @GENE_GCN1 | GCN1 | 719 | 4 | Gene | gene | GCN1
26331426 | @GENE_MAP1B | MAP1B | 725 | 38 | Gene | gene | microtubule-associated protein (MAP)1B
26331426 | @GENE_HSPH1 | HSPH1 | 865 | 6 | Gene | gene | Hsp105
26331426 | @GENE_VIM | VIM | 873 | 8 | Gene | gene | vimentin
26331426 | @DISEASE_Glioma | Glioma | 1075 | 6 | Disease | disease | glioma
26331426 | @DISEASE_Glioma | Glioma | 1092 | 6 | Disease | disease | glioma
26331426 | @DISEASE_Neoplasms | Neoplasms | 1109 | 5 | Disease | disease | tumor
26331426 | @GENE_STAT3 | STAT3 | 1171 | 5 | Gene | gene | Stat3
26331426 | @DISEASE_Glioma | Glioma | 1226 | 12 | Disease | disease | glioma tumor
26331426 | @GENE_STAT3 | STAT3 | 1298 | 5 | Gene | gene | Stat3
26745853 | @GENE_RUNX1 | RUNX1 | 0 | 5 | Gene | gene | RUNX1
26745853 | @GENE_RUNX1 | RUNX1 | 92 | 5 | Gene | gene | RUNX1
26745853 | @GENE_RUNX1 | RUNX1 | 98 | 4 | Gene | gene | AML1
26745853 | @DISEASE_Leukemia | Leukemia | 153 | 8 | Disease | disease | leukemia
26745853 | @DISEASE_Delayed_Cranial_Ossification_due_to_CBFB_Haploinsufficiency | Delayed Cranial Ossification due to CBFB Haploinsufficiency | 163 | 21 | Disease | disease | Haploinsufficiency of
26745853 | @GENE_RUNX1 | RUNX1 | 185 | 5 | Gene | gene | RUNX1
26745853 | @DISEASE_Platelet_Disorder_Familial_with_Associated_Myeloid_Malignancy | Platelet Disorder Familial with Associated Myeloid Malignancy | 198 | 26 | Disease | disease | familial platelet disorder
26745853 | @DISEASE_Neoplasms | Neoplasms | 248 | 20 | Disease | disease | myeloid malignancies
26745853 | @DISEASE_Platelet_Disorder_Familial_with_Associated_Myeloid_Malignancy | Platelet Disorder Familial with Associated Myeloid Malignancy | 270 | 3 | Disease | disease | FPD
26745853 | @DISEASE_Platelet_Disorder_Familial_with_Associated_Myeloid_Malignancy | Platelet Disorder Familial with Associated Myeloid Malignancy | 315 | 3 | Disease | disease | FPD
26745853 | @GENE_RUNX1 | Runx1 | 364 | 5 | Gene | gene | Runx1
26745853 | @GENE_RUNX1 | Runx1 | 595 | 5 | Gene | gene | Runx1
26745853 | @GENE_STAT3 | Stat3 | 659 | 5 | Gene | gene | STAT3
26745853 | @GENE_RUNX1 | Runx1 | 682 | 5 | Gene | gene | Runx1
26745853 | @GENE_PIAS3 | Pias3 | 742 | 5 | Gene | gene | Pias3
26745853 | @GENE_STAT3 | Stat3 | 777 | 5 | Gene | gene | STAT3
26745853 | @GENE_STAT3 | Stat3 | 832 | 5 | Gene | gene | STAT3
26745853 | @GENE_RUNX1 | Runx1 | 841 | 5 | Gene | gene | RUNX1
26745853 | @DISEASE_Platelet_Disorder_Familial_with_Associated_Myeloid_Malignancy | Platelet Disorder Familial with Associated Myeloid Malignancy | 885 | 3 | Disease | disease | FPD
26745853 | @GENE_RUNX1 | RUNX1 | 902 | 5 | Gene | gene | RUNX1
26745853 | @DISEASE_Drug_Hypersensitivity | Drug Hypersensitivity | 935 | 22 | Disease | disease | G-CSF hypersensitivity
26745853 | @GENE_RUNX1 | Runx1 | 975 | 5 | Gene | gene | Runx1
26745853 | @DISEASE_Platelet_Disorder_Familial_with_Associated_Myeloid_Malignancy | Platelet Disorder Familial with Associated Myeloid Malignancy | 1022 | 3 | Disease | disease | FPD
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 30 | 29 | Disease | disease | Diffuse Large B-Cell Lymphoma
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 224 | 29 | Disease | disease | diffuse large B-cell lymphoma
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 255 | 5 | Disease | disease | DLBCL
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 720 | 5 | Disease | disease | DLBCL
26819451 | @DISEASE_Neoplasms | Neoplasms | 740 | 5 | Disease | disease | tumor
26819451 | @GENE_KRT20 | KRT20 | 771 | 4 | Gene | gene | CD20
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 786 | 5 | Disease | disease | DLBCL
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 1145 | 5 | Disease | disease | DLBCL
26819451 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 1303 | 35 | Disease | disease | primary mediastinal B-cell lymphoma
26819451 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 1340 | 4 | Disease | disease | PMBL
26819451 | @GENE_NFKB1 | NFKB1 | 1386 | 9 | Gene | gene | NF-kappaB
26819451 | @GENE_ITPKB | ITPKB | 1481 | 5 | Gene | gene | ITPKB
26819451 | @GENE_MFHAS1 | MFHAS1 | 1488 | 6 | Gene | gene | MFHAS1
26819451 | @GENE_XPO1 | XPO1 | 1500 | 4 | Gene | gene | XPO1
26819451 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 1553 | 4 | Disease | disease | PMBL
26819451 | @GENE_TNFAIP3 | TNFAIP3 | 1568 | 7 | Gene | gene | TNFAIP3
26819451 | @GENE_GNA13 | GNA13 | 1580 | 5 | Gene | gene | GNA13
26819451 | @DISEASE_Lymphoma_Large_B_Cell_Diffuse | Lymphoma Large B-Cell Diffuse | 1809 | 5 | Disease | disease | DLBCL
26819451 | @DISEASE_Neoplasms | Neoplasms | 1948 | 6 | Disease | disease | Cancer
28455446 | @DISEASE_Neurologic_Manifestations | Neurologic Manifestations | 328 | 21 | Disease | disease | neurological symptoms
28455446 | @DISEASE_Virus_Diseases | Virus Diseases | 524 | 16 | Disease | disease | virus infections
28455446 | @DISEASE_Enterovirus_Infections | Enterovirus Infections | 650 | 14 | Disease | disease | EV71 infection
28455446 | @GENE_IFNB1 | IFNB1 | 720 | 8 | Gene | gene | IFN-beta
28455446 | @GENE_STAT1 | STAT1 | 1000 | 7 | Gene | gene | STAT1/2
28455446 | @GENE_IFNB1 | IFNB1 | 1019 | 8 | Gene | gene | IFN-beta
28455446 | @GENE_STAT1 | STAT1 | 1047 | 7 | Gene | gene | STAT1/2
28455446 | @GENE_KPNA1 | KPNA1 | 1189 | 5 | Gene | gene | KPNA1
28455446 | @GENE_KPNA1 | KPNA1 | 1284 | 5 | Gene | gene | KPNA1
28455446 | @GENE_STAT1 | STAT1 | 1336 | 5 | Gene | gene | STAT1
28455446 | @GENE_CASP3 | CASP3 | 1391 | 9 | Gene | gene | caspase-3
28455446 | @GENE_KPNA1 | KPNA1 | 1470 | 5 | Gene | gene | KPNA1
28455446 | @GENE_CASP3 | CASP3 | 1481 | 9 | Gene | gene | caspase-3
28455446 | @GENE_KPNA1 | KPNA1 | 1632 | 5 | Gene | gene | KPNA1
28455446 | @GENE_IFNB1 | IFNB1 | 1739 | 8 | Gene | gene | IFN-beta
28455446 | @GENE_KPNA1 | KPNA1 | 1856 | 5 | Gene | gene | KPNA1
28455446 | @GENE_CASP3 | CASP3 | 1875 | 9 | Gene | gene | caspase-3
28455446 | @DISEASE_Infections | Infections | 1899 | 21 | Disease | disease | enteroviral infection
28863947 | @CHEMICAL_icaritin | icaritin | 20 | 8 | Chemical | chemical | Icaritin
28863947 | @GENE_STAT3 | STAT3 | 79 | 57 | Gene | gene | signal transducer and activator of transcription factor 3
28863947 | @GENE_STAT3 | STAT3 | 138 | 6 | Gene | gene | STAT-3
28863947 | @GENE_CXCR4 | CXCR4 | 160 | 31 | Gene | gene | C-X-C chemokine receptor type 4
28863947 | @GENE_CXCR4 | CXCR4 | 193 | 5 | Gene | gene | CXCR4
28863947 | @CHEMICAL_icaritin | icaritin | 280 | 8 | Chemical | chemical | Icaritin
28863947 | @CHEMICAL_icaritin | icaritin | 290 | 3 | Chemical | chemical | ICT
28863947 | @CHEMICAL_icaritin | icaritin | 372 | 3 | Chemical | chemical | ICT
28863947 | @GENE_ATHS | ATHS | 574 | 3 | Gene | gene | ALP
28863947 | @CHEMICAL_Calcium | Calcium | 627 | 7 | Chemical | chemical | calcium
28863947 | @GENE_CXCR4 | CXCR4 | 712 | 5 | Gene | gene | CXCR4
28863947 | @GENE_CXCR4 | CXCR4 | 760 | 5 | Gene | gene | CXCR4
28863947 | @CHEMICAL_icaritin | icaritin | 822 | 3 | Chemical | chemical | ICT
28863947 | @GENE_ATHS | ATHS | 866 | 3 | Gene | gene | ALP
28863947 | @CHEMICAL_Calcium | Calcium | 883 | 7 | Chemical | chemical | calcium
28863947 | @CHEMICAL_icaritin | icaritin | 935 | 3 | Chemical | chemical | ICT
28863947 | @GENE_STAT3 | STAT3 | 966 | 6 | Gene | gene | STAT-3
28863947 | @GENE_STAT3 | STAT3 | 1047 | 6 | Gene | gene | STAT-3
28863947 | @GENE_CXCR4 | CXCR4 | 1084 | 5 | Gene | gene | CXCR4
28863947 | @GENE_CXCR4 | CXCR4 | 1108 | 5 | Gene | gene | CXCR4
28863947 | @GENE_STAT3 | STAT3 | 1175 | 6 | Gene | gene | STAT-3
28863947 | @GENE_CXCR4 | CXCR4 | 1224 | 5 | Gene | gene | CXCR4
28863947 | @GENE_STAT3 | STAT3 | 1287 | 6 | Gene | gene | STAT-3
28863947 | @GENE_STAT3 | STAT3 | 1322 | 6 | Gene | gene | STAT-3
28863947 | @GENE_CXCR4 | CXCR4 | 1360 | 5 | Gene | gene | CXCR4
28863947 | @GENE_STAT3 | STAT3 | 1411 | 6 | Gene | gene | STAT-3
28863947 | @CHEMICAL_icaritin | icaritin | 1467 | 3 | Chemical | chemical | ICT
28863947 | @DISEASE_Osteoporosis | Osteoporosis | 1577 | 12 | Disease | disease | osteoporosis
28863947 | @CHEMICAL_icaritin | icaritin | 1591 | 3 | Chemical | chemical | ICT
28863947 | @GENE_CXCR4 | Cxcr4 | 1633 | 5 | Gene | gene | CXCR4
28863947 | @CHEMICAL_icaritin | icaritin | 1731 | 3 | Chemical | chemical | ICT
28863947 | @GENE_STAT3 | STAT3 | 1767 | 6 | Gene | gene | STAT-3
28863947 | @GENE_CXCR4 | CXCR4 | 1788 | 5 | Gene | gene | CXCR4
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 80 | 21 | Disease | disease | hippocampal sclerosis
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 103 | 2 | Disease | disease | HS
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 111 | 24 | Disease | disease | focal cortical dysplasia
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 137 | 3 | Disease | disease | FCD
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 277 | 21 | Disease | disease | hippocampal sclerosis
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 300 | 2 | Disease | disease | HS
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 308 | 24 | Disease | disease | focal cortical dysplasia
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 334 | 3 | Disease | disease | FCD
29162878 | @DISEASE_Inflammation | Inflammation | 590 | 12 | Disease | disease | inflammatory
29162878 | @GENE_IL1B | IL1B | 614 | 7 | Gene | gene | IL1beta
29162878 | @GENE_IL1RN | IL1RN | 623 | 5 | Gene | gene | IL1Ra
29162878 | @GENE_IL6 | IL6 | 630 | 3 | Gene | gene | IL6
29162878 | @GENE_IL10 | IL10 | 635 | 4 | Gene | gene | IL10
29162878 | @GENE_CCL3 | CCL3 | 641 | 4 | Gene | gene | CCL3
29162878 | @GENE_CCL4 | CCL4 | 647 | 4 | Gene | gene | CCL4
29162878 | @GENE_TNF | TNF | 653 | 8 | Gene | gene | TNFalpha
29162878 | @GENE_VEGFA | VEGFA | 666 | 4 | Gene | gene | VEGF
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 861 | 2 | Disease | disease | HS
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 877 | 3 | Disease | disease | FCD
29162878 | @GENE_IL1B | IL1B | 908 | 7 | Gene | gene | IL1beta
29162878 | @GENE_IL6 | IL6 | 917 | 3 | Gene | gene | IL6
29162878 | @GENE_CCL3 | CCL3 | 922 | 4 | Gene | gene | CCL3
29162878 | @GENE_CCL4 | CCL4 | 928 | 4 | Gene | gene | CCL4
29162878 | @GENE_STAT3 | STAT3 | 934 | 6 | Gene | gene | STAT-3
29162878 | @GENE_JUN | JUN | 942 | 5 | Gene | gene | C-JUN
29162878 | @GENE_CCR5 | CCR5 | 952 | 4 | Gene | gene | CCR5
29162878 | @GENE_IL10 | IL10 | 981 | 5 | Gene | gene | IL 10
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 1009 | 2 | Disease | disease | HS
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 1016 | 3 | Disease | disease | FCD
29162878 | @GENE_CCR5 | CCR5 | 1038 | 4 | Gene | gene | CCR5
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 1077 | 3 | Disease | disease | FCD
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 1096 | 2 | Disease | disease | HS
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 1118 | 2 | Disease | disease | HS
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 1125 | 3 | Disease | disease | FCD
29162878 | @GENE_MIR223 | MIR223 | 1149 | 8 | Gene | gene | miR-223-
29162878 | @GENE_MIR21 | MIR21 | 1161 | 7 | Gene | gene | miR-21-
29162878 | @GENE_MIR155 | MIR155 | 1211 | 8 | Gene | gene | miR-155-
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 1260 | 2 | Disease | disease | HS
29162878 | @GENE_CCR5 | CCR5 | 1288 | 4 | Gene | gene | CCR5
29162878 | @GENE_IL1B | IL1B | 1297 | 7 | Gene | gene | IL1beta
29162878 | @GENE_CCL4 | CCL4 | 1334 | 4 | Gene | gene | CCL4
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 1372 | 3 | Disease | disease | FCD
29162878 | @DISEASE_Hippocampal_Sclerosis | Hippocampal Sclerosis | 1486 | 2 | Disease | disease | HS
29162878 | @DISEASE_Focal_Cortical_Dysplasia | Focal Cortical Dysplasia | 1493 | 3 | Disease | disease | FCD
29171984 | @GENE_MIR1246 | MIR1246 | 0 | 13 | Gene | gene | MicroRNA-1246
29171984 | @GENE_CXCR4 | CXCR4 | 96 | 5 | Gene | gene | CXCR4
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 105 | 11 | Disease | disease | lung cancer
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 213 | 11 | Disease | disease | lung cancer
29171984 | @GENE_MIR1246 | MIR1246 | 250 | 8 | Gene | gene | miR-1246
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 262 | 11 | Disease | disease | lung cancer
29171984 | @GENE_MIR1246 | MIR1246 | 356 | 8 | Gene | gene | miR-1246
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 368 | 11 | Disease | disease | lung cancer
29171984 | @GENE_MIR1246 | MIR1246 | 455 | 8 | Gene | gene | miR-1246
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 467 | 11 | Disease | disease | lung cancer
29171984 | @GENE_MIR1246 | MIR1246 | 779 | 8 | Gene | gene | miR-1246
29171984 | @GENE_PIK3R1 | PIK3R1 | 932 | 29 | Gene | gene | phosphatidylinositol 3 kinase
29171984 | @GENE_PTK2B | PTK2B | 969 | 16 | Gene | gene | protein kinase B
29171984 | @GENE_AKT1 | AKT1 | 987 | 3 | Gene | gene | AKT
29171984 | @GENE_MIR1246 | MIR1246 | 1042 | 8 | Gene | gene | miR-1246
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 1073 | 11 | Disease | disease | lung cancer
29171984 | @GENE_MIR1246 | MIR1246 | 1173 | 8 | Gene | gene | MiR-1246
29171984 | @GENE_CDH1 | CDH1 | 1256 | 10 | Gene | gene | E-cadherin
29171984 | @GENE_CDH2 | CDH2 | 1297 | 10 | Gene | gene | N-cadherin
29171984 | @GENE_VIM | VIM | 1309 | 8 | Gene | gene | Vimentin
29171984 | @GENE_ZEB1 | ZEB1 | 1319 | 4 | Gene | gene | ZEB1
29171984 | @GENE_SNAI1 | SNAI1 | 1328 | 5 | Gene | gene | Snail
29171984 | @GENE_CXCR4 | CXCR4 | 1392 | 5 | Gene | gene | CXCR4
29171984 | @GENE_MIR1246 | MIR1246 | 1418 | 8 | Gene | gene | miR-1246
29171984 | @GENE_CXCR4 | CXCR4 | 1432 | 5 | Gene | gene | CXCR4
29171984 | @GENE_MIR1246 | MIR1246 | 1494 | 8 | Gene | gene | miR-1246
29171984 | @GENE_MIR1246 | MIR1246 | 1572 | 8 | Gene | gene | miR-1246
29171984 | @GENE_AKT1 | AKT1 | 1607 | 3 | Gene | gene | AKT
29171984 | @GENE_CXCR4 | CXCR4 | 1644 | 5 | Gene | gene | CXCR4
29171984 | @GENE_MIR1246 | MIR1246 | 1696 | 8 | Gene | gene | miR-1246
29171984 | @GENE_CXCR4 | CXCR4 | 1758 | 5 | Gene | gene | CXCR4
29171984 | @GENE_AKT1 | AKT1 | 1795 | 3 | Gene | gene | AKT
29171984 | @DISEASE_Lung_Neoplasms | Lung Neoplasms | 1818 | 11 | Disease | disease | lung cancer
29501729 | @GENE_STAT6 | STAT6 | 0 | 5 | Gene | gene | STAT6
29501729 | @GENE_XPO1 | XPO1 | 20 | 10 | Gene | gene | exportin 1
29501729 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 56 | 35 | Disease | disease | primary mediastinal B-cell lymphoma
29501729 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 93 | 35 | Disease | disease | Primary mediastinal B-cell lymphoma
29501729 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 130 | 4 | Disease | disease | PMBL
29501729 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 150 | 15 | Disease | disease | B-cell lymphoma
29501729 | @DISEASE_Lymphoma_B_Cell | Lymphoma B-Cell | 230 | 4 | Disease | disease | PMBL
29501729 | @DISEASE_Genetic_Diseases_Inborn | Genetic Diseases Inborn | 270 | 21 | Disease | disease | genetic abnormalities
29501729 | @GENE_JAK2 | JAK2 | 343 | 14 | Gene | gene | Janus kinase 2
29501729 | @GENE_STAT6 | STAT6 | 358 | 50 | Gene | gene | signal transducer and activator of transcription 6
