37403086 | Association | IL2 | STAT5A
35866483 | Positive_Correlation | Lipopolysaccharides | Sepsis
35866483 | Association | Respiratory Distress Syndrome | Ptpn1
35866483 | Association | Acute Lung Injury | Ptpn1
35866483 | Association | Cxcr4 | Ptpn1
36160003 | Association | COVID-19 | CCR5
36160003 | Association | Multiple Sclerosis | IL10RB
36160003 | Association | Hypertension | CCR1
36160003 | Association | COVID-19 | IL10RB
36160003 | Association | Hypertension | IL10RB
36160003 | Association | COVID-19 | CCR1
36330512 | Association | Infections | CCR5
36404927 | Positive_Correlation | Lipopolysaccharides | Ccr5
36404927 | Association | Lipopolysaccharides | CCL8
36404927 | Association | Pneumonia | CCL8
36404927 | Association | COVID-19 | CCL8
36404927 | Positive_Correlation | Lipopolysaccharides | Lung Injury
36404927 | Positive_Correlation | Lipopolysaccharides | Ccr2
36404927 | Association | Inflammation | CCL8
36404927 | Association | Lung Injury | CCL8
36404927 | Association | Respiratory Distress Syndrome | CCL8
36506032 | Association | COVID-19 | DFNA34
36506032 | Positive_Correlation | glycyrol | CSF2
36506032 | Association | COVID-19 | CSF2
36506032 | Association | Lead Poisoning Nervous System | CXCL8
36506032 | Association | licopyranocoumarin | CCR5
36506032 | Association | licopyranocoumarin | IFNG
36506032 | Association | Inflammation | CXCL8
36506032 | Association | COVID-19 | TNF
36506032 | Association | COVID-19 | CXCL8
36506032 | Positive_Correlation | glycyrol | CCR5
36506032 | Association | Inflammation | CSF2
36506032 | Association | COVID-19 | CCR5
36506032 | Association | glycyrol | DFNA34
36506032 | Association | COVID-19 | IFNG
36506032 | Positive_Correlation | licopyranocoumarin | CSF2
36506032 | Association | Inflammation | CCR5
36506032 | Positive_Correlation | glycyrol | IFNG
36506032 | Positive_Correlation | licopyranocoumarin | CXCL8
36506032 | Negative_Correlation | glycyrol | COVID-19
36506032 | Association | glycyrol | TNF
36506032 | Association | licopyranocoumarin | DFNA34
36506032 | Association | licopyranocoumarin | TNF
36506032 | Association | Inflammation | IFNG
36506032 | Negative_Correlation | licopyranocoumarin | COVID-19
36506032 | Positive_Correlation | glycyrol | CXCL8
36521430 | Positive_Correlation | RELA | CD22
36521430 | Association | Neoplasms Adipose Tissue | RELA
36521430 | Association | Neoplasms Adipose Tissue | IL7R
36521430 | Association | Overweight | IL7R
36521430 | Association | Neoplasms Adipose Tissue | CXCR4
36521430 | Association | Hypertension | IL7R
36521430 | Association | Hypertension | CXCR4
36521430 | Association | Overweight | JAK3
36521430 | Association | Overweight | CXCR4
36521430 | Association | Hypertension | CD22
36521430 | Association | Neoplasms Adipose Tissue | CD22
36521430 | Association | RELA | CXCR4
36521430 | Association | Hypertension | TNFRSF13C
36559044 | Negative_Correlation | Chloroquine | Malaria
36559044 | Negative_Correlation | Hydroxychloroquine | Thrombosis
36559044 | Negative_Correlation | Hydroxychloroquine | CXCR4
36559044 | Negative_Correlation | Hydroxychloroquine | Malaria
36559044 | Association | Thrombosis | HMGB1
36559044 | Association | Hydroxychloroquine | COVID-19
36559044 | Association | Hydroxychloroquine | Neoplasms
36559044 | Negative_Correlation | Hydroxychloroquine | HMGB1
36559044 | Negative_Correlation | Chloroquine | CXCR4
36617676 | Association | COVID-19 | HLA-C
36692327 | Association | Hemorrhagic Fever Crimean | CCR5
36692327 | Negative_Correlation | Steroids | Hemorrhagic Fever Crimean
36692327 | Negative_Correlation | Steroids | Lymphohistiocytosis Hemophagocytic
36692327 | Association | Hemorrhagic Fever Crimean | CCR2
36692327 | Association | Hemorrhagic Fever Crimean | CXCL8
36692327 | Association | Hemorrhagic Fever Crimean | IL33
36702907 | Association | COVID-19 | LGALS3
36702907 | Association | Infections | LGALS3
36702907 | Association | IL12B | TNF
36702907 | Association | Inflammation | LGALS3
36702907 | Association | Urea | LGALS3
36702907 | Association | COVID-19 | CCR5
36702907 | Association | COVID-19 | NCAM1
36702907 | Association | Inflammation | CCR5
36702907 | Association | IL12B | LGALS3
36702907 | Association | Fibrosis | LGALS3
36702907 | Association | Inflammation | TNF
36702907 | Association | IL1B | LGALS3
36702907 | Association | COVID-19 | TNF
36702907 | Negative_Correlation | LGALS3 | TPT1
36972468 | Negative_Correlation | tecovirimat | NUP37
36972468 | Negative_Correlation | tecovirimat | Mpox (monkeypox)
37291167 | Association | COVID-19 | EGR2
37291167 | Association | Osteoarthritis | PDK1
37291167 | Association | Osteoarthritis | H4C9
37291167 | Association | COVID-19 | TUBB3
37291167 | Association | Osteoarthritis | TUBB1
37291167 | Association | Osteoarthritis | TUBB3
37291167 | Association | Osteoarthritis | MTHFD2
37291167 | Association | COVID-19 | TUBA4A
37291167 | Association | Osteoarthritis | TUBA4A
37291167 | Association | COVID-19 | CXCR4
37291167 | Association | Osteoarthritis | ENO1
37291167 | Association | COVID-19 | MTHFD2
37291167 | Association | Osteoarthritis | EGR2
37291167 | Association | COVID-19 | H4C12
37291167 | Association | COVID-19 | ENO1
37291167 | Association | COVID-19 | H3C10
37291167 | Association | COVID-19 | GATA6
37291167 | Association | COVID-19 | FASN
37291167 | Association | Osteoarthritis | CXCR4
37291167 | Association | COVID-19 | H4C9
37291167 | Association | COVID-19 | PDK1
37291167 | Association | Osteoarthritis | H4C12
37291167 | Association | COVID-19 | H4C8
37291167 | Association | Osteoarthritis | H3C10
37291167 | Association | COVID-19 | TUBB1
37291167 | Association | Osteoarthritis | GATA6
37291167 | Association | Osteoarthritis | H4C8
37291167 | Association | Osteoarthritis | FASN
37457560 | Association | Post-Acute COVID-19 Syndrome | SMAD4
37457560 | Association | Post-Acute COVID-19 Syndrome | FOXO1
37505242 | Negative_Correlation | sivelestat | CXCL12
37505242 | Bind | CXCR6 | CXCL12
37505242 | Negative_Correlation | Sitagliptin Phosphate | CXCL12
37505242 | Association | COVID-19 | CXCL12
37505242 | Bind | CXCL12 | CXCR4
37505242 | Association | COVID-19 | ELANE
37531383 | Negative_Correlation | Hydroxychloroquine | ITGB1
37531383 | Association | CCR5 | KLRB1
37531383 | Negative_Correlation | Hydroxychloroquine | IFNG
37531383 | Negative_Correlation | Hydroxychloroquine | COVID-19
37531383 | Negative_Correlation | Hydroxychloroquine | Inflammation
37531383 | Negative_Correlation | Hydroxychloroquine | KLRB1
37531383 | Association | Inflammation | ITGB1
37531383 | Negative_Correlation | Hydroxychloroquine | CD8A
37531383 | Negative_Correlation | Hydroxychloroquine | CD4
37531383 | Negative_Correlation | Hydroxychloroquine | CD69
37531383 | Negative_Correlation | Hydroxychloroquine | CCR5
37531383 | Negative_Correlation | Hydroxychloroquine | TIGIT
37531383 | Negative_Correlation | Hydroxychloroquine | TNF
37531383 | Negative_Correlation | Hydroxychloroquine | FAS
37725104 | Association | COVID-19 | CXCR4
37725104 | Association | Lupus Erythematosus Systemic | MIF
37725104 | Association | COVID-19 | MIF
37725104 | Association | Lupus Erythematosus Systemic | CD74
37725104 | Association | COVID-19 | CD44
37851747 | Association | COVID-19 | HLA-DRB1
38012279 | Association | COVID-19 | HLA-DQA1
38017505 | Association | Liver Failure | Ccr5
38017505 | Association | Ccr5 | Ccl5
38017505 | Negative_Correlation | Maraviroc | Liver Failure
38017505 | Association | Ccr5 | Ccl4
38017505 | Negative_Correlation | Maraviroc | Ccr5
38017505 | Negative_Correlation | Maraviroc | Periodic fever familial autosomal dominant
38071404 | Association | Myocarditis | HLA-DRB1
38071404 | Association | Myocarditis | HLA-A
38231284 | Association | Post-Acute COVID-19 Syndrome | IL6
38231284 | Positive_Correlation | Post-Acute COVID-19 Syndrome | GAP43
38231284 | Association | COVID-19 | CRP
38231284 | Positive_Correlation | Post-Acute COVID-19 Syndrome | CRP
38231284 | Association | COVID-19 | IL6
38301089 | Association | COVID-19 | HLA-DRB1
38633947 | Association | alpha 1-Antitrypsin Deficiency | SERPINA1
38646408 | Association | Mental Fatigue | IGKV4-1
16175134 | Negative_Correlation | tofacitinib | JAK3
17764010 | Negative_Correlation | Zoledronic Acid | Neoplasms
17764010 | Association | Carcinoma Hepatocellular | KLRK1
17764010 | Association | Colorectal Neoplasms | KLRK1
17764010 | Association | Neoplasms | TRBV20OR9-2
17764010 | Negative_Correlation | Zoledronic Acid | Carcinoma Hepatocellular
17764010 | Association | Colorectal Neoplasms | TRBV20OR9-2
17764010 | Negative_Correlation | Zoledronic Acid | Colorectal Neoplasms
19009346 | Association | Ephb1 | Ngf
19009346 | Association | Mapk8 | Src
19009346 | Association | Ngf | Src
19009346 | Association | Jak3 | Ngf
19009346 | Positive_Correlation | Mapk8 | Ngf
19009346 | Association | Mapk8 | Jak3
21876034 | Association | Drug Hypersensitivity | IL2RA
21876034 | Association | IL2 | CD4
21876034 | Positive_Correlation | IL2 | STAT5A
21876034 | Positive_Correlation | Il2 | STAT5A
21876034 | Positive_Correlation | IL4 | TRBV20OR9-2
21876034 | Positive_Correlation | IL2RA | IL4
21876034 | Association | MAF | STAT5A
21876034 | Negative_Correlation | Daclizumab | MAF
21876034 | Negative_Correlation | Daclizumab | TRBV20OR9-2
21876034 | Negative_Correlation | R333 | MAF
21876034 | Association | MAF | CD4
21876034 | Negative_Correlation | R333 | JAK3
21876034 | Negative_Correlation | R333 | TRBV20OR9-2
21876034 | Positive_Correlation | IL2 | MAF
21876034 | Positive_Correlation | MAF | TRBV20OR9-2
21876034 | Negative_Correlation | Daclizumab | IL2RA
21876034 | Positive_Correlation | IL6 | MAF
21876034 | Association | IL2RA | TRBV20OR9-2
21876034 | Association | JAK3 | MAF
21876034 | Association | Drug Hypersensitivity | IL2
23990909 | Negative_Correlation | JAK2 | SOCS5
23990909 | Negative_Correlation | JAK1 | SOCS5
23990909 | Negative_Correlation | Neoplasms | SOCS5
23990909 | Association | SHC1 | SOCS5
23990909 | Negative_Correlation | EGF | SOCS5
24291667 | Association | mica | Cesium
24787765 | Positive_Correlation | MICA | US20
24787765 | Association | UL16 | ULBP2
24787765 | Bind | KLRK1 | ULBP1
24787765 | Bind | RAET1E | KLRK1
24787765 | Positive_Correlation | MICA | US18
24787765 | Association | UL16 | MICB
24787765 | Bind | KLRK1 | ULBP3
24787765 | Bind | KLRK1 | RAET1G
24787765 | Bind | RAET1L | KLRK1
25806669 | Association | mica | MUC1
26184953 | Association | Behcet Syndrome | MICA
27774822 | Negative_Correlation | ruxolitinib | Neoplasms
27774822 | Negative_Correlation | ruxolitinib | Primary Myelofibrosis
27774822 | Association | Neoplasms | TYK2
27774822 | Association | Inflammation | JAK2
27774822 | Association | Inflammation | TYK2
27774822 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
27774822 | Negative_Correlation | ruxolitinib | Polycythemia Vera
27774822 | Association | Inflammation | JAK1
27774822 | Association | Inflammation | JAK3
27788604 | Association | CCL18 | STAT6
27788604 | Positive_Correlation | IL4 | CCL18
27788604 | Negative_Correlation | 4-(benzylamino)-2-((2-(3-chloro-4-hydroxyphenyl)ethyl)amino)pyrimidine-5-carboxamide | CCL18
27788604 | Negative_Correlation | pirfenidone | CCL18
27788604 | Association | Pulmonary Fibrosis | CCL18
27788604 | Negative_Correlation | 4-(benzylamino)-2-((2-(3-chloro-4-hydroxyphenyl)ethyl)amino)pyrimidine-5-carboxamide | STAT6
27788604 | Negative_Correlation | pirfenidone | TYK2
27788604 | Negative_Correlation | pirfenidone | JAK1
27788604 | Negative_Correlation | pirfenidone | JAK3
27788604 | Negative_Correlation | pirfenidone | Idiopathic Pulmonary Fibrosis
27788604 | Negative_Correlation | pirfenidone | STAT6
28193636 | Association | IL6 | JAK3
28193636 | Negative_Correlation | tofacitinib | Autoimmune Diseases
28193636 | Association | EPO | JAK3
28193636 | Association | Arthritis Rheumatoid | JAK3
28193636 | Association | Autoimmune Diseases | JAK3
28193636 | Association | Inflammation | JAK3
28193636 | Bind | JAK1 | JAK3
28193636 | Association | CSF2 | JAK3
28193636 | Association | IL2 | JAK3
28193636 | Negative_Correlation | 2-((2-(1H-pyrrolo(2 3-b)pyridin-3-yl)pyrimidin-4-yl)amino)-2-methyl-N-(2 2 2-trifluoroethyl)butanamide | Autoimmune Diseases
29254929 | Negative_Correlation | tofacitinib | ITGAE
29254929 | Negative_Correlation | tofacitinib | Vasculitis
29254929 | Negative_Correlation | tofacitinib | JAK1
29254929 | Negative_Correlation | tofacitinib | JAK3
29254929 | Association | Inflammation | JAK1
29254929 | Association | Inflammation | JAK3
29666307 | Association | Oxygen | IL2
29666307 | Association | Oxygen | JAK3
29666307 | Association | IL2 | JAK3
29666307 | Association | Oxygen | JAK1
29666307 | Association | IL2 | JAK1
32076052 | Association | Cefazolin | IL2RB
32076052 | Negative_Correlation | Cefazolin | IFNG
32076052 | Association | IL4 | ITGAX
32076052 | Negative_Correlation | Cefazolin | IL17A
32076052 | Negative_Correlation | Cefazolin | IL4
32076052 | Association | Cefazolin | IL15RA
32076052 | Negative_Correlation | Cefazolin | IL9
32076052 | Negative_Correlation | Cefazolin | JAK3
32076052 | Negative_Correlation | Cefazolin | Inflammation
32076052 | Negative_Correlation | Cefazolin | IL2
32076052 | Negative_Correlation | Cefazolin | ITGAX
32076052 | Negative_Correlation | Cefazolin | IL7
32076052 | Positive_Correlation | IL2 | JAK3
32076052 | Association | Cefazolin | IL2RG
32076052 | Negative_Correlation | Cefazolin | TNF
32076052 | Negative_Correlation | Cefazolin | IL21
33040328 | Association | Hepatitis B | JAK3
33040328 | Association | Severe Combined Immunodeficiency | CD3E
33040328 | Association | Severe Combined Immunodeficiency | JAK3
33040328 | Association | Severe Combined Immunodeficiency | IL7R
33040328 | Association | X-Linked Combined Immunodeficiency Diseases | JAK3
33040328 | Association | Genetic Diseases Inborn | JAK3
33492566 | Association | COVID-19 | CHEK1
33492566 | Association | saikosaponin D | Infections
33492566 | Association | Infections | CHEK1
33492566 | Association | saikosaponin D | CAT
33492566 | Association | saikosaponin D | IL6
33492566 | Association | COVID-19 | CAT
33492566 | Association | saikosaponin D | CHEK1
33492566 | Association | saikosaponin D | NOX5
33492566 | Association | saikosaponin D | JAK3
33492566 | Negative_Correlation | saikosaponin D | COVID-19
33542028 | Association | Autoimmune Diseases | TYK2
33542028 | Negative_Correlation | Oligonucleotides Antisense | TYK2
33542028 | Association | COVID-19 | TYK2
33542028 | Association | IFNA1 | TYK2
33542028 | Association | IL12B | TYK2
33776915 | Association | Diabetes Mellitus Type 1 | CTLA4
33776915 | Association | Diabetes Mellitus Type 1 | VDR
33776915 | Association | Diabetes Mellitus Type 1 | SH2B3
33776915 | Association | Diabetes Mellitus Type 1 | CCR5
33776915 | Association | Diabetes Mellitus Type 1 | HLA-DQA1
33776915 | Association | Diabetes Mellitus Type 1 | BACH2
33776915 | Association | Diabetes Mellitus Type 1 | RAC2
33776915 | Association | Thyroiditis Autoimmune | ERBB3
33776915 | Association | Thyroiditis Autoimmune | CD40
33776915 | Association | Thyroiditis Autoimmune | IFIH1
33776915 | Association | Thyroiditis Autoimmune | FOXP3
33776915 | Association | Thyroiditis Autoimmune | PTPN22
33776915 | Association | Thyroiditis Autoimmune | TNF
33776915 | Association | Thyroiditis Autoimmune | INS
33776915 | Association | Diabetes Mellitus Type 1 | IL2RA
33776915 | Association | Diabetes Mellitus Type 1 | CD40
33776915 | Association | Diabetes Mellitus Type 1 | PTPN22
33776915 | Association | Thyroiditis Autoimmune | IL2RA
33776915 | Association | Diabetes Mellitus Type 1 | MICA
33776915 | Association | Thyroiditis Autoimmune | VDR
33776915 | Association | Diabetes Mellitus Type 1 | IFIH1
33776915 | Association | Thyroiditis Autoimmune | SH2B3
33776915 | Association | Diabetes Mellitus Type 1 | ERBB3
33776915 | Association | Thyroiditis Autoimmune | CTLA4
33776915 | Association | Thyroiditis Autoimmune | CCR5
33776915 | Association | Thyroiditis Autoimmune | CLEC16A
33776915 | Association | Thyroiditis Autoimmune | RAC2
33776915 | Association | Thyroiditis Autoimmune | HLA-DQA1
33776915 | Association | Thyroiditis Autoimmune | BACH2
33776915 | Association | Thyroiditis Autoimmune | MICA
33776915 | Association | Diabetes Mellitus Type 1 | FOXP3
33776915 | Association | Diabetes Mellitus Type 1 | TNF
33776915 | Association | Diabetes Mellitus Type 1 | CLEC16A
33776915 | Association | Diabetes Mellitus Type 1 | INS
34063488 | Association | mica | Polymers
34063488 | Association | Polymers | SERPINA1
34210790 | Negative_Correlation | nezulcitinib | COVID-19
35459733 | Negative_Correlation | nezulcitinib | COVID-19
35459733 | Negative_Correlation | tofacitinib | COVID-19
35459733 | Negative_Correlation | ruxolitinib | COVID-19
35459733 | Negative_Correlation | baricitinib | COVID-19
35625811 | Association | Neoplasms | CD8A
35731974 | Association | Neoplasms | PDCD1LG2
35731974 | Association | Neoplasms | CTLA4
35731974 | Association | Neoplasms | CD274
36227341 | Negative_Correlation | Carcinoma Non-Small-Cell Lung | MICA
36227341 | Negative_Correlation | Pdcd1 | Cd274
36227341 | Negative_Correlation | ramucirumab | Carcinoma Non-Small-Cell Lung
36227341 | Association | Neoplasms | Klrk1
36227341 | Association | Neoplasms | KLRK1
36227341 | Positive_Correlation | Pdcd1 | 1300017J02Rik
36227341 | Association | Neoplasms | MICA
36227341 | Association | Neoplasms | Cd274
36227341 | Positive_Correlation | MICA | Klrk1
36227341 | Bind | MICA | KDR
36227341 | Association | Carcinoma Non-Small-Cell Lung | KDR
36227341 | Association | Neoplasms | Pdcd1
36227341 | Association | Stomach Neoplasms | KDR
36227341 | Association | Stomach Neoplasms | MICA
36446137 | Association | MICA | KLRK1
36446137 | Association | Neoplasms | KLRK1
36446137 | Association | Neoplasms | MICB
36446137 | Association | Neoplasms | MICA
36590594 | Bind | KLRK1 | IL15RA
36590594 | Association | Cytomegalovirus Infections | IL15
36590594 | Association | Hemorrhagic Fever with Renal Syndrome | CD8A
36590594 | Association | Cytomegalovirus Infections | CD8A
36590594 | Positive_Correlation | KLRK1 | IL15
36590594 | Positive_Correlation | Drug-Related Side Effects and Adverse Reactions | IL15
36590594 | Association | KLRK1 | CD8A
36590594 | Association | Wounds and Injuries | KLRK1
36590594 | Positive_Correlation | IL15 | CD8A
36590594 | Positive_Correlation | IL2RB | IL15
36590594 | Association | Cytomegalovirus Infections | KLRK1
36590594 | Association | Wounds and Injuries | CD8A
36590594 | Association | Wounds and Injuries | IL15
36590594 | Association | Drug-Related Side Effects and Adverse Reactions | CD8A
36765808 | Negative_Correlation | Cisplatin | CHEK1
36765808 | Positive_Correlation | Cisplatin | MICA
36765808 | Negative_Correlation | MICA | CHEK1
36765808 | Positive_Correlation | MICA | CD8A
36765808 | Association | MICA | TRIM63
36765808 | Association | Neoplasms | CHEK1
36765808 | Association | Neoplasms | IRF1
36765808 | Positive_Correlation | MICA | IRF1
36765808 | Association | Neoplasms | MICA
36765808 | Negative_Correlation | CHEK1 | IRF1
36765808 | Association | Carcinoma Hepatocellular | MICA
36765808 | Association | Carcinoma Hepatocellular | CHEK1
36765808 | Negative_Correlation | Cisplatin | Carcinoma Hepatocellular
36765808 | Association | Carcinoma Hepatocellular | IRF1
36860910 | Association | Leukoplakia | CD8A
36860910 | Association | Leukoplakia | PDCD1
36860910 | Association | Leukoplakia | CD274
36860910 | Positive_Correlation | Leukoplakia Oral | CD274
36860910 | Association | Leukoplakia | GZMM
36907052 | Association | Triple Negative Breast Neoplasms | VTCN1
36907052 | Positive_Correlation | Triple Negative Breast Neoplasms | MALAT1
36907052 | Association | Triple Negative Breast Neoplasms | CD274
36907052 | Association | Lymphatic Metastasis | MALAT1
36907052 | Positive_Correlation | MALAT1 | VTCN1
36907052 | Association | MALAT1 | MIR34A
36907052 | Positive_Correlation | MALAT1 | CD8A
36907052 | Association | Neoplasms | MALAT1
36907052 | Positive_Correlation | CD274 | MALAT1
36907052 | Association | MALAT1 | MIR17
37190149 | Association | Squamous Cell Carcinoma of Head and Neck | PTPRC
37190149 | Association | Neoplasms | MICA
37190149 | Association | Neoplasms | PTPRC
37190149 | Positive_Correlation | MICA | PTPRC
38263353 | Positive_Correlation | PF-06651600 | Nasopharyngitis
38263353 | Association | Alopecia Areata | JAK3
38263353 | Negative_Correlation | PF-06651600 | Alopecia Areata
38263353 | Negative_Correlation | PF-06651600 | JAK3
38263353 | Negative_Correlation | PF-06651600 | Skin Neoplasms
38263353 | Association | PF-06651600 | Cardiovascular Diseases
38263353 | Positive_Correlation | PF-06651600 | Herpes Zoster
38263353 | Negative_Correlation | PF-06651600 | TEC
38263353 | Positive_Correlation | PF-06651600 | Headache
38511389 | Association | Neoplasms | KLRK1
38511389 | Association | KLRK1 | B3GAT1
38511389 | Bind | MICA | KLRK1
38511389 | Association | Neoplasms | MICA
38536662 | Association | Carcinoma Hepatocellular | MICA
38536662 | Association | Hepatitis Chronic | MICA
38598033 | Association | X-Linked Combined Immunodeficiency Diseases | JAK3
