35408447 | @GENE_AGTR1 | AGTR1 | 32 | 4 | Gene | gene | AT1R
35408447 | @DISEASE_Signs_and_Symptoms_Digestive | Signs and Symptoms Digestive | 1568 | 25 | Disease | disease | gastrointestinal symptoms
35408447 | @DISEASE_Chemical_and_Drug_Induced_Liver_Injury | Chemical and Drug Induced Liver Injury | 1595 | 14 | Disease | disease | hepatic injury
35408447 | @DISEASE_Hyperglycemia | Hyperglycemia | 1611 | 13 | Disease | disease | hyperglycemia
35408447 | @DISEASE_Acrocephalosyndactylia | Acrocephalosyndactylia | 1630 | 26 | Disease | disease | dermatologic complications
35408447 | @DISEASE_COVID_19 | COVID-19 | 1885 | 8 | Disease | disease | COVID-19
35408447 | @GENE_AGTR1 | AGTR1 | 1955 | 4 | Gene | gene | AT1R
35408447 | @GENE_AGTR1 | AGTR1 | 2167 | 4 | Gene | gene | AT1R
35408447 | @DISEASE_COVID_19 | COVID-19 | 2175 | 8 | Disease | disease | COVID-19
35408447 | @DISEASE_COVID_19 | COVID-19 | 2306 | 8 | Disease | disease | COVID-19
35434592 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 0 | 41 | Disease | disease | SARS-Cov2 acute and post-active infection
35434592 | @DISEASE_Hepatitis_Autoimmune | Hepatitis Autoimmune | 60 | 44 | Disease | disease | autoimmune and chronic inflammatory diseases
35434592 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 159 | 29 | Disease | disease | post-active COVID-19 syndrome
35434592 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 233 | 19 | Disease | disease | autoimmune diseases
35434592 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 261 | 20 | Disease | disease | rheumatoid arthritis
35434592 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 283 | 2 | Disease | disease | RA
35434592 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 291 | 28 | Disease | disease | systemic lupus erythematosus
35434592 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 321 | 3 | Disease | disease | SLE
35434592 | @DISEASE_COVID_19 | COVID-19 | 345 | 19 | Disease | disease | SARS-Cov2 infection
35434592 | @GENE_NFKB1 | NFKB1 | 479 | 10 | Gene | gene | NF-kappa B
35434592 | @DISEASE_Severe_Acute_Respiratory_Syndrome | Severe Acute Respiratory Syndrome | 621 | 9 | Disease | disease | SARS-Cov2
35434592 | @DISEASE_COVID_19 | COVID-19 | 820 | 8 | Disease | disease | COVID-19
35434592 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 835 | 3 | Disease | disease | SLE
35434592 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 843 | 2 | Disease | disease | RA
35434592 | @DISEASE_COVID_19 | COVID-19 | 1010 | 18 | Disease | disease | COVID-19 infection
35434592 | @DISEASE_Lupus_Erythematosus_Systemic | Lupus Erythematosus Systemic | 1170 | 3 | Disease | disease | SLE
35434592 | @DISEASE_Arthritis_Rheumatoid | Arthritis Rheumatoid | 1177 | 2 | Disease | disease | RA
35434592 | @DISEASE_COVID_19 | COVID-19 | 1190 | 18 | Disease | disease | COVID-19 infection
35434592 | @DISEASE_Severe_Acute_Respiratory_Syndrome | Severe Acute Respiratory Syndrome | 1257 | 9 | Disease | disease | SARS-Cov2
35434592 | @DISEASE_Communicable_Diseases | Communicable Diseases | 1384 | 10 | Disease | disease | infectious
35434592 | @DISEASE_Infections | Infections | 1468 | 9 | Disease | disease | infection
35434592 | @DISEASE_Hepatitis_Autoimmune | Hepatitis Autoimmune | 1498 | 43 | Disease | disease | autoimmune and chronic inflammatory disease
35505068 | @DISEASE_COVID_19 | COVID-19 | 0 | 8 | Disease | disease | COVID-19
35505068 | @GENE_ACE2 | ACE2 | 46 | 4 | Gene | gene | ACE2
35505068 | @GENE_ACE2 | ACE2 | 566 | 4 | Gene | gene | ACE2
35505068 | @GENE_ACE2 | ACE2 | 656 | 4 | Gene | gene | ACE2
35505068 | @GENE_ACE2 | ACE2 | 690 | 4 | Gene | gene | ACE2
35505068 | @GENE_ACE2 | ACE2 | 848 | 4 | Gene | gene | ACE2
35505068 | @GENE_ACE2 | ACE2 | 935 | 4 | Gene | gene | ACE2
35505068 | @DISEASE_COVID_19 | COVID-19 | 1220 | 8 | Disease | disease | COVID-19
35505068 | @GENE_ACE2 | ACE2 | 1259 | 4 | Gene | gene | ACE2
35505068 | @VARIANT_p.E484K_ACE2_human | p.E484K | 1394 | 5 | Variant | variant | E484K
35505068 | @GENE_ACE2 | ACE2 | 1438 | 4 | Gene | gene | ACE2
35505068 | @GENE_ACE2 | ACE2 | 1532 | 4 | Gene | gene | ACE2
35645319 | @GENE_TNF | TNF | 0 | 9 | Gene | gene | TNF-alpha
35645319 | @GENE_IFNG | IFNG | 10 | 9 | Gene | gene | IFN-gamma
35645319 | @DISEASE_Inflammation | Inflammation | 60 | 12 | Disease | disease | inflammation
35645319 | @GENE_STAT1 | STAT1 | 132 | 5 | Gene | gene | STAT1
35645319 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 183 | 8 | Disease | disease | diabetes
35645319 | @DISEASE_Obesity | Obesity | 192 | 7 | Disease | disease | obesity
35645319 | @DISEASE_COVID_19 | COVID-19 | 292 | 18 | Disease | disease | COVID-19 infection
35645319 | @DISEASE_COVID_19 | COVID-19 | 332 | 8 | Disease | disease | COVID-19
35645319 | @DISEASE_Cytokine_Release_Syndrome | Cytokine Release Syndrome | 349 | 8 | Disease | disease | cytokine
35645319 | @DISEASE_Soft_Tissue_Injuries | Soft Tissue Injuries | 365 | 13 | Disease | disease | tissue damage
35645319 | @DISEASE_Fibrosis | Fibrosis | 384 | 8 | Disease | disease | fibrosis
35645319 | @DISEASE_Inflammation | Inflammation | 714 | 12 | Disease | disease | inflammatory
35645319 | @GENE_TNF | TNF | 738 | 9 | Gene | gene | TNF-alpha
35645319 | @GENE_IFNG | IFNG | 750 | 9 | Gene | gene | IFN-gamma
35645319 | @GENE_TNF | TNF | 777 | 9 | Gene | gene | TNF-alpha
35645319 | @GENE_IFNG | IFNG | 789 | 9 | Gene | gene | IFN-gamma
35645319 | @GENE_IL6 | IL6 | 801 | 4 | Gene | gene | IL-6
35645319 | @GENE_ACE2 | ACE2 | 831 | 4 | Gene | gene | ACE2
35645319 | @GENE_DPP4 | DPP4 | 836 | 4 | Gene | gene | DPP4
35645319 | @DISEASE_Inflammation | Inflammation | 862 | 12 | Disease | disease | inflammatory
35645319 | @GENE_IL6 | IL6 | 1042 | 4 | Gene | gene | IL-6
35645319 | @GENE_TNF | TNF | 1164 | 9 | Gene | gene | TNF-alpha
35645319 | @GENE_IFNG | IFNG | 1178 | 9 | Gene | gene | IFN-gamma
35645319 | @GENE_STAT1 | STAT1 | 1255 | 5 | Gene | gene | STAT1
35645319 | @DISEASE_Cytokine_Release_Syndrome | Cytokine Release Syndrome | 1351 | 8 | Disease | disease | cytokine
35645319 | @CHEMICAL_ruxolitinib | ruxolitinib | 1389 | 11 | Chemical | chemical | ruxolitinib
35645319 | @CHEMICAL_remdesivir | remdesivir | 1419 | 10 | Chemical | chemical | remdesivir
35645319 | @DISEASE_Inflammation | Inflammation | 1440 | 18 | Disease | disease | hyper-inflammation
35645319 | @DISEASE_Cytokine_Release_Syndrome | Cytokine Release Syndrome | 1583 | 8 | Disease | disease | cytokine
35645319 | @DISEASE_Inflammation | Inflammation | 1663 | 18 | Disease | disease | hyper-inflammation
35717657 | @GENE_ACE2 | ACE2 | 21 | 31 | Gene | gene | Angiotensin-Converting Enzyme 2
35717657 | @CHEMICAL_BA_1 | BA 1 | 110 | 4 | Chemical | chemical | BA.1
35717657 | @CHEMICAL_N_methyl_valyl_amiclenomycin | N-methyl-valyl-amiclenomycin | 119 | 4 | Chemical | chemical | BA.2
35717657 | @CHEMICAL_BA_1 | BA 1 | 382 | 4 | Chemical | chemical | BA.1
35717657 | @CHEMICAL_N_methyl_valyl_amiclenomycin | N-methyl-valyl-amiclenomycin | 391 | 4 | Chemical | chemical | BA.2
35717657 | @DISEASE_Infections | Infections | 447 | 10 | Disease | disease | infections
35717657 | @CHEMICAL_BA_1 | BA 1 | 511 | 4 | Chemical | chemical | BA.1
35717657 | @GENE_ACE2 | ACE2 | 655 | 4 | Gene | gene | ACE2
35717657 | @GENE_ACE2 | ACE2 | 661 | 31 | Gene | gene | angiotensin-converting enzyme 2
35717657 | @CHEMICAL_BA_1 | BA 1 | 755 | 4 | Chemical | chemical | BA.1
35717657 | @CHEMICAL_N_methyl_valyl_amiclenomycin | N-methyl-valyl-amiclenomycin | 764 | 4 | Chemical | chemical | BA.2
35717657 | @DISEASE_Infections | Infections | 889 | 8 | Disease | disease | infected
35717657 | @GENE_ACE2 | ACE2 | 1000 | 4 | Gene | gene | ACE2
35717657 | @DISEASE_Infections | Infections | 1029 | 9 | Disease | disease | infection
35717657 | @GENE_ACE2 | ACE2 | 1093 | 4 | Gene | gene | ACE2
35717657 | @CHEMICAL_BA_1 | BA 1 | 1148 | 4 | Chemical | chemical | BA.1
35717657 | @CHEMICAL_N_methyl_valyl_amiclenomycin | N-methyl-valyl-amiclenomycin | 1192 | 4 | Chemical | chemical | BA.2
35717657 | @CHEMICAL_N_methyl_valyl_amiclenomycin | N-methyl-valyl-amiclenomycin | 1198 | 4 | Chemical | chemical | BA.2
35717657 | @GENE_ACE2 | ACE2 | 1232 | 4 | Gene | gene | ACE2
35717657 | @CHEMICAL_BA_1 | BA 1 | 1373 | 4 | Chemical | chemical | BA.1
35717657 | @CHEMICAL_N_methyl_valyl_amiclenomycin | N-methyl-valyl-amiclenomycin | 1382 | 4 | Chemical | chemical | BA.2
35717657 | @GENE_ACE2 | ACE2 | 1417 | 4 | Gene | gene | ACE2
35717657 | @DISEASE_Infections | Infections | 1437 | 9 | Disease | disease | infection
35787993 | @DISEASE_COVID_19 | COVID-19 | 61 | 8 | Disease | disease | COVID-19
35787993 | @DISEASE_COVID_19 | COVID-19 | 75 | 47 | Disease | disease | severe acute respiratory syndrome coronavirus 2
35787993 | @DISEASE_COVID_19 | COVID-19 | 124 | 10 | Disease | disease | SARS-CoV-2
35787993 | @DISEASE_COVID_19 | COVID-19 | 199 | 24 | Disease | disease | coronavirus disease 2019
35787993 | @DISEASE_COVID_19 | COVID-19 | 225 | 8 | Disease | disease | COVID-19
35787993 | @DISEASE_COVID_19 | COVID-19 | 245 | 10 | Disease | disease | SARS-CoV-2
35787993 | @DISEASE_Pneumonia | Pneumonia | 347 | 9 | Disease | disease | pneumonia
35787993 | @DISEASE_Inflammation | Inflammation | 404 | 12 | Disease | disease | inflammatory
35787993 | @GENE_IL2 | IL2 | 778 | 4 | Gene | gene | IL-2
35787993 | @GENE_IL6 | IL6 | 784 | 4 | Gene | gene | IL-6
35787993 | @GENE_TNF | TNF | 790 | 9 | Gene | gene | TNF-alpha
35787993 | @GENE_IFNA1 | IFNA1 | 805 | 19 | Gene | gene | IFNalpha/beta/gamma
35787993 | @GENE_TBK1 | TBK1 | 1000 | 22 | Gene | gene | numb-associated kinase
35787993 | @GENE_TBK1 | TBK1 | 1024 | 3 | Gene | gene | NAK
35787993 | @GENE_AAK1 | AAK1 | 1047 | 23 | Gene | gene | AP2-associated kinase 1
35787993 | @GENE_AAK1 | AAK1 | 1072 | 4 | Gene | gene | AAK1
35787993 | @GENE_GAK | GAK | 1082 | 26 | Gene | gene | cyclin G-associated kinase
35787993 | @GENE_GAK | GAK | 1110 | 3 | Gene | gene | GAK
35787993 | @GENE_ACE2 | ACE2 | 1135 | 31 | Gene | gene | angiotensin-converting enzyme 2
35787993 | @GENE_ACE2 | ACE2 | 1168 | 5 | Gene | gene | ACE-2
35787993 | @DISEASE_Thromboembolism | Thromboembolism | 1496 | 21 | Disease | disease | thromboembolic events
35787993 | @DISEASE_Opportunistic_Infections | Opportunistic Infections | 1519 | 23 | Disease | disease | opportunistic infection
35787993 | @DISEASE_Herpes_Zoster | Herpes Zoster | 1551 | 19 | Disease | disease | herpes zoster virus
35787993 | @DISEASE_Virus_Diseases | Virus Diseases | 1658 | 29 | Disease | disease | viral and bacterial infection
35787993 | @DISEASE_COVID_19 | COVID-19 | 1734 | 8 | Disease | disease | COVID-19
35787993 | @DISEASE_Epstein_Barr_Virus_Infections | Epstein-Barr Virus Infections | 1809 | 22 | Disease | disease | herpes virus infection
35787993 | @GENE_IL6 | IL6 | 1919 | 4 | Gene | gene | IL-6
35787993 | @DISEASE_COVID_19 | COVID-19 | 2029 | 8 | Disease | disease | COVID-19
35787993 | @DISEASE_COVID_19 | COVID-19 | 2094 | 8 | Disease | disease | COVID-19
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 11 | 2 | Chemical | chemical | M2
35792186 | @DISEASE_Infections | Infections | 138 | 10 | Disease | disease | infections
35792186 | @DISEASE_Multiple_Organ_Failure | Multiple Organ Failure | 189 | 21 | Disease | disease | multiple organ damage
35792186 | @DISEASE_Death | Death | 215 | 5 | Disease | disease | death
35792186 | @DISEASE_Infections | Infections | 234 | 10 | Disease | disease | infections
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 389 | 2 | Chemical | chemical | M2
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 435 | 2 | Chemical | chemical | M2
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 551 | 2 | Chemical | chemical | M2
35792186 | @DISEASE_Inflammation | Inflammation | 590 | 12 | Disease | disease | inflammatory
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 668 | 2 | Chemical | chemical | M2
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 749 | 2 | Chemical | chemical | M2
35792186 | @GENE_TNF | TNF | 811 | 9 | Gene | gene | TNF-alpha
35792186 | @GENE_IL6 | IL6 | 825 | 4 | Gene | gene | IL-6
35792186 | @DISEASE_Multiple_Organ_Failure | Multiple Organ Failure | 902 | 54 | Disease | disease | multiple organ (lung, liver, spleen and kidney) damage
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 1005 | 2 | Chemical | chemical | M2
35792186 | @GENE_NFKB1 | NFKB1 | 1082 | 9 | Gene | gene | NF-kappaB
35792186 | @DISEASE_Inflammation | Inflammation | 1302 | 12 | Disease | disease | inflammatory
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 1338 | 2 | Chemical | chemical | M2
35792186 | @GENE_ACE2 | ACE2 | 1355 | 31 | Gene | gene | angiotensin-converting enzyme 2
35792186 | @GENE_ACE2 | ACE2 | 1388 | 4 | Gene | gene | ACE2
35792186 | @DISEASE_COVID_19 | COVID-19 | 1481 | 32 | Disease | disease | SARS-CoV-2 pseudovirus infection
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 1580 | 2 | Chemical | chemical | M2
35792186 | @CHEMICAL_M_2_protocol | M-2 protocol | 1714 | 2 | Chemical | chemical | M2
35792186 | @DISEASE_Communicable_Diseases | Communicable Diseases | 1781 | 18 | Disease | disease | infectious disease
35891565 | @DISEASE_Pneumonia | Pneumonia | 138 | 9 | Disease | disease | Pneumonia
35891565 | @DISEASE_Respiratory_Tract_Infections | Respiratory Tract Infections | 407 | 20 | Disease | disease | pulmonary infections
35891565 | @DISEASE_Pneumonia | Pneumonia | 577 | 9 | Disease | disease | pneumonia
35891565 | @DISEASE_Pneumonia | Pneumonia | 668 | 9 | Disease | disease | pneumonia
35891565 | @DISEASE_Pneumonia | Pneumonia | 858 | 9 | Disease | disease | pneumonia
35891565 | @GENE_AKT1 | AKT1 | 1009 | 3 | Gene | gene | Akt
35891565 | @CHEMICAL_afzelin | afzelin | 1189 | 7 | Chemical | chemical | Afzelin
35891565 | @CHEMICAL_Apigenin | Apigenin | 1198 | 8 | Chemical | chemical | Apigenin
35891565 | @CHEMICAL_kaempferol | kaempferol | 1208 | 10 | Chemical | chemical | Kaempferol
35891565 | @CHEMICAL_Quercetin | Quercetin | 1220 | 9 | Chemical | chemical | Quercetin
35891565 | @GENE_DPP4 | DPP4 | 1248 | 4 | Gene | gene | DPP4
35891565 | @GENE_ELANE | ELANE | 1254 | 5 | Gene | gene | ELANE
35891565 | @GENE_HSP90AA1 | HSP90AA1 | 1261 | 8 | Gene | gene | HSP90AA1
35891565 | @GENE_IL6 | IL6 | 1271 | 3 | Gene | gene | IL6
35891565 | @GENE_MAPK1 | MAPK1 | 1276 | 5 | Gene | gene | MAPK1
35891565 | @GENE_SERPINE1 | SERPINE1 | 1283 | 8 | Gene | gene | SERPINE1
35891565 | @GENE_ACE2 | ACE2 | 1357 | 4 | Gene | gene | ACE2
35891565 | @GENE_ORF1AB | ORF1ab | 1366 | 6 | Gene | gene | 3CLpro
35891565 | @DISEASE_COVID_19 | COVID-19 | 1376 | 10 | Disease | disease | SARS-CoV-2
35891565 | @CHEMICAL_Hydrocortisone | Hydrocortisone | 1424 | 2 | Chemical | chemical | HC
35891565 | @DISEASE_Pneumonia | Pneumonia | 1473 | 9 | Disease | disease | pneumonia
35891565 | @CHEMICAL_Hydrocortisone | Hydrocortisone | 1608 | 2 | Chemical | chemical | HC
35891565 | @DISEASE_Pneumonia | Pneumonia | 1623 | 9 | Disease | disease | pneumonia
35975552 | @DISEASE_COVID_19 | COVID-19 | 159 | 8 | Disease | disease | COVID-19
35975552 | @DISEASE_Infections | Infections | 628 | 9 | Disease | disease | infection
35975552 | @DISEASE_COVID_19 | COVID-19 | 1421 | 8 | Disease | disease | COVID-19
36057605 | @GENE_ACE2 | ACE2 | 15 | 4 | Gene | gene | ACE2
36057605 | @DISEASE_COVID_19 | COVID-19 | 49 | 20 | Disease | disease | SARS-CoV-2 infection
36057605 | @GENE_TOLLIP | TOLLIP | 78 | 6 | Gene | gene | TOLLIP
36057605 | @GENE_ACE2 | ACE2 | 389 | 4 | Gene | gene | ACE2
36057605 | @GENE_SUMO3 | SUMO3 | 411 | 31 | Gene | gene | small ubiquitin-like modifier 3
36057605 | @GENE_SUMO3 | SUMO3 | 444 | 5 | Gene | gene | SUMO3
36057605 | @GENE_ACE2 | ACE2 | 502 | 4 | Gene | gene | ACE2
36057605 | @DISEASE_COVID_19 | COVID-19 | 529 | 20 | Disease | disease | SARS-CoV-2 infection
36057605 | @GENE_PIAS4 | PIAS4 | 566 | 5 | Gene | gene | PIAS4
36057605 | @GENE_ACE2 | ACE2 | 617 | 4 | Gene | gene | ACE2
36057605 | @GENE_SENP3 | SENP3 | 652 | 5 | Gene | gene | SENP3
36057605 | @GENE_SUMO3 | SUMO3 | 696 | 5 | Gene | gene | SUMO3
36057605 | @GENE_ACE2 | ACE2 | 707 | 4 | Gene | gene | ACE2
36057605 | @GENE_ACE2 | ACE2 | 771 | 4 | Gene | gene | ACE2
36057605 | @GENE_TOLLIP | TOLLIP | 824 | 6 | Gene | gene | TOLLIP
36057605 | @GENE_ACE2 | ACE2 | 915 | 4 | Gene | gene | ACE2
36057605 | @DISEASE_COVID_19 | COVID-19 | 933 | 20 | Disease | disease | SARS-CoV-2 infection
36057605 | @GENE_ACE2 | ACE2 | 1027 | 4 | Gene | gene | ACE2
36057605 | @DISEASE_COVID_19 | COVID-19 | 1108 | 20 | Disease | disease | SARS-CoV-2 infection
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 46 | 11 | Chemical | chemical | carotenoids
36058151 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 115 | 21 | Disease | disease | Coronavirus infection
36058151 | @DISEASE_COVID_19 | COVID-19 | 142 | 24 | Disease | disease | Coronavirus Disease-2019
36058151 | @DISEASE_COVID_19 | COVID-19 | 168 | 8 | Disease | disease | COVID-19
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 278 | 11 | Chemical | chemical | Carotenoids
36058151 | @DISEASE_Inflammation | Inflammation | 339 | 12 | Disease | disease | inflammatory
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 526 | 11 | Chemical | chemical | carotenoids
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 696 | 11 | Chemical | chemical | carotenoids
36058151 | @DISEASE_COVID_19 | COVID-19 | 749 | 8 | Disease | disease | COVID-19
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 825 | 11 | Chemical | chemical | carotenoids
36058151 | @CHEMICAL_Lipids | Lipids | 918 | 5 | Chemical | chemical | lipid
36058151 | @DISEASE_Hypoxia | Hypoxia | 951 | 7 | Disease | disease | hypoxia
36058151 | @CHEMICAL_Superoxides | Superoxides | 970 | 10 | Chemical | chemical | superoxide
36058151 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 1052 | 23 | Chemical | chemical | reactive oxygen species
36058151 | @CHEMICAL_Reactive_Oxygen_Species | Reactive Oxygen Species | 1077 | 3 | Chemical | chemical | ROS
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 1083 | 11 | Chemical | chemical | Carotenoids
36058151 | @DISEASE_COVID_19 | COVID-19 | 1108 | 8 | Disease | disease | COVID-19
36058151 | @DISEASE_Inflammation | Inflammation | 1148 | 12 | Disease | disease | inflammatory
36058151 | @DISEASE_Inflammation | Inflammation | 1188 | 12 | Disease | disease | inflammatory
36058151 | @GENE_NFKB1 | NFKB1 | 1235 | 22 | Gene | gene | nuclear factor kappa B
36058151 | @GENE_NFKB1 | NFKB1 | 1259 | 9 | Gene | gene | NF-kappaB
36058151 | @GENE_REN | REN | 1271 | 5 | Gene | gene | renin
36058151 | @GENE_IL6 | IL6 | 1397 | 4 | Gene | gene | IL-6
36058151 | @DISEASE_Inflammation | Inflammation | 1458 | 12 | Disease | disease | inflammatory
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 1496 | 11 | Chemical | chemical | carotenoids
36058151 | @DISEASE_COVID_19 | COVID-19 | 1610 | 8 | Disease | disease | COVID-19
36058151 | @GENE_ACE2 | ACE2 | 1754 | 31 | Gene | gene | angiotensin-converting enzyme 2
36058151 | @GENE_ACE2 | ACE2 | 1787 | 4 | Gene | gene | ACE2
36058151 | @DISEASE_COVID_19 | COVID-19 | 1838 | 8 | Disease | disease | COVID-19
36058151 | @DISEASE_Influenza_Human | Influenza Human | 1851 | 17 | Disease | disease | flu-like diseases
36058151 | @CHEMICAL_Carotenoids | Carotenoids | 1876 | 10 | Chemical | chemical | carotenoid
36058151 | @DISEASE_Seasonal_Affective_Disorder | Seasonal Affective Disorder | 1950 | 8 | Disease | disease | seasonal
36058151 | @DISEASE_Influenza_Human | Influenza Human | 1959 | 3 | Disease | disease | flu
36058151 | @DISEASE_COVID_19 | COVID-19 | 2046 | 8 | Disease | disease | COVID-19
36064077 | @DISEASE_COVID_19 | COVID-19 | 48 | 8 | Disease | disease | COVID-19
36064077 | @DISEASE_Pulmonary_Embolism | Pulmonary Embolism | 90 | 18 | Disease | disease | pulmonary embolism
36064077 | @DISEASE_Fibrosis | Fibrosis | 113 | 8 | Disease | disease | fibrosis
36064077 | @DISEASE_COVID_19 | COVID-19 | 134 | 8 | Disease | disease | COVID-19
36064077 | @DISEASE_COVID_19 | COVID-19 | 351 | 8 | Disease | disease | COVID-19
36064077 | @DISEASE_COVID_19 | COVID-19 | 598 | 8 | Disease | disease | COVID-19
36064077 | @DISEASE_Pulmonary_Embolism | Pulmonary Embolism | 615 | 37 | Disease | disease | embolic and fibrotic pulmonary injury
36064077 | @GENE_ACE2 | ACE2 | 698 | 4 | Gene | gene | ACE2
36064077 | @GENE_TNF | TNF | 812 | 9 | Gene | gene | TNF-alpha
36064077 | @GENE_IL1B | IL1B | 823 | 8 | Gene | gene | IL-1beta
36064077 | @GENE_IL6 | IL6 | 833 | 4 | Gene | gene | IL-6
36064077 | @GENE_CXCL8 | CXCL8 | 839 | 4 | Gene | gene | IL-8
36064077 | @GENE_CCL2 | CCL2 | 858 | 5 | Gene | gene | MCP-1
36064077 | @GENE_TNPO1 | TNPO1 | 865 | 5 | Gene | gene | MIP-1
36064077 | @GENE_CCL5 | CCL5 | 872 | 6 | Gene | gene | RANTES
36064077 | @GENE_TLR4 | TLR4 | 910 | 4 | Gene | gene | TLR4
36064077 | @DISEASE_Pulmonary_Embolism | Pulmonary Embolism | 980 | 37 | Disease | disease | embolic and fibrotic pulmonary injury
36064077 | @GENE_VWF | VWF | 1050 | 3 | Gene | gene | vWF
36064077 | @GENE_SERPINE1 | SERPINE1 | 1055 | 5 | Gene | gene | PAI-1
36064077 | @GENE_KIT | KIT | 1081 | 5 | Gene | gene | c-Kit
36064077 | @GENE_KITLG | KITLG | 1088 | 3 | Gene | gene | SCF
36064077 | @GENE_AKT1 | AKT1 | 1257 | 3 | Gene | gene | AKT
36064077 | @DISEASE_COVID_19 | COVID-19 | 1358 | 8 | Disease | disease | COVID-19
