2784466 | @GENE_CD8B1 | Cd8b1 | 44 | 9 | Gene | gene | CD8 beta-
3084649 | @DISEASE_Mastocytoma | Mastocytoma | 1530 | 11 | Disease | disease | mastocytoma
3084649 | @GENE_CD2 | CD2 | 1554 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1677 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1764 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 1911 | 3 | Gene | gene | CD2
3084649 | @GENE_CD2 | CD2 | 2018 | 3 | Gene | gene | CD2
3092111 | @GENE_CD8A | CD8A | 103 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | CD8A | 120 | 3 | Gene | gene | CD8
3092111 | @GENE_HLA_C | HLA-C | 338 | 3 | Gene | gene | MHC
3092111 | @GENE_CD8A | CD8A | 380 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | CD8A | 418 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | CD8A | 452 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | CD8A | 507 | 3 | Gene | gene | CD8
3092111 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 583 | 15 | Gene | gene | T-cell receptor
3092111 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 600 | 3 | Gene | gene | TCR
3092111 | @GENE_CD8A | CD8A | 640 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | CD8A | 791 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | CD8A | 908 | 3 | Gene | gene | CD8
3092111 | @GENE_CD8A | Cd8a | 922 | 4 | Gene | gene | Lyt2
3092111 | @GENE_CD8B1 | Cd8b1 | 1163 | 4 | Gene | gene | Lyt3
3092111 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1218 | 15 | Gene | gene | T-cell receptor
3092111 | @GENE_CD8A | CD8A | 1377 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8A | CD8A | 29 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8B1 | Cd8b1 | 43 | 5 | Gene | gene | Lyt-3
3114136 | @GENE_CD8A | CD8A | 87 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8A | CD8A | 288 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8A | Cd8a | 341 | 5 | Gene | gene | Lyt-2
3114136 | @GENE_CD8B1 | Cd8b1 | 351 | 5 | Gene | gene | Lyt-3
3114136 | @GENE_CD8A | CD8A | 425 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8A | Cd8a | 546 | 5 | Gene | gene | Lyt-2
3114136 | @GENE_CD8A | CD8A | 641 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8B | CD8B | 652 | 5 | Gene | gene | Lyt-3
3114136 | @DISEASE_Leukemia | Leukemia | 784 | 8 | Disease | disease | leukemic
3114136 | @GENE_CD8B | CD8B | 832 | 5 | Gene | gene | Lyt-3
3114136 | @GENE_CD8A | CD8A | 880 | 3 | Gene | gene | CD8
3114136 | @GENE_CD8A | CD8A | 896 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8A | CD8A | 20 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8A | CD8A | 162 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8B | CD8B | 238 | 4 | Gene | gene | Lyt3
3145195 | @GENE_CD8A | CD8A | 325 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8B | CD8B | 424 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 452 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8A | CD8A | 500 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8B | CD8B | 569 | 9 | Gene | gene | CD8 beta-
3145195 | @GENE_CD8B | CD8B | 928 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 979 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8A | CD8A | 1038 | 3 | Gene | gene | CD8
3145195 | @GENE_CD8A | CD8A | 1152 | 9 | Gene | gene | CD8 alpha
3145195 | @GENE_CD8B | CD8B | 1166 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8A | CD8A | 1209 | 9 | Gene | gene | CD8 alpha
3145195 | @GENE_CD8B | CD8B | 1280 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 1328 | 8 | Gene | gene | CD8 beta
3145195 | @GENE_CD8B | CD8B | 1404 | 8 | Gene | gene | CD8 beta
3145196 | @GENE_CD8B | CD8B | 10 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8A | CD8A | 34 | 3 | Gene | gene | CD8
3145196 | @GENE_CD8A | CD8A | 167 | 3 | Gene | gene | CD8
3145196 | @GENE_CD8A | CD8A | 263 | 3 | Gene | gene | CD8
3145196 | @GENE_CD8B | CD8B | 380 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 480 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 623 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 716 | 5 | Gene | gene | Lyt-3
3145196 | @GENE_CD8B | CD8B | 882 | 5 | Gene | gene | Lyt-3
3258885 | @GENE_CD8A | Cd8a | 34 | 4 | Gene | gene | Ly-2
3258885 | @GENE_CD8A | Cd8a | 61 | 4 | Gene | gene | Ly-2
3258885 | @GENE_CD8A | Cd8a | 176 | 4 | Gene | gene | Ly-2
3258885 | @GENE_CD8A | Cd8a | 396 | 4 | Gene | gene | Ly-2
3258885 | @GENE_CD8A | CD8A | 424 | 3 | Gene | gene | CD8
3258885 | @GENE_CD8A | Cd8a | 439 | 4 | Gene | gene | Ly-2
3258885 | @GENE_CD8A | Cd8a | 597 | 4 | Gene | gene | Ly-2
3258885 | @GENE_CD8A | Cd8a | 616 | 4 | Gene | gene | Ly-2
3263917 | @GENE_CD8B1 | Cd8b1 | 293 | 4 | Gene | gene | Ly-3
3263917 | @GENE_CD8B1 | Cd8b1 | 642 | 4 | Gene | gene | Ly-3
3263917 | @GENE_CD8B1 | Cd8b1 | 919 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD8B1 | Cd8b1 | 80 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD8A | Cd8a | 321 | 4 | Gene | gene | Ly-2
3498943 | @GENE_CD8B1 | Cd8b1 | 388 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD8B1 | Cd8b1 | 457 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD8B1 | Cd8b1 | 494 | 4 | Gene | gene | Ly-3
3498943 | @GENE_LY31 | Ly31 | 654 | 6 | Gene | gene | Ly-3.1
3498943 | @GENE_CD72 | Cd72 | 723 | 6 | Gene | gene | Ly-3.2
3498943 | @GENE_CD8B1 | Cd8b1 | 766 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD8B1 | Cd8b1 | 805 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD72 | Cd72 | 823 | 6 | Gene | gene | Ly-3.2
3498943 | @GENE_CD8B1 | Cd8b1 | 1060 | 4 | Gene | gene | Ly-3
3498943 | @GENE_CD8A | Cd8a | 1140 | 4 | Gene | gene | Ly-2
3498943 | @GENE_CD8B1 | Cd8b1 | 1502 | 4 | Gene | gene | Ly-3
8509140 | @GENE_TRAV6_3 | Trav6-3 | 289 | 3 | Gene | gene | TcR
8509140 | @GENE_APP | App | 326 | 10 | Gene | gene | alpha beta
8509140 | @GENE_TRAV6_3 | Trav6-3 | 509 | 3 | Gene | gene | TcR
8509140 | @GENE_CD8A | Cd8a | 1328 | 5 | Gene | gene | Lyt-2
8509140 | @GENE_CD8B1 | Cd8b1 | 1337 | 5 | Gene | gene | Lyt-3
8509140 | @GENE_APP | App | 1697 | 10 | Gene | gene | alpha beta
8537123 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 0 | 19 | Disease | disease | Autoimmune diabetes
8537123 | @DISEASE_Obesity | Obesity | 26 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 125 | 33 | Disease | disease | Type I insulin-dependent diabetes
8537123 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 160 | 3 | Disease | disease | IDD
8537123 | @DISEASE_Obesity | Obesity | 318 | 18 | Disease | disease | non-obese diabetic
8537123 | @DISEASE_Obesity | Obesity | 338 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 368 | 3 | Disease | disease | IDD
8537123 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 487 | 3 | Disease | disease | IDD
8537123 | @DISEASE_Obesity | Obesity | 603 | 3 | Disease | disease | NOD
8537123 | @GENE_CD8B1 | Cd8b1 | 657 | 8 | Gene | gene | CD8 beta
8537123 | @GENE_CD8B1 | Cd8b1 | 725 | 8 | Gene | gene | CD8 beta
8537123 | @DISEASE_Obesity | Obesity | 1006 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Obesity | Obesity | 1043 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Obesity | Obesity | 1171 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Diabetes_Mellitus | Diabetes Mellitus | 1291 | 8 | Disease | disease | diabetes
8537123 | @GENE_CD8A | Cd8a | 1391 | 9 | Gene | gene | CD8 alpha
8537123 | @DISEASE_Obesity | Obesity | 1507 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Obesity | Obesity | 1595 | 3 | Disease | disease | NOD
8537123 | @DISEASE_Obesity | Obesity | 1699 | 3 | Disease | disease | NOD
8537123 | @GENE_CD8B1 | Cd8b1 | 1795 | 8 | Gene | gene | CD8 beta
16474425 | @DISEASE_Inflammation | Inflammation | 420 | 12 | Disease | disease | inflammatory
16474425 | @GENE_IL10 | Il10 | 461 | 5 | Gene | gene | IL-10
16474425 | @DISEASE_Virus_Diseases | Virus Diseases | 544 | 15 | Disease | disease | viral infection
16474425 | @GENE_IRF8 | Irf8 | 625 | 5 | Gene | gene | IRF-8
16474425 | @GENE_IRF4 | Irf4 | 635 | 5 | Gene | gene | IRF-4
16474425 | @GENE_IRF8 | Irf8 | 739 | 5 | Gene | gene | IRF-8
16474425 | @GENE_CD8A | Cd8a | 783 | 8 | Gene | gene | CD8alpha
16474425 | @GENE_IRF4 | Irf4 | 803 | 5 | Gene | gene | IRF-4
16474425 | @GENE_CD4 | Cd4 | 822 | 3 | Gene | gene | CD4
16474425 | @GENE_IRF8 | Irf8 | 830 | 5 | Gene | gene | IRF-8
16474425 | @GENE_IRF4 | Irf4 | 840 | 4 | Gene | gene | IRF4
16474425 | @GENE_CD8A | Cd8a | 885 | 4 | Gene | gene | CD8a
16474425 | @GENE_CD4 | Cd4 | 890 | 3 | Gene | gene | CD4
16474425 | @GENE_H2 | H2 | 907 | 6 | Gene | gene | MHC II
16474425 | @GENE_IRF7 | Irf7 | 969 | 5 | Gene | gene | IRF-7
16474425 | @GENE_IRF3 | Irf3 | 1109 | 5 | Gene | gene | IRF-3
16474425 | @GENE_IRF8 | Irf8 | 1296 | 5 | Gene | gene | IRF-8
16474425 | @GENE_MYD88 | Myd88 | 1408 | 5 | Gene | gene | MyD88
16474425 | @GENE_TLR3 | Tlr3 | 1515 | 4 | Gene | gene | TLR3
16474425 | @GENE_DDX58 | Ddx58 | 1524 | 5 | Gene | gene | RIG-I
16474425 | @DISEASE_Inflammation | Inflammation | 1553 | 16 | Disease | disease | pro-inflammatory
16474425 | @GENE_IRF5 | Irf5 | 1599 | 5 | Gene | gene | IRF-5
16474425 | @GENE_IRF5 | Irf5 | 1632 | 5 | Gene | gene | IRF-5
16474425 | @DISEASE_Inflammation | Inflammation | 1758 | 16 | Disease | disease | pro-inflammatory
16491076 | @GENE_CD8A | CD8A | 23 | 3 | Gene | gene | CD8
16491076 | @GENE_CD8B | CD8B | 42 | 3 | Gene | gene | Cd8
16491076 | @GENE_PATZ1 | PATZ1 | 103 | 4 | Gene | gene | MAZR
16491076 | @GENE_CD8B | CD8B | 203 | 3 | Gene | gene | Cd8
16491076 | @GENE_CD8A | CD8A | 321 | 3 | Gene | gene | CD8
16491076 | @GENE_CD8B | CD8B | 391 | 3 | Gene | gene | Cd8
16491076 | @GENE_CD8A | CD8A | 461 | 4 | Gene | gene | Cd8a
16491076 | @GENE_CD8B | CD8B | 470 | 5 | Gene | gene | Cd8b1
16491076 | @GENE_CD8B | CD8B | 477 | 3 | Gene | gene | Cd8
16491076 | @GENE_PATZ1 | PATZ1 | 507 | 4 | Gene | gene | MAZR
16491076 | @GENE_CD8B | CD8B | 522 | 3 | Gene | gene | Cd8
16491076 | @GENE_NCOR1 | NCOR1 | 588 | 5 | Gene | gene | N-CoR
16491076 | @GENE_PATZ1 | PATZ1 | 633 | 4 | Gene | gene | MAZR
16491076 | @GENE_CD8A | CD8A | 679 | 3 | Gene | gene | CD8
16491076 | @GENE_PATZ1 | PATZ1 | 736 | 4 | Gene | gene | MAZR
16491076 | @GENE_CD8B | CD8B | 757 | 3 | Gene | gene | Cd8
16491076 | @GENE_CD8A | CD8A | 787 | 3 | Gene | gene | CD8
16491076 | @GENE_CD8B | CD8B | 853 | 3 | Gene | gene | Cd8
16491076 | @GENE_PATZ1 | PATZ1 | 875 | 4 | Gene | gene | MAZR
16491076 | @GENE_CD8B | CD8B | 909 | 3 | Gene | gene | Cd8
17195459 | @GENE_CEACAM3 | CEACAM3 | 66 | 3 | Gene | gene | CEA
17195459 | @DISEASE_Neoplasms | Neoplasms | 81 | 5 | Disease | disease | tumor
17195459 | @GENE_CEACAM3 | CEACAM3 | 161 | 3 | Gene | gene | CEA
17195459 | @GENE_CEACAM3 | CEACAM3 | 209 | 3 | Gene | gene | CEA
17195459 | @DISEASE_Neoplasms | Neoplasms | 224 | 6 | Disease | disease | tumors
17195459 | @GENE_HLA_A | HLA-A | 237 | 3 | Gene | gene | HLA
17195459 | @GENE_CIR1 | CIR1 | 306 | 3 | Gene | gene | CIR
17195459 | @GENE_CIR1 | CIR1 | 355 | 3 | Gene | gene | CIR
17195459 | @GENE_SCFV | SCFV | 446 | 4 | Gene | gene | scFv
17195459 | @GENE_CEACAM3 | CEACAM3 | 548 | 3 | Gene | gene | CEA
17195459 | @GENE_SCFV | SCFV | 557 | 4 | Gene | gene | scFv
17195459 | @GENE_CD8A | CD8A | 638 | 4 | Gene | gene | CD8a
17195459 | @GENE_CD28 | CD28 | 667 | 4 | Gene | gene | CD28
17195459 | @GENE_CD247 | CD247 | 725 | 7 | Gene | gene | CD3zeta
17195459 | @GENE_CIR1 | CIR1 | 775 | 3 | Gene | gene | CIR
17195459 | @GENE_CIR1 | CIR1 | 804 | 3 | Gene | gene | CIR
17195459 | @GENE_CEACAM3 | CEACAM3 | 966 | 3 | Gene | gene | CEA
17195459 | @GENE_CIR1 | CIR1 | 1013 | 3 | Gene | gene | CIR
17195459 | @GENE_CIR1 | CIR1 | 1108 | 3 | Gene | gene | CIR
17195459 | @GENE_CEACAM3 | CEACAM3 | 1190 | 3 | Gene | gene | CEA
17195459 | @GENE_HLA_A | HLA-A | 1209 | 3 | Gene | gene | HLA
17195459 | @DISEASE_Neoplasms | Neoplasms | 1227 | 5 | Disease | disease | tumor
17244753 | @GENE_ITGAX | Itgax | 716 | 5 | Gene | gene | CD11c
17244753 | @GENE_H2 | H2 | 727 | 6 | Gene | gene | MHC-II
17244753 | @GENE_ITGAX | Itgax | 818 | 5 | Gene | gene | CD11c
17244753 | @GENE_ITGAM | Itgam | 858 | 5 | Gene | gene | CD11b
17244753 | @GENE_CD8A | Cd8a | 865 | 8 | Gene | gene | CD8alpha
17244753 | @GENE_CD86 | Cd86 | 875 | 4 | Gene | gene | CD86
17244753 | @GENE_LY75 | Ly75 | 885 | 7 | Gene | gene | DEC-205
17244753 | @GENE_ITGAX | Itgax | 986 | 5 | Gene | gene | CD11c
17244753 | @GENE_ITGAM | Itgam | 994 | 5 | Gene | gene | CD11b
17244753 | @GENE_ITGAX | Itgax | 1020 | 5 | Gene | gene | CD11c
17244753 | @GENE_CD8A | Cd8a | 1028 | 4 | Gene | gene | CD8a
17244753 | @GENE_H2 | H2 | 1769 | 6 | Gene | gene | MHC-II
17244753 | @GENE_CD86 | Cd86 | 1780 | 4 | Gene | gene | CD86
17658607 | @VARIANT_p.G111S_CD8A_human | p.G111S | 0 | 9 | Variant | variant | Gly111Ser
17658607 | @GENE_CD8A | CD8A | 22 | 4 | Gene | gene | CD8A
17658607 | @VARIANT_p.G111S_CD8A_human | p.G111S | 180 | 11 | Variant | variant | p.Gly111Ser
17658607 | @GENE_CD8A | CD8A | 224 | 3 | Gene | gene | CD8
17658607 | @VARIANT_p.G111S_CD8A_human | p.G111S | 408 | 11 | Variant | variant | p.Gly111Ser
17658607 | @GENE_CD8A | CD8A | 432 | 8 | Gene | gene | CD8alpha
17658607 | @DISEASE_Respiratory_Tract_Infections | Respiratory Tract Infections | 482 | 22 | Disease | disease | respiratory infections
17658607 | @DISEASE_Respiratory_Insufficiency | Respiratory Insufficiency | 633 | 18 | Disease | disease | respiratory injury
17658607 | @VARIANT_p.G111S_CD8A_human | p.G111S | 909 | 11 | Variant | variant | p.Gly111Ser
17658607 | @GENE_CD8A | CD8A | 1057 | 4 | Gene | gene | CD8A
17658607 | @VARIANT_p.G111S_CD8A_human | p.G111S | 1147 | 11 | Variant | variant | p.Gly111Ser
17658607 | @DISEASE_CD8_Deficiency_Familial | CD8 Deficiency Familial | 1180 | 14 | Disease | disease | CD8 deficiency
17658607 | @DISEASE_Infections | Infections | 1324 | 10 | Disease | disease | infections
22068125 | @DISEASE_Hematuria_Benign_Familial | Hematuria Benign Familial | 22 | 32 | Disease | disease | antiglomerular basement membrane
22068125 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 55 | 18 | Disease | disease | glomerulonephritis
22068125 | @GENE_CD8A | Cd8a | 116 | 8 | Gene | gene | CD8alpha
22068125 | @DISEASE_Hematuria_Benign_Familial | Hematuria Benign Familial | 175 | 32 | Disease | disease | antiglomerular basement membrane
22068125 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 208 | 18 | Disease | disease | glomerulonephritis
22068125 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 228 | 2 | Disease | disease | GN
22068125 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 239 | 2 | Disease | disease | GN
22068125 | @DISEASE_Inflammation | Inflammation | 298 | 23 | Disease | disease | glomerular inflammation
22068125 | @GENE_CD8A | Cd8a | 391 | 8 | Gene | gene | CD8alpha
22068125 | @GENE_CD8A | Cd8a | 432 | 8 | Gene | gene | CD8alpha
22068125 | @DISEASE_Glomerulonephritis | Glomerulonephritis | 453 | 2 | Disease | disease | GN
22068125 | @DISEASE_Inflammation | Inflammation | 504 | 23 | Disease | disease | glomerular inflammation
22068125 | @DISEASE_Fibrosis | Fibrosis | 571 | 19 | Disease | disease | glomerular fibrosis
22068125 | @GENE_CD8A | Cd8a | 629 | 8 | Gene | gene | CD8alpha
22068125 | @GENE_CD8A | Cd8a | 712 | 8 | Gene | gene | CD8alpha
22068125 | @GENE_CD8A | Cd8a | 870 | 8 | Gene | gene | CD8alpha
22068125 | @GENE_CD8A | Cd8a | 1047 | 8 | Gene | gene | CD8alpha
22068125 | @GENE_CD4 | Cd4 | 1219 | 3 | Gene | gene | CD4
22068125 | @DISEASE_Fibrosis | Fibrosis | 1336 | 8 | Disease | disease | fibrosis
22068125 | @GENE_CD8A | Cd8a | 1385 | 8 | Gene | gene | CD8alpha
22068125 | @DISEASE_Inflammation | Inflammation | 1429 | 23 | Disease | disease | glomerular inflammation
22068125 | @GENE_CD8A | Cd8a | 1516 | 8 | Gene | gene | CD8alpha
22068125 | @GENE_CD8A | Cd8a | 1667 | 4 | Gene | gene | CD8a
22068125 | @DISEASE_Inflammation | Inflammation | 1703 | 23 | Disease | disease | glomerular inflammation
22068125 | @GENE_CD8A | Cd8a | 1774 | 4 | Gene | gene | CD8a
22896631 | @DISEASE_Inflammation | Inflammation | 148 | 21 | Disease | disease | inflammatory diseases
22896631 | @DISEASE_Infections | Infections | 491 | 9 | Disease | disease | infection
23355737 | @GENE_CD8A | CD8A | 0 | 8 | Gene | gene | CD8alpha
23355737 | @GENE_IL15 | IL15 | 47 | 5 | Gene | gene | IL-15
23355737 | @GENE_CD8A | CD8A | 62 | 3 | Gene | gene | CD8
23355737 | @GENE_CD8A | CD8A | 207 | 3 | Gene | gene | CD8
23355737 | @GENE_IL15 | IL15 | 763 | 5 | Gene | gene | IL-15
23355737 | @GENE_CD8A | CD8A | 816 | 8 | Gene | gene | CD8alpha
23355737 | @GENE_IL15 | IL15 | 877 | 5 | Gene | gene | IL-15
23355737 | @GENE_CD8A | CD8A | 884 | 3 | Gene | gene | CD8
23355737 | @GENE_IL2RB | IL2RB | 919 | 5 | Gene | gene | CD122
23355737 | @GENE_EOMES | EOMES | 928 | 12 | Gene | gene | eomesodermin
23355737 | @GENE_CD8A | CD8A | 947 | 4 | Gene | gene | CD8a
23355737 | @GENE_CD8A | CD8A | 1039 | 3 | Gene | gene | CD8
23355737 | @GENE_IL15 | IL15 | 1150 | 5 | Gene | gene | IL-15
23933420 | @CHEMICAL_Lipopolysaccharides | Lipopolysaccharides | 1120 | 18 | Chemical | chemical | lipopolysaccharide
25416805 | @GENE_CTNNB1 | Ctnnb1 | 0 | 12 | Gene | gene | Beta-catenin
25416805 | @GENE_IRF8 | Irf8 | 78 | 4 | Gene | gene | IRF8
25416805 | @GENE_CTNNB1 | Ctnnb1 | 110 | 12 | Gene | gene | Beta-catenin
25416805 | @GENE_CTNNB1 | Ctnnb1 | 260 | 12 | Gene | gene | beta-catenin
25416805 | @GENE_IRF8 | Irf8 | 316 | 23 | Gene | gene | IFN regulatory factor 8
25416805 | @GENE_IRF8 | Irf8 | 341 | 4 | Gene | gene | IRF8
25416805 | @GENE_CTNNB1 | Ctnnb1 | 403 | 12 | Gene | gene | beta-catenin
25416805 | @GENE_ITGAX | Itgax | 440 | 5 | Gene | gene | CD11c
25416805 | @GENE_CTNNB1 | Ctnnb1 | 468 | 12 | Gene | gene | beta-catenin
25416805 | @GENE_IRF8 | Irf8 | 504 | 4 | Gene | gene | IRF8
25416805 | @GENE_IRF8 | Irf8 | 534 | 4 | Gene | gene | Irf8
25416805 | @GENE_IRF8 | Irf8 | 581 | 4 | Gene | gene | IRF8
25416805 | @GENE_CD8A | Cd8a | 596 | 4 | Gene | gene | CD8a
25416805 | @GENE_ITGAE | Itgae | 621 | 5 | Gene | gene | CD103
25416805 | @GENE_CTNNB1 | Ctnnb1 | 640 | 12 | Gene | gene | beta-catenin
25416805 | @GENE_CD8A | Cd8a | 664 | 4 | Gene | gene | CD8a
25416805 | @GENE_CTNNB1 | Ctnnb1 | 755 | 12 | Gene | gene | beta-catenin
