1788521 | Cotreatment | Pyridostigmine Bromide | Trimedoxime
16177063 | Positive_Correlation | IL2 | JAK3
16177063 | Negative_Correlation | NC 1153 | JAK3
16177063 | Association | JAK3 | STAT5A
16177063 | Positive_Correlation | JAK2 | PRL
16177063 | Negative_Correlation | Mannich Bases | Drug-Related Side Effects and Adverse Reactions
16177063 | Positive_Correlation | IL2 | STAT5A
16698439 | Positive_Correlation | MICA | IL15
16698439 | Association | IL2 | JAK3
16698439 | Positive_Correlation | Tetradecanoylphorbol Acetate | CD4
16698439 | Bind | MICA | KLRK1
16698439 | Positive_Correlation | MICA | IL2
16698439 | Association | IL2 | STAT5A
16698439 | Positive_Correlation | Ionomycin | MICA
16698439 | Association | MICA | CD4
16698439 | Association | IL2 | LCK
16698439 | Association | IFNG | CD4
16698439 | Association | IL2 | NFKB1
16698439 | Positive_Correlation | Tetradecanoylphorbol Acetate | MICA
16698439 | Positive_Correlation | MICA | IL4
19139084 | Positive_Correlation | Lymphoproliferative Disorders | p.A572V
19139084 | Association | Lymphoma T-Cell Cutaneous | p.A572V
19139084 | Association | Lymphoma T-Cell Cutaneous | Jak3
19139084 | Association | Lymphoma | Jak3
19139084 | Association | Lymphoproliferative Disorders | Jak3
19139084 | Association | Lymphoma T-Cell Cutaneous | CD8A
19139084 | Association | Lymphoproliferative Disorders | JAK3
19139084 | Association | Lymphoma T-Cell Cutaneous | JAK3
20391436 | Association | JAK3 | CD40LG
20391436 | Positive_Correlation | CD4 | CD40
20391436 | Association | IFNG | JAK3
20391436 | Association | IFNG | STAT5A
20391436 | Association | PTPRC | CD4
20391436 | Negative_Correlation | TRBV20OR9-2 | ZAP70
20391436 | Positive_Correlation | CD40 | CD40LG
20391436 | Association | CD4 | CD40LG
20391436 | Positive_Correlation | IL15 | NFKB1
20391436 | Association | JAK3 | CD4
20391436 | Association | STAT5A | CD40LG
20391436 | Association | STAT5A | CD4
20391436 | Positive_Correlation | IL15 | CD40LG
20391436 | Positive_Correlation | IFNG | CD40LG
20435017 | Association | Inflammation | TYK2
20435017 | Association | Adenosine Triphosphate | TYK2
20506481 | Association | Il2 | Jak3
20506481 | Association | Il6 | Jak3
20506481 | Association | Jak1 | Jak3
20506481 | Association | Arthritis | Jak3
20506481 | Association | Csf2 | Jak3
20506481 | Positive_Correlation | Ifng | Il2
20506481 | Positive_Correlation | Ifng | Jak3
20506481 | Positive_Correlation | Reticulocytosis | Epo
20506481 | Positive_Correlation | Il2 | Stat5a
20724918 | Association | Inflammation | Jak2
20724918 | Association | Arthritis Rheumatoid | Tyk2
20724918 | Association | Arthritis Experimental | Jak2
20724918 | Association | Arthritis Rheumatoid | Jak3
23592745 | Negative_Correlation | wogonin | Il6
23592745 | Association | Lipopolysaccharides | Jak3
23592745 | Association | Jak1 | Tnf
23592745 | Association | wogonin | Stat3
23592745 | Positive_Correlation | Lipopolysaccharides | Tnf
23592745 | Positive_Correlation | Lipopolysaccharides | Tyk2
23592745 | Negative_Correlation | wogonin | Tnf
23592745 | Positive_Correlation | Ifng | Il6
23592745 | Association | wogonin | Jak1
23592745 | Positive_Correlation | Ifng | Tnf
23592745 | Negative_Correlation | wogonin | Inflammation
23592745 | Association | Lipopolysaccharides | Stat1
23592745 | Negative_Correlation | wogonin | Ifng
23592745 | Positive_Correlation | Lipopolysaccharides | Il6
23592745 | Negative_Correlation | wogonin | Tyk2
23592745 | Association | Il6 | Jak3
23592745 | Association | Lipopolysaccharides | Stat3
23592745 | Negative_Correlation | wogonin | Lipopolysaccharides
23592745 | Association | wogonin | Stat1
23592745 | Positive_Correlation | Lipopolysaccharides | Jak2
23592745 | Association | Il6 | Jak1
23592745 | Association | wogonin | Jak3
23592745 | Negative_Correlation | wogonin | Jak2
23689514 | Association | JAK3 | STAT3
23689514 | Negative_Correlation | tofacitinib | Neoplasms
23689514 | Negative_Correlation | tofacitinib | JAK3
23689514 | Association | GATA2 Deficiency | JAK3
23689514 | Association | Neoplasms | JAK3
23797672 | Negative_Correlation | Cd4 | Jak3
23797672 | Negative_Correlation | Akt1 | Jak3
23797672 | Negative_Correlation | Creb1 | Jak3
23797672 | Negative_Correlation | Jak3 | Gsk3b
23797672 | Positive_Correlation | Il17a | Jak3
23797672 | Association | Inflammation | Jak3
23797672 | Negative_Correlation | Il10 | Jak3
24416451 | Association | IL2RG | JAK3
24416451 | Association | IL21 | CD8A
24416451 | Negative_Correlation | BCL2 | CD8A
24416451 | Bind | IL2 | IL2RG
24416451 | Bind | CD4 | CD8A
24416451 | Association | IL2 | CD8A
24416451 | Association | IL2 | IL21
24416451 | Negative_Correlation | IL2 | BCL2
24416451 | Association | IL2 | CD4
24416451 | Association | IL21 | CD4
24416451 | Association | Lymphoma T-Cell | IL2
25443414 | Association | JAK3 | MAPK1
25443414 | Association | Colitis Ulcerative | AKT1
25443414 | Negative_Correlation | Celecoxib | Precancerous Conditions
25443414 | Association | Colorectal Neoplasms | MAPK1
25443414 | Negative_Correlation | Celecoxib | Colorectal Neoplasms
25443414 | Positive_Correlation | Colitis Ulcerative | MAPK1
25443414 | Negative_Correlation | Celecoxib | Inflammation
25443414 | Association | Colorectal Neoplasms | AKT1
25443414 | Negative_Correlation | Celecoxib | Colitis Ulcerative
25443414 | Negative_Correlation | Celecoxib | MAPK1
26971464 | Negative_Correlation | apremilast | PDE4A
26971464 | Positive_Correlation | Alopecia Areata | Il15
26971464 | Association | Alopecia Areata | CD8A
26971464 | Positive_Correlation | Il2 | KLRK1
26971464 | Association | Alopecia Areata | KCNA3
26971464 | Association | Alopecia Areata | KLRK1
26971464 | Positive_Correlation | Il2 | NCAM1
26971464 | Association | Alopecia Areata | PDE4A
26971464 | Association | KLRK1 | 1300017J02Rik
26971464 | Association | Alopecia Areata | 1300017J02Rik
26971464 | Association | Alopecia Areata | Il2
26971464 | Positive_Correlation | Alopecia Areata | Ifng
27487096 | Association | Jak3 | Smpd1
27487096 | Negative_Correlation | Amitriptyline | Jak3
27487096 | Negative_Correlation | Amitriptyline | Smpd1
27487096 | Association | Depressive Disorder Major | Jak3
27487096 | Association | Depressive Disorder | Jak3
27795451 | Negative_Correlation | 3-deoxysappanchalcone | Stat6
27795451 | Negative_Correlation | 3-deoxysappanchalcone | Inflammation
27795451 | Association | 3-deoxysappanchalcone | CTNNB1
27795451 | Positive_Correlation | 3-deoxysappanchalcone | IL6
27795451 | Negative_Correlation | 3-deoxysappanchalcone | Il4
27795451 | Positive_Correlation | 3-deoxysappanchalcone | CDK4
27795451 | Positive_Correlation | 3-deoxysappanchalcone | STAT3
27795451 | Positive_Correlation | 3-deoxysappanchalcone | VEGFA
27992687 | Association | JAK3 | CD4
27992687 | Association | IL2 | CD4
27992687 | Association | Lupus Erythematosus Systemic | STAT5A
27992687 | Association | Lupus Erythematosus Systemic | CD4
27992687 | Association | IL2 | STAT5A
27992687 | Association | IL2 | JAK3
27992687 | Association | STAT5A | CD4
27992687 | Association | Lupus Erythematosus Systemic | JAK3
27992687 | Association | Lupus Erythematosus Systemic | IL2
30778343 | Association | Severe Combined Immunodeficiency | PRKDC
30778343 | Association | Severe Combined Immunodeficiency | JAK3
31483188 | Comparison | tofacitinib | Tacrolimus
31483188 | Positive_Correlation | Streptozocin | Diabetes Mellitus
31545408 | Association | Lymphoma T-Cell | IL2
31545408 | Association | Lymphoma T-Cell Peripheral | IL2RG
31545408 | Association | IL2RG | ITK
31545408 | Association | IL2RG | SYK
31545408 | Positive_Correlation | STAT5A | SYK
31545408 | Association | Persistent Mullerian duct syndrome | ITK
31545408 | Negative_Correlation | tofacitinib | Neoplasms
31545408 | Positive_Correlation | ITK | JAK3
31545408 | Association | ITK | SYK
31545408 | Association | Lymphoma T-Cell Peripheral | ITK
31545408 | Association | Lymphoma T-Cell Peripheral | SYK
31545408 | Association | Lymphoma T-Cell | ITK
31545408 | Association | Persistent Mullerian duct syndrome | SYK
31545408 | Association | Lymphoma T-Cell | SYK
31545408 | Negative_Correlation | tofacitinib | JAK3
31545408 | Positive_Correlation | ITK | STAT5A
31545408 | Bind | IL2RG | JAK3
31545408 | Association | Lymphoma T-Cell Peripheral | JAK3
31545408 | Association | IL2 | SYK
31545408 | Association | Lymphoma T-Cell Peripheral | STAT5A
31545408 | Association | Persistent Mullerian duct syndrome | IL2
31545408 | Association | JAK3 | SYK
31545408 | Negative_Correlation | tofacitinib | STAT5A
32090602 | Positive_Correlation | Ano1 | Stat6
32090602 | Positive_Correlation | Adenosine Triphosphate | Il4
32090602 | Positive_Correlation | Il13 | Ano1
32090602 | Positive_Correlation | Ano1 | Il4
32090602 | Association | Il4 | Stat6
32090602 | Association | Ano1 | Stat6
32090602 | Positive_Correlation | Il13 | Stat6
32090602 | Association | Adenosine Triphosphate | Il13
32090602 | Association | Adenosine Triphosphate | Stat6
32090602 | Positive_Correlation | Il4 | Ano1
32090602 | Association | Il4 | Jak3
32090602 | Positive_Correlation | Jak3 | Ano1
32090602 | Positive_Correlation | Ano1 | Il13
32090602 | Association | Il4 | ANO1
32090602 | Positive_Correlation | Ano1 | IL13
32090602 | Association | Stat6 | IL13
32090602 | Positive_Correlation | Il4 | Stat6
32090602 | Association | Stat6 | Ano1
32090602 | Association | Liver Failure | Il4
32090602 | Association | Adenosine Triphosphate | Jak3
32698510 | Negative_Correlation | ruxolitinib | IL1B
32698510 | Negative_Correlation | ruxolitinib | IFNG
32698510 | Association | ruxolitinib | Inflammation
32698510 | Positive_Correlation | ruxolitinib | LEF1
32698510 | Positive_Correlation | IFNG | IL1B
32698510 | Negative_Correlation | ruxolitinib | IL15
32698510 | Negative_Correlation | ruxolitinib | JAK3
32698510 | Positive_Correlation | ruxolitinib | FGF7
32698510 | Positive_Correlation | IFNG | IL18
32698510 | Negative_Correlation | ruxolitinib | JAK2
32698510 | Negative_Correlation | ruxolitinib | STAT1
32698510 | Negative_Correlation | ruxolitinib | CASP1
32698510 | Negative_Correlation | ruxolitinib | STAT3
32698510 | Positive_Correlation | IFNG | IL15
32698510 | Positive_Correlation | ruxolitinib | CTNNB1
32698510 | Negative_Correlation | ruxolitinib | JAK1
32698510 | Positive_Correlation | IFNG | CASP1
32698510 | Negative_Correlation | ruxolitinib | IL18
32698510 | Association | Alopecia Areata | IFNG
32698510 | Negative_Correlation | ruxolitinib | DKK1
34391476 | Association | Arthritis Rheumatoid | Jak3
34391476 | Association | Arthritis Rheumatoid | Jak1
34391476 | Negative_Correlation | tofacitinib | Vegfa
34391476 | Association | Arthritis Rheumatoid | Stat3
34391476 | Association | Arthritis Rheumatoid | Stat1
34391476 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
34391476 | Positive_Correlation | Arthritis Rheumatoid | Vegfa
34391476 | Negative_Correlation | tofacitinib | Ang2
34391476 | Negative_Correlation | tofacitinib | Arthritis
35571141 | Association | Arthritis | Jak3
35571141 | Negative_Correlation | dihydroarteannuin | Inflammation
35571141 | Association | Inflammation | Il1b
35571141 | Negative_Correlation | dihydroarteannuin | Arthritis Psoriatic
35571141 | Association | Inflammation | Hif1a
35571141 | Association | Arthritis | Hif1a
35571141 | Association | Hif1a | Nlrp3
35571141 | Negative_Correlation | dihydroarteannuin | HIF1A
35571141 | Negative_Correlation | dihydroarteannuin | STAT3
35571141 | Association | Inflammation | Jak3
35571141 | Negative_Correlation | dihydroarteannuin | Malaria
35571141 | Negative_Correlation | dihydroarteannuin | Bone Diseases
35571141 | Negative_Correlation | dihydroarteannuin | DFNA34
35571141 | Negative_Correlation | dihydroarteannuin | Arthritis Rheumatoid
35571141 | Negative_Correlation | dihydroarteannuin | Nlrp3
35571141 | Negative_Correlation | dihydroarteannuin | Arthritis Experimental
35571141 | Association | dihydroarteannuin | Liver Cirrhosis Biliary
35571141 | Association | dihydroarteannuin | Jak3
35571141 | Negative_Correlation | dihydroarteannuin | Il6
35571141 | Association | Arthritis | Stat3
35571141 | Association | Inflammation | Nlrp3
35571141 | Association | Jak3 | Nlrp3
35571141 | Negative_Correlation | dihydroarteannuin | Tang Hsi Ryu syndrome
35571141 | Negative_Correlation | artemisinin | Malaria
35571141 | Association | Stat3 | Nlrp3
35571141 | Association | Inflammation | Stat3
35571141 | Association | dihydroarteannuin | Stat3
35571141 | Association | dihydroarteannuin | Hif1a
35571141 | Negative_Correlation | dihydroarteannuin | Il1b
35571141 | Negative_Correlation | dihydroarteannuin | JAK3
35711462 | Negative_Correlation | PODXL | CD86
35711462 | Association | IL4 | MAP2K7
35711462 | Positive_Correlation | PODXL | MAPK1
35711462 | Association | PODXL | CD4
35711462 | Association | Infections | PODXL
35711462 | Association | PODXL | STAT6
35711462 | Negative_Correlation | Inflammation | PODXL
35711462 | Association | PODXL | MAP2K7
35711462 | Association | JAK3 | PODXL
35711462 | Association | IL4 | JAK3
35711462 | Association | IL4 | MAPK1
35711462 | Association | APC | PODXL
35711462 | Association | PODXL | CD8A
35711462 | Association | Neoplasms | PODXL
35711462 | Positive_Correlation | IL4 | PODXL
35711462 | Association | IL4 | STAT6
35732501 | Association | Neoplasms | Jak3
35732501 | Negative_Correlation | PF-06651600 | Stat5a
35732501 | Association | Il2ra | Stat5a
35732501 | Negative_Correlation | PF-06651600 | Jak3
35732501 | Association | Il2ra | Jak3
37550228 | Association | Psoriasis | Jak3
37550228 | Negative_Correlation | PF-06651600 | Jak3
37550228 | Negative_Correlation | WHI P131 | Jak3
37550228 | Association | Alopecia Areata | Jak3
37550228 | Association | Skin Diseases | Jak3
37550228 | Association | Chronic Disease | Jak3
37550228 | Association | Sebaceous gland hyperplasia familial presenile | Jak3
37550228 | Association | Epidermal Cyst | Jak3
37988912 | Positive_Correlation | Oxazolone | Colitis Ulcerative
37988912 | Association | Inflammatory Bowel Diseases | Tyk2
37988912 | Positive_Correlation | Dextran Sulfate | Colitis Ulcerative
37988912 | Negative_Correlation | tofacitinib | Inflammatory Bowel Diseases
37988912 | Association | Inflammatory Bowel Diseases | Jak1
38114221 | Association | Neoplasms | Stat6
38114221 | Association | Neoplasms | Jak3
38114221 | Association | Neoplasms | Cd86
38114221 | Association | Neoplasms | Mrc1
38114221 | Association | Neoplasms | Jak2
38172378 | Positive_Correlation | EGFR | DOT1L
38172378 | Positive_Correlation | JAK3 | DOT1L
38172378 | Association | Jak3 | DOT1L
38172378 | Association | Peritoneal Fibrosis | DOT1L
38172378 | Association | Peritoneal Fibrosis | EGFR
38172378 | Association | Parkinson Disease | DOT1L
38172378 | Association | EPHA8 | DOT1L
38249884 | Association | Inflammation | Slfn5
38249884 | Negative_Correlation | AG 490 | Lipopolysaccharides
38249884 | Positive_Correlation | Lipopolysaccharides | Inflammation
38249884 | Positive_Correlation | Pneumonia | Slfn5
38249884 | Association | Neoplasm Metastasis | Slfn5
38249884 | Positive_Correlation | Lipopolysaccharides | Lung Injury
38249884 | Positive_Correlation | Jak2 | Slfn5
38249884 | Positive_Correlation | Lipopolysaccharides | Pneumonia
38249884 | Negative_Correlation | AG 490 | Pneumonia
38249884 | Association | Lung Neoplasms | Slfn5
38249884 | Positive_Correlation | Jak3 | Slfn5
38249884 | Association | Neoplasms | SLFN5
38249884 | Negative_Correlation | Lung Injury | Slfn5
38249884 | Positive_Correlation | Stat3 | Slfn5
38249884 | Positive_Correlation | Lipopolysaccharides | Slfn5
38249884 | Negative_Correlation | AG 490 | Slfn5
38260810 | Association | Inflammation | Il7
38260810 | Negative_Correlation | Il7 | Nos2
38260810 | Association | Il7 | Jak3
38260810 | Association | Cerebral Hemorrhage | Il7r
38260810 | Association | Cerebral Hemorrhage | Il7
38260810 | Positive_Correlation | Arg1 | Il7
38260810 | Association | Jak3 | Nos2
38260810 | Association | Il7 | Stat5a
38260810 | Association | Nos2 | Stat5a
38260810 | Association | Inflammation | Il7r
38260810 | Association | Arg1 | Stat5a
38310765 | Positive_Correlation | Tslp | Rsad2
38310765 | Association | Inflammation | Rsad2
38310765 | Positive_Correlation | Stat6 | Rsad2
38310765 | Positive_Correlation | Gata3 | Rsad2
38310765 | Positive_Correlation | Jak3 | Rsad2
38310765 | Positive_Correlation | Asthma | Serpinb1-ps1
38310765 | Positive_Correlation | Il25 | Rsad2
38310765 | Negative_Correlation | Il4 | Rsad2
38310765 | Association | Asthma | Stat6
38310765 | Positive_Correlation | Il5 | Rsad2
38310765 | Positive_Correlation | Jak1 | Rsad2
38310765 | Positive_Correlation | Rsad2 | Il33
38310765 | Association | Stat6 | Serpinb1-ps1
38310765 | Negative_Correlation | Ifng | Rsad2
38310765 | Positive_Correlation | Il13 | Rsad2
38310765 | Association | Asthma | Rsad2
38349589 | Negative_Correlation | flavipin | Arthritis
38349589 | Negative_Correlation | flavipin | Inflammation
38349589 | Association | flavipin | Nfkb1
38349589 | Association | Adenosine Triphosphate | Jak1
38349589 | Association | Arthritis Experimental | Stat3
38349589 | Negative_Correlation | flavipin | Tang Hsi Ryu syndrome
38349589 | Association | flavipin | Stat3
38349589 | Association | flavipin | Jak2
38349589 | Association | Arthritis Experimental | Nfkb1
38349589 | Association | flavipin | Jak1
38349589 | Association | flavipin | Jak3
38349589 | Association | flavipin | Tnf
38349589 | Association | Arthritis Rheumatoid | Jak3
38349589 | Association | Adenosine Triphosphate | Jak3
38349589 | Association | Adenosine Triphosphate | Jak2
38349589 | Negative_Correlation | flavipin | Arthritis Rheumatoid
38375265 | Association | Colorectal Neoplasms | Zfp335
38375265 | Association | Colitis | Zfp335
38375265 | Positive_Correlation | Dextran Sulfate | Colorectal Neoplasms
38375265 | Negative_Correlation | Jak1 | Zfp335
38375265 | Negative_Correlation | Jak3 | Zfp335
38375265 | Positive_Correlation | Azoxymethane | Colorectal Neoplasms
38442328 | Association | Arthritis | Jak3
38442328 | Association | Arthritis Rheumatoid | Jak3
38442328 | Association | Autoimmune Diseases | Jak3
38442328 | Association | Jak3 | Rb1
38547769 | Negative_Correlation | peficitinib | Acute Lung Injury
38547769 | Association | Acute Lung Injury | Nlrp3
38547769 | Association | Acute Lung Injury | Stat3
38547769 | Negative_Correlation | peficitinib | Jak3
38547769 | Negative_Correlation | peficitinib | Nlrp3
38547769 | Positive_Correlation | Lipopolysaccharides | Pulmonary Edema
38547769 | Association | Acute Lung Injury | Jak3
38547769 | Association | Stat3 | Tlr4
38547769 | Negative_Correlation | peficitinib | Inflammation
38547769 | Positive_Correlation | Lipopolysaccharides | Acute Lung Injury
38547769 | Negative_Correlation | peficitinib | Arthritis Rheumatoid
38547769 | Negative_Correlation | peficitinib | Lipopolysaccharides
38547769 | Positive_Correlation | Lipopolysaccharides | Inflammation
38547769 | Negative_Correlation | peficitinib | Pulmonary Edema
38547769 | Association | Lipopolysaccharides | Tlr4
38547769 | Positive_Correlation | Lipopolysaccharides | Jak3
38547769 | Positive_Correlation | Lipopolysaccharides | Nlrp3
38547769 | Positive_Correlation | Lipopolysaccharides | Stat3
38547769 | Negative_Correlation | peficitinib | Stat3
38547769 | Association | Jak3 | Stat3
38547769 | Association | Jak3 | Tlr4
38641760 | Negative_Correlation | Chemical and Drug Induced Liver Injury | Acod1
38641760 | Association | Acod1 | Trp53-ps
38641760 | Negative_Correlation | itaconic acid | Inflammation
38641760 | Negative_Correlation | Inflammation | Acod1
38641760 | Association | itaconic acid | Trp53-ps
38641760 | Association | Ataxia Telangiectasia | Acod1
38641760 | Association | Hepatitis Autoimmune | Trp53-ps
38641760 | Negative_Correlation | itaconic acid | Ataxia Telangiectasia
38641760 | Negative_Correlation | itaconic acid | Itgae
38641760 | Negative_Correlation | Acod1 | Itgae
38641760 | Negative_Correlation | itaconic acid | Stat3
38641760 | Association | Hepatitis Autoimmune | Itgae
38641760 | Association | Hepatitis Autoimmune | Acod1
38641760 | Association | Hepatitis Autoimmune | Stat3
38641760 | Association | Itgae | Trp53-ps
38641760 | Association | Cd69 | Trp53-ps
38641760 | Association | Ataxia Telangiectasia | Trp53-ps
38641760 | Positive_Correlation | Acod1 | Stat3
38641760 | Association | itaconic acid | Acod1
38641760 | Association | Hepatitis Autoimmune | Cd69
38641760 | Negative_Correlation | itaconic acid | Jak3
38641760 | Negative_Correlation | itaconic acid | Chemical and Drug Induced Liver Injury
38641760 | Positive_Correlation | Acod1 | Jak3
38641760 | Negative_Correlation | itaconic acid | Cd69
38641760 | Association | Hepatitis Autoimmune | Jak3
38641760 | Negative_Correlation | Cd69 | Acod1
38641760 | Negative_Correlation | itaconic acid | Hepatitis Autoimmune
9177355 | Association | APP | TRBV20OR9-2
10706736 | Association | Melanoma | PMEL
10706736 | Association | Melanoma | APOE
10706736 | Association | Melanoma | MLANA
11078608 | Association | Il2 | Jak3
11078608 | Bind | Kit | Kitl
11078608 | Association | Il4 | Kitl
11078608 | Positive_Correlation | Il2rg | Kitl
11078608 | Positive_Correlation | Il15 | Kitl
11078608 | Positive_Correlation | Ifng | Kitl
11078608 | Association | Il9 | Kitl
11078608 | Bind | Il15 | Il2rg
11078608 | Bind | Il2rg | Il9
11078608 | Positive_Correlation | Il7 | Kitl
11078608 | Bind | Il2rg | Il7
11078608 | Bind | Il2rg | Il4
11078608 | Positive_Correlation | Il2 | Il2rg
11078608 | Association | Il2 | Kitl
11078608 | Positive_Correlation | Jak3 | Kitl
11078608 | Positive_Correlation | Ifng | Il2
11520814 | Negative_Correlation | Methotrexate | Graft vs Host Disease
11520814 | Cotreatment | WHI P131 | Methotrexate
11520814 | Association | Graft vs Host Disease | Jak3
11520814 | Negative_Correlation | WHI P131 | Graft vs Host Disease
11520814 | Negative_Correlation | WHI P131 | Jak3
11981413 | Negative_Correlation | AG 490 | Jak3
11981413 | Association | Jun | Trav12-3
11981413 | Negative_Correlation | Sirolimus | Mtor
12244147 | Association | IL4R | JAK3
12244147 | Positive_Correlation | IL13 | CD40
12244147 | Association | IL4R | STAT6
12244147 | Bind | IL4 | IL4R
12244147 | Positive_Correlation | IL4 | CD40
12244147 | Positive_Correlation | IL13 | TNF
12244147 | Positive_Correlation | IL4 | TNF
12244147 | Association | IL4R | IL13
12389628 | Association | Graft vs Host Disease | Jak3
12389628 | Association | Brain Injuries Traumatic | Jak3
12389628 | Negative_Correlation | WHI P180 | Jak3
12838324 | Association | Neoplasm Metastasis | PTHLH
12838324 | Association | HLA-A | PTHLH
12838324 | Association | Prostatitis | PTHLH
12838324 | Association | Neoplasms | PTHLH
12838324 | Association | Prostatitis | HLA-A
16468034 | Association | Neoplasms | ERBB2
16468034 | Association | Neoplasms | CEACAM3
16468034 | Association | Neoplasms | TERT
16468034 | Association | Neoplasms | PA2G4
16818755 | Association | Melanoma | IL10
16818755 | Association | CD4 | CD8A
16818755 | Negative_Correlation | IL4 | CD8A
16818755 | Association | Neoplasms | TRBV20OR9-2
16818755 | Association | Melanoma | CD8A
16818755 | Positive_Correlation | TNF | CD8A
16818755 | Association | Melanoma | TRBV20OR9-2
16818755 | Negative_Correlation | IL5 | CD8A
16818755 | Association | Neoplasms | CD8A
16818755 | Association | Neoplasms | IL10
16818755 | Association | Neoplasms | IL4
16818755 | Association | Neoplasms | CD4
16818755 | Association | TRBV20OR9-2 | CD4
16818755 | Positive_Correlation | IL2 | CD8A
16818755 | Bind | LCK | CD8A
16818755 | Association | TRBV20OR9-2 | CD8A
16818755 | Association | IL10 | TRBV20OR9-2
16818755 | Association | Melanoma | CD4
16818755 | Association | Neoplasms | TNF
16818755 | Association | Neoplasms | IL5
16818755 | Association | Neoplasms | IL2
16818755 | Negative_Correlation | IL10 | CD8A
20053740 | Association | Infections | CD8A
22071967 | Association | MLANA | CD8A
22071967 | Association | MLANA | HLA-A
22071967 | Association | Neoplasms | CD8A
22071967 | Association | Neoplasms | THBD
22071967 | Association | Neoplasms | XCR1
22120524 | Positive_Correlation | Jak3 | Myod1
22120524 | Association | Akt1 | Jak3
22120524 | Positive_Correlation | WHI P154 | Myod1
22120524 | Association | Jak3 | Mapk1
22120524 | Association | Jak3 | Mef2c
22120524 | Positive_Correlation | WHI P154 | Mef2c
22120524 | Negative_Correlation | Jak3 | Stat3
22120524 | Positive_Correlation | WHI P154 | Myog
22120524 | Negative_Correlation | Igf2 | Jak3
22120524 | Negative_Correlation | WHI P154 | Jak3
22120524 | Positive_Correlation | Jak3 | Stat1
22120524 | Positive_Correlation | Jak3 | Myog
24603870 | Association | Acute Disease | JAK3
24603870 | Association | CD4 | JAK3
24603870 | Association | KLRC1 | JAK3
24603870 | Association | Infections | JAK3
24603870 | Association | 270100 | JAK3
24614195 | Positive_Correlation | Ifng | Tapbp
24614195 | Positive_Correlation | Tapbp | Tyk2
24614195 | Positive_Correlation | Jak2 | Tapbp
24614195 | Positive_Correlation | Stat4 | Tapbp
24614195 | Positive_Correlation | Stat1 | Tapbp
24614195 | Positive_Correlation | Il2 | Tapbp
24957906 | Positive_Correlation | Birdshot Chorioretinopathy | rs150571175
24957906 | Association | Birdshot Chorioretinopathy | HLA-C
24957906 | Positive_Correlation | Birdshot Chorioretinopathy | rs7705093
24957906 | Association | Birdshot Chorioretinopathy | ERAP2
24957906 | Association | Birdshot Chorioretinopathy | TECPR2
24957906 | Association | Birdshot Chorioretinopathy | LNPEP
25198529 | Association | Autoimmune Diseases | CD8A
25198529 | Association | MLANA | CD8A
25198529 | Bind | MLANA | TRBV20OR9-2
25198529 | Association | Communicable Diseases | CD8A
25198529 | Association | Autoimmune Diseases | CD4
25289687 | Positive_Correlation | TNF | CD8A
25289687 | Positive_Correlation | TRBV20OR9-2 | TNF
25289687 | Association | TRBV20OR9-2 | CD8A
