2840678 | @GENE_CXCR4 | CXCR4 | 150 | 5 | Gene | gene | LCR-1
17991743 | @VARIANT_p.R55A_FKBP1B_human | p.R55A | 1682 | 4 | Variant | variant | R55A
17991743 | @CHEMICAL_Cyclosporine | Cyclosporine | 1741 | 14 | Chemical | chemical | cyclosporine A
17991743 | @CHEMICAL_sanglifehrin_A | sanglifehrin A | 1760 | 15 | Chemical | chemical | sanglifehrin A.
17991743 | @GENE_CXCL12 | CXCL12 | 1785 | 6 | Gene | gene | CXCL12
17991743 | @GENE_CXCR4 | CXCR4 | 1845 | 5 | Gene | gene | CXCR4
17991743 | @CHEMICAL_Cyclosporine | Cyclosporine | 1899 | 3 | Chemical | chemical | CsA
18178234 | @GENE_CXCR4 | CXCR4 | 493 | 5 | Gene | gene | CXCR4
18178234 | @GENE_CCR5 | CCR5 | 510 | 4 | Gene | gene | CCR5
18178234 | @GENE_NUP153 | NUP153 | 1000 | 6 | Gene | gene | Nup153
21900684 | @GENE_IMPA2 | IMPA2 | 395 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_IMPA2 | IMPA2 | 491 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_IMPA2 | Impa2 | 628 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_IMPA2 | IMPA2 | 792 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_CYHR1 | Cyhr1 | 890 | 35 | Gene | gene | cysteine and histidine rich protein
21900684 | @GENE_CYHR1 | Cyhr1 | 927 | 4 | Gene | gene | Chrp
21900684 | @GENE_PIAS2 | Pias2 | 1049 | 39 | Gene | gene | Androgen receptor interacting protein 3
21900684 | @GENE_PIAS2 | Pias2 | 1090 | 5 | Gene | gene | Arip3
21900684 | @GENE_PSMC3IP | Psmc3ip | 1102 | 20 | Gene | gene | Homologous protein 2
21900684 | @GENE_PSMC3IP | Psmc3ip | 1124 | 4 | Gene | gene | Hop2
21900684 | @GENE_IMPA2 | IMPA2 | 1305 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_IMPA2 | IMPA2 | 1406 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_IMPA2 | IMPA2 | 1527 | 9 | Gene | gene | IMPalpha2
21900684 | @GENE_IMPA2 | IMPA2 | 1633 | 9 | Gene | gene | IMPalpha2
23468933 | @GENE_TNPO1 | TNPO1 | 38 | 13 | Gene | gene | transportin 1
23468933 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 135 | 15 | Disease | disease | prostate cancer
23468933 | @GENE_CXCR4 | CXCR4 | 226 | 5 | Gene | gene | CXCR4
23468933 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 261 | 26 | Disease | disease | prostate cancer metastasis
23468933 | @GENE_CXCR4 | CXCR4 | 289 | 5 | Gene | gene | CXCR4
23468933 | @DISEASE_Neoplasm_Metastasis | Neoplasm Metastasis | 428 | 10 | Disease | disease | metastasis
23468933 | @GENE_CXCR4 | CXCR4 | 467 | 5 | Gene | gene | CXCR4
23468933 | @DISEASE_Carcinogenesis | Carcinogenesis | 476 | 13 | Disease | disease | tumorigenesis
23468933 | @GENE_CXCR4 | CXCR4 | 819 | 5 | Gene | gene | CXCR4
23468933 | @DISEASE_Neoplasms | Neoplasms | 856 | 9 | Disease | disease | malignant
23468933 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 866 | 15 | Disease | disease | prostate cancer
23468933 | @GENE_CXCR4 | CXCR4 | 915 | 5 | Gene | gene | CXCR4
23468933 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 969 | 15 | Disease | disease | prostate cancer
23468933 | @GENE_CXCR4 | CXCR4 | 1084 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1137 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1217 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1287 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1358 | 5 | Gene | gene | CXCR4
23468933 | @CHEMICAL_Calcium | Calcium | 1445 | 7 | Chemical | chemical | calcium
23468933 | @GENE_CXCR4 | CXCR4 | 1497 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1594 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1665 | 5 | Gene | gene | CXCR4
23468933 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1701 | 15 | Disease | disease | prostate cancer
23468933 | @DISEASE_Neoplasms | Neoplasms | 1785 | 6 | Disease | disease | tumors
23468933 | @GENE_CXCR4 | CXCR4 | 1852 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 1926 | 5 | Gene | gene | CXCR4
23468933 | @GENE_CXCR4 | CXCR4 | 2119 | 5 | Gene | gene | CXCR4
25989275 | @GENE_KPNA2 | KPNA2 | 0 | 5 | Gene | gene | KPNA2
25989275 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 114 | 13 | Disease | disease | breast cancer
25989275 | @DISEASE_Carcinogenesis | Carcinogenesis | 263 | 14 | Disease | disease | carcinogenesis
25989275 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 386 | 13 | Disease | disease | breast cancer
25989275 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 401 | 2 | Disease | disease | BC
25989275 | @GENE_KPNA2 | KPNA2 | 588 | 5 | Gene | gene | KPNA2
25989275 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 665 | 2 | Disease | disease | BC
25989275 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 749 | 2 | Disease | disease | BC
25989275 | @GENE_KPNA2 | KPNA2 | 796 | 5 | Gene | gene | KPNA2
25989275 | @GENE_KPNA2 | KPNA2 | 850 | 5 | Gene | gene | KPNA2
25989275 | @GENE_BRCA1 | BRCA1 | 981 | 5 | Gene | gene | BRCA1
25989275 | @GENE_RAD51 | RAD51 | 988 | 5 | Gene | gene | RAD51
25989275 | @GENE_SMC6 | SMC6 | 995 | 6 | Gene | gene | SMC6L1
25989275 | @GENE_BARD1 | BARD1 | 1014 | 5 | Gene | gene | BARD1
25989275 | @GENE_UBE2I | UBE2I | 1021 | 4 | Gene | gene | UBC9
25989275 | @GENE_PIAS1 | PIAS1 | 1027 | 5 | Gene | gene | PIAS1
25989275 | @GENE_CHEK1 | CHEK1 | 1037 | 4 | Gene | gene | CHK1
25989275 | @GENE_KPNA2 | KPNA2 | 1057 | 5 | Gene | gene | KPNA2
25989275 | @GENE_KPNA2 | KPNA2 | 1197 | 5 | Gene | gene | KPNA2
25989275 | @GENE_KPNA2 | KPNA2 | 1323 | 5 | Gene | gene | KPNA2
25989275 | @DISEASE_Breast_Neoplasms | Breast Neoplasms | 1530 | 2 | Disease | disease | BC
27783955 | @GENE_CD4 | CD4 | 301 | 3 | Gene | gene | CD4
27783955 | @GENE_CXCR4 | CXCR4 | 501 | 5 | Gene | gene | CXCR4
27783955 | @GENE_CCR5 | CCR5 | 510 | 4 | Gene | gene | CCR5
27783955 | @DISEASE_HIV_Infections | HIV Infections | 574 | 13 | Disease | disease | HIV infection
27783955 | @GENE_PSIP1 | PSIP1 | 639 | 5 | Gene | gene | LEDGF
27783955 | @GENE_TNPO3 | TNPO3 | 648 | 5 | Gene | gene | TNPO3
27783955 | @DISEASE_Infections | Infections | 700 | 9 | Disease | disease | infection
27783955 | @DISEASE_HIV_Infections | HIV Infections | 1159 | 13 | Disease | disease | HIV infection
28100513 | @GENE_RANBP2 | Ranbp2 | 8 | 6 | Gene | gene | Ranbp2
28100513 | @GENE_HNRNPH3 | Hnrnph3 | 110 | 7 | Gene | gene | hnRNPH3
28100513 | @GENE_MMP28 | Mmp28 | 122 | 5 | Gene | gene | Mmp28
28100513 | @DISEASE_Amyotrophic_Lateral_Sclerosis | Amyotrophic Lateral Sclerosis | 148 | 44 | Disease | disease | amyotrophic lateral sclerosis-like syndromes
28100513 | @DISEASE_Motor_Neuron_Disease | Motor Neuron Disease | 220 | 42 | Disease | disease | sporadic and familial motor neuron disease
28100513 | @DISEASE_Motor_Neuron_Disease | Motor Neuron Disease | 264 | 3 | Disease | disease | MND
28100513 | @DISEASE_Amyotrophic_Lateral_Sclerosis | Amyotrophic Lateral Sclerosis | 275 | 29 | Disease | disease | amyotrophic lateral sclerosis
28100513 | @DISEASE_Amyotrophic_Lateral_Sclerosis | Amyotrophic Lateral Sclerosis | 306 | 3 | Disease | disease | ALS
28100513 | @DISEASE_Motor_Neuron_Disease | Motor Neuron Disease | 325 | 3 | Disease | disease | MND
28100513 | @GENE_CWC15 | Cwc15 | 569 | 11 | Gene | gene | nucleoporin
28100513 | @GENE_RANBP2 | Ranbp2 | 581 | 6 | Gene | gene | Ranbp2
28100513 | @DISEASE_Heredodegenerative_Disorders_Nervous_System | Heredodegenerative Disorders Nervous System | 662 | 20 | Disease | disease | neurological disease
28100513 | @GENE_RANBP2 | Ranbp2 | 718 | 6 | Gene | gene | Ranbp2
28100513 | @GENE_RANBP2 | Ranbp2 | 821 | 6 | Gene | gene | Ranbp2
28100513 | @GENE_THY1 | Thy1 | 837 | 4 | Gene | gene | Thy1
28100513 | @DISEASE_Amyotrophic_Lateral_Sclerosis | Amyotrophic Lateral Sclerosis | 861 | 13 | Disease | disease | ALS syndromes
28100513 | @DISEASE_Paralysis | Paralysis | 905 | 18 | Disease | disease | hindlimb paralysis
28100513 | @DISEASE_Respiratory_Distress_Syndrome | Respiratory Distress Syndrome | 925 | 20 | Disease | disease | respiratory distress
28100513 | @DISEASE_Death | Death | 963 | 5 | Disease | disease | death
28100513 | @CHEMICAL_Fatty_Acids_Nonesterified | Fatty Acids Nonesterified | 1051 | 16 | Chemical | chemical | free fatty acids
28100513 | @GENE_RANBP2 | Ranbp2 | 1217 | 6 | Gene | gene | Ranbp2
28100513 | @GENE_KPNB1 | Kpnb1 | 1316 | 13 | Gene | gene | importin beta
28100513 | @GENE_XPO1 | Xpo1 | 1334 | 10 | Gene | gene | exportin 1
28100513 | @GENE_HDAC4 | Hdac4 | 1375 | 21 | Gene | gene | histone deacetylase 4
28100513 | @GENE_CXCR4 | Cxcr4 | 1489 | 5 | Gene | gene | Cxcr4
28100513 | @GENE_CXCL12 | Cxcl12 | 1521 | 6 | Gene | gene | Cxcl12
28100513 | @GENE_CXCL14 | Cxcl14 | 1532 | 6 | Gene | gene | Cxcl14
28100513 | @GENE_STAT3 | Stat3 | 1575 | 5 | Gene | gene | Stat3
28100513 | @GENE_RANBP2 | Ranbp2 | 1703 | 6 | Gene | gene | Ranbp2
28100513 | @GENE_HNRNPH3 | Hnrnph3 | 1816 | 7 | Gene | gene | hnRNPH3
28100513 | @GENE_RANBP2 | Ranbp2 | 2017 | 6 | Gene | gene | Ranbp2
28100513 | @GENE_RANBP2 | Ranbp2 | 2207 | 6 | Gene | gene | Ranbp2
28100513 | @DISEASE_Amyotrophic_Lateral_Sclerosis | Amyotrophic Lateral Sclerosis | 2220 | 4 | Disease | disease | ALS-
28326644 | @GENE_CCNT1 | CCNT1 | 122 | 8 | Gene | gene | CyclinT1
28326644 | @GENE_XPO1 | XPO1 | 135 | 4 | Gene | gene | CRM1
28326644 | @GENE_CD4 | CD4 | 200 | 3 | Gene | gene | CD4
28326644 | @GENE_CCR5 | CCR5 | 205 | 4 | Gene | gene | CCR5
28326644 | @GENE_CXCR4 | CXCR4 | 211 | 5 | Gene | gene | CXCR4
28326644 | @GENE_CCNT1 | CCNT1 | 218 | 8 | Gene | gene | CyclinT1
28326644 | @GENE_XPO1 | XPO1 | 232 | 4 | Gene | gene | CRM1
28326644 | @GENE_CD4 | Cd4 | 384 | 3 | Gene | gene | CD4
28326644 | @GENE_CD4 | CD4 | 443 | 3 | Gene | gene | CD4
28326644 | @GENE_CCR5 | CCR5 | 448 | 4 | Gene | gene | CCR5
28326644 | @GENE_CCNT1 | CCNT1 | 454 | 8 | Gene | gene | CyclinT1
28326644 | @GENE_XPO1 | XPO1 | 468 | 4 | Gene | gene | CRM1
28326644 | @GENE_PPIA | Ppia | 550 | 14 | Gene | gene | cyclophilin A.
30830222 | @DISEASE_Ischemia | Ischemia | 30 | 8 | Disease | disease | Ischemia
30830222 | @CHEMICAL_Testosterone | Testosterone | 141 | 12 | Chemical | chemical | testosterone
30830222 | @DISEASE_Ischemia | Ischemia | 525 | 8 | Disease | disease | ischemia
30830222 | @DISEASE_Ischemia | Ischemia | 648 | 17 | Disease | disease | hindlimb ischemia
30830222 | @GENE_HIF1A | Hif1a | 1010 | 31 | Gene | gene | hypoxia inducible factor-1alpha
30830222 | @GENE_HIF1A | Hif1a | 1043 | 10 | Gene | gene | HIF-1alpha
30830222 | @GENE_CXCL12 | Cxcl12 | 1059 | 29 | Gene | gene | stromal cell-derived factor-1
30830222 | @GENE_HIF1A | Hif1a | 1158 | 10 | Gene | gene | HIF-1alpha
30830222 | @GENE_AR | Ar | 1261 | 17 | Gene | gene | androgen receptor
30830222 | @GENE_AR | Ar | 1280 | 2 | Gene | gene | AR
30830222 | @GENE_AR | Ar | 1353 | 2 | Gene | gene | AR
30830222 | @GENE_ATXN1 | Atxn1 | 1453 | 4 | Gene | gene | Sca1
30830222 | @GENE_CXCR4 | Cxcr4 | 1459 | 5 | Gene | gene | CXCR4
30830222 | @DISEASE_Ischemia | Ischemia | 1732 | 8 | Disease | disease | ischemia
32591762 | @DISEASE_COVID_19 | COVID-19 | 0 | 8 | Disease | disease | COVID-19
32591762 | @DISEASE_COVID_19 | COVID-19 | 179 | 31 | Disease | disease | severe coronavirus disease 2019
32591762 | @DISEASE_COVID_19 | COVID-19 | 212 | 8 | Disease | disease | COVID-19
32591762 | @DISEASE_COVID_19 | COVID-19 | 484 | 70 | Disease | disease | severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection
32591762 | @DISEASE_COVID_19 | COVID-19 | 573 | 8 | Disease | disease | COVID-19
32591762 | @GENE_ACE2 | ACE2 | 685 | 4 | Gene | gene | ACE2
32591762 | @DISEASE_Macrophage_Activation_Syndrome | Macrophage Activation Syndrome | 952 | 24 | Disease | disease | inflammatory macrophages
32591762 | @GENE_CCL2 | CCL2 | 988 | 4 | Gene | gene | CCL2
32591762 | @GENE_CCL3 | CCL3 | 994 | 4 | Gene | gene | CCL3
32591762 | @GENE_CCL20 | CCL20 | 1000 | 5 | Gene | gene | CCL20
32591762 | @GENE_CXCL1 | CXCL1 | 1007 | 5 | Gene | gene | CXCL1
32591762 | @GENE_CXCL3 | CXCL3 | 1014 | 5 | Gene | gene | CXCL3
32591762 | @GENE_CXCL10 | CXCL10 | 1021 | 6 | Gene | gene | CXCL10
32591762 | @GENE_CXCL8 | CXCL8 | 1029 | 3 | Gene | gene | IL8
32591762 | @GENE_IL1B | IL1B | 1034 | 4 | Gene | gene | IL1B
32591762 | @GENE_TNF | TNF | 1043 | 3 | Gene | gene | TNF
32591762 | @DISEASE_Soft_Tissue_Injuries | Soft Tissue Injuries | 1182 | 26 | Disease | disease | inflammatory tissue damage
32591762 | @DISEASE_Lung_Injury | Lung Injury | 1210 | 11 | Disease | disease | lung injury
32591762 | @DISEASE_Respiratory_Insufficiency | Respiratory Insufficiency | 1226 | 19 | Disease | disease | respiratory failure
32591762 | @GENE_CCR1 | CCR1 | 1301 | 4 | Gene | gene | CCR1
32591762 | @GENE_CCR5 | CCR5 | 1313 | 4 | Gene | gene | CCR5
32591762 | @DISEASE_COVID_19 | COVID-19 | 1377 | 8 | Disease | disease | COVID-19
32607510 | @DISEASE_Infections | Infections | 324 | 9 | Disease | disease | infection
32607510 | @GENE_OAS1 | OAS1 | 600 | 6 | Gene | gene | OAS1-3
32607510 | @GENE_IFIT1 | IFIT1 | 611 | 7 | Gene | gene | IFIT1-3
32607510 | @GENE_CXCL9 | CXCL9 | 640 | 11 | Gene | gene | CXCL9/10/11
32607510 | @GENE_ACE2 | ACE2 | 1114 | 4 | Gene | gene | ACE2
32607510 | @GENE_CXCL9 | CXCL9 | 1341 | 11 | Gene | gene | CXCL9/10/11
32607510 | @GENE_CXCR3 | CXCR3 | 1381 | 5 | Gene | gene | CXCR3
32607510 | @GENE_CD8A | CD8A | 1400 | 4 | Gene | gene | CD8A
32607510 | @GENE_GZMB | GZMB | 1409 | 10 | Gene | gene | granzyme B
32607510 | @GENE_NFKB1 | NFKB1 | 1635 | 9 | Gene | gene | NF-kappaB
32607510 | @DISEASE_Infections | Infections | 1814 | 9 | Disease | disease | infection
32898168 | @DISEASE_Infections | Infections | 390 | 9 | Disease | disease | infection
32898168 | @GENE_OAS1 | OAS1 | 672 | 6 | Gene | gene | OAS1-3
32898168 | @GENE_IFIT1 | IFIT1 | 683 | 7 | Gene | gene | IFIT1-3
32898168 | @GENE_CXCL9 | CXCL9 | 728 | 11 | Gene | gene | CXCL9/10/11
32898168 | @DISEASE_Infections | Infections | 924 | 9 | Disease | disease | infection
32898168 | @GENE_ACE2 | ACE2 | 1292 | 4 | Gene | gene | ACE2
32898168 | @GENE_CXCL9 | CXCL9 | 1522 | 11 | Gene | gene | CXCL9/10/11
32898168 | @GENE_CXCR3 | CXCR3 | 1561 | 5 | Gene | gene | CXCR3
32898168 | @GENE_CD8A | CD8A | 1579 | 4 | Gene | gene | CD8A
32898168 | @GENE_GZMB | GZMB | 1588 | 10 | Gene | gene | granzyme B
32898168 | @GENE_NFKB1 | NFKB1 | 1828 | 22 | Gene | gene | nuclear factor kappa-B
32898168 | @GENE_NFKB1 | NFKB1 | 1852 | 9 | Gene | gene | NF-kappaB
32898168 | @DISEASE_Infections | Infections | 2032 | 9 | Disease | disease | infection
32991819 | @GENE_ACE2 | ACE2 | 25 | 31 | Gene | gene | Angiotensin-Converting Enzyme 2
32991819 | @DISEASE_COVID_19 | COVID-19 | 81 | 20 | Disease | disease | SARS-CoV-2 Infection
32991819 | @DISEASE_Coronavirus_Infections | Coronavirus Infections | 170 | 19 | Disease | disease | coronavirus disease
32991819 | @DISEASE_COVID_19 | COVID-19 | 191 | 8 | Disease | disease | COVID-19
32991819 | @DISEASE_COVID_19 | COVID-19 | 543 | 8 | Disease | disease | COVID-19
32991819 | @DISEASE_Lung_Diseases_Interstitial | Lung Diseases Interstitial | 809 | 22 | Disease | disease | interstitial pneumonia
32991819 | @DISEASE_Inflammation | Inflammation | 848 | 25 | Disease | disease | perivascular inflammation
32991819 | @DISEASE_Infections | Infections | 958 | 9 | Disease | disease | infection
32991819 | @GENE_CXCL9 | Cxcl9 | 1198 | 5 | Gene | gene | Cxcl9
32991819 | @GENE_CXCL10 | Cxcl10 | 1208 | 6 | Gene | gene | Cxcl10
32991819 | @GENE_CD3G | Cd3g | 1280 | 5 | Gene | gene | Cd3 g
32991819 | @GENE_CD8A | Cd8a | 1287 | 4 | Gene | gene | Cd8a
32991819 | @GENE_GZMB | Gzmb | 1297 | 4 | Gene | gene | Gzmb
32991819 | @DISEASE_Measles | Measles | 1555 | 7 | Disease | disease | measles
32991819 | @GENE_IL17A | Il17a | 1580 | 5 | Gene | gene | IL-17
32991819 | @DISEASE_COVID_19 | COVID-19 | 1681 | 8 | Disease | disease | COVID-19
32991819 | @DISEASE_COVID_19 | COVID-19 | 1797 | 20 | Disease | disease | SARS-CoV-2 infection
32991819 | @DISEASE_COVID_19 | COVID-19 | 1860 | 8 | Disease | disease | COVID-19
32991819 | @DISEASE_Inflammation | Inflammation | 1908 | 12 | Disease | disease | inflammatory
32991819 | @DISEASE_COVID_19 | COVID-19 | 1939 | 20 | Disease | disease | SARS-CoV-2 infection
32991819 | @DISEASE_COVID_19 | COVID-19 | 1985 | 8 | Disease | disease | COVID-19
32991819 | @DISEASE_COVID_19 | COVID-19 | 2060 | 8 | Disease | disease | COVID-19
33339432 | @GENE_ACE2 | ACE2 | 24 | 31 | Gene | gene | Angiotensin-Converting Enzyme 2
33339432 | @GENE_ACE2 | Ace2 | 143 | 31 | Gene | gene | Angiotensin-converting enzyme 2
33339432 | @GENE_ACE2 | Ace2 | 176 | 4 | Gene | gene | ACE2
33339432 | @GENE_ACE2 | ACE2 | 331 | 4 | Gene | gene | ACE2
