1788521 | @CHEMICAL_Soman | Soman | 62 | 5 | Chemical | chemical | soman
10993288 | @GENE_IL7 | IL7 | 487 | 4 | Gene | gene | IL-7
10993288 | @GENE_IL9 | IL9 | 493 | 4 | Gene | gene | IL-9
10993288 | @GENE_IL15 | IL15 | 502 | 5 | Gene | gene | IL-15
10993288 | @GENE_JAK3 | JAK3 | 531 | 5 | Gene | gene | JAK-3
10993288 | @GENE_ZAP70 | ZAP70 | 603 | 6 | Gene | gene | ZAP-70
10993288 | @GENE_CIITA | CIITA | 622 | 5 | Gene | gene | CIITA
10993288 | @GENE_RFX5 | RFX5 | 632 | 4 | Gene | gene | RFX5
10993288 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 721 | 4 | Disease | disease | SCID
10993288 | @CHEMICAL_Lithium_Chloride | Lithium Chloride | 1292 | 16 | Chemical | chemical | lithium chloride
10993288 | @CHEMICAL_Calcium | Calcium | 1495 | 7 | Chemical | chemical | calcium
10993288 | @DISEASE_Severe_Combined_Immunodeficiency | Severe Combined Immunodeficiency | 1560 | 4 | Disease | disease | SCID
10993288 | @DISEASE_Genetic_Diseases_Inborn | Genetic Diseases Inborn | 1605 | 14 | Disease | disease | genetic defect
10993288 | @CHEMICAL_Calcium | Calcium | 1645 | 7 | Chemical | chemical | calcium
10993288 | @CHEMICAL_Calcium | Calcium | 1681 | 7 | Chemical | chemical | calcium
14678034 | @GENE_JAK3 | Jak3 | 10 | 5 | Gene | gene | JAK-3
14678034 | @CHEMICAL_tofacitinib | tofacitinib | 26 | 9 | Chemical | chemical | CP-690550
14678034 | @GENE_JAK3 | Jak3 | 98 | 5 | Gene | gene | JAK-3
14678034 | @GENE_IL2RG | Il2rg | 164 | 6 | Gene | gene | gammac
14678034 | @GENE_IL2 | Il2 | 177 | 21 | Gene | gene | IL-2, 4, 7, 9, 15, 21
14678034 | @CHEMICAL_tofacitinib | tofacitinib | 261 | 9 | Chemical | chemical | CP-690550
14678034 | @GENE_JAK3 | Jak3 | 309 | 5 | Gene | gene | JAK-3
14678034 | @CHEMICAL_tofacitinib | tofacitinib | 352 | 9 | Chemical | chemical | CP-690550
14678034 | @CHEMICAL_tofacitinib | tofacitinib | 468 | 9 | Chemical | chemical | CP-690550
14678034 | @GENE_TCRB | Tcrb | 675 | 7 | Gene | gene | TCRbeta
14678034 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 729 | 29 | Disease | disease | Delayed-type hypersensitivity
14678034 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 760 | 3 | Disease | disease | DTH
14678034 | @GENE_JAK3 | Jak3 | 863 | 5 | Gene | gene | JAK-3
14678034 | @CHEMICAL_tofacitinib | tofacitinib | 1024 | 9 | Chemical | chemical | CP-690550
14678034 | @CHEMICAL_Cyclosporine | Cyclosporine | 1100 | 11 | Chemical | chemical | cyclosporin
14678034 | @GENE_JAK3 | Jak3 | 1168 | 5 | Gene | gene | JAK-3
14678034 | @CHEMICAL_tofacitinib | tofacitinib | 1262 | 9 | Chemical | chemical | CP-690550
15655551 | @DISEASE_Neoplasms | Neoplasms | 0 | 6 | Disease | disease | Tumour
15655551 | @DISEASE_Neoplasms | Neoplasms | 42 | 6 | Disease | disease | cancer
15655551 | @DISEASE_Neoplasms | Neoplasms | 149 | 7 | Disease | disease | Tumours
15655551 | @DISEASE_Neoplasms | Neoplasms | 260 | 6 | Disease | disease | Tumour
15655551 | @DISEASE_Neoplasms | Neoplasms | 426 | 6 | Disease | disease | tumour
15655551 | @DISEASE_Ascites | Ascites | 528 | 7 | Disease | disease | ascites
15655551 | @DISEASE_Ovarian_Neoplasms | Ovarian Neoplasms | 539 | 14 | Disease | disease | ovarian cancer
15655551 | @GENE_CD247 | CD247 | 719 | 8 | Gene | gene | CD3-zeta
15655551 | @GENE_JAK3 | JAK3 | 732 | 5 | Gene | gene | JAK 3
15655551 | @GENE_CD247 | CD247 | 855 | 8 | Gene | gene | CD3-zeta
15655551 | @GENE_TSG101 | TSG101 | 1071 | 6 | Gene | gene | TSG101
15655551 | @GENE_NPM1 | NPM1 | 1156 | 3 | Gene | gene | B23
15655551 | @GENE_NPM1 | NPM1 | 1160 | 13 | Gene | gene | nucleophosmin
15655551 | @GENE_FASLG | FASLG | 1179 | 5 | Gene | gene | FasL.
15655551 | @GENE_CD247 | CD247 | 1262 | 8 | Gene | gene | CD3-zeta
15655551 | @GENE_JAK3 | JAK3 | 1275 | 5 | Gene | gene | JAK 3
15655551 | @GENE_CD247 | CD247 | 1304 | 8 | Gene | gene | CD3-zeta
15655551 | @GENE_FASLG | FASLG | 1416 | 4 | Gene | gene | FasL
15655551 | @DISEASE_Neoplasms | Neoplasms | 1485 | 6 | Disease | disease | tumour
15655551 | @DISEASE_Neoplasms | Neoplasms | 1539 | 6 | Disease | disease | tumour
16177063 | @CHEMICAL_Mannich_Bases | Mannich Bases | 4 | 12 | Chemical | chemical | Mannich base
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 17 | 6 | Chemical | chemical | NC1153
16177063 | @DISEASE_Drug_Related_Side_Effects_and_Adverse_Reactions | Drug-Related Side Effects and Adverse Reactions | 101 | 10 | Disease | disease | toxicities
16177063 | @GENE_JAK3 | JAK3 | 113 | 4 | Gene | gene | JAK3
16177063 | @GENE_TXK | TXK | 135 | 15 | Gene | gene | tyrosine kinase
16177063 | @GENE_JAK3 | JAK3 | 242 | 4 | Gene | gene | JAK3
16177063 | @DISEASE_Immune_System_Diseases | Immune System Diseases | 251 | 18 | Disease | disease | immune compromised
16177063 | @GENE_JAK3 | JAK3 | 287 | 4 | Gene | gene | JAK3
16177063 | @CHEMICAL_Mannich_Bases | Mannich Bases | 370 | 12 | Chemical | chemical | Mannich base
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 384 | 6 | Chemical | chemical | NC1153
16177063 | @GENE_IL2 | IL2 | 400 | 4 | Gene | gene | IL-2
16177063 | @GENE_JAK3 | JAK3 | 427 | 4 | Gene | gene | JAK3
16177063 | @GENE_STAT5A | STAT5A | 462 | 8 | Gene | gene | STAT5a/b
16177063 | @GENE_PRL | PRL | 527 | 9 | Gene | gene | prolactin
16177063 | @GENE_JAK2 | JAK2 | 545 | 4 | Gene | gene | JAK2
16177063 | @GENE_TNF | TNF | 553 | 9 | Gene | gene | TNF-alpha
16177063 | @GENE_NFKB1 | NFKB1 | 570 | 10 | Gene | gene | NF-kappaB.
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 594 | 6 | Chemical | chemical | NC1153
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 760 | 6 | Chemical | chemical | NC1153
16177063 | @GENE_IL2 | IL2 | 831 | 4 | Gene | gene | IL-2
16177063 | @GENE_IL4 | IL4 | 837 | 4 | Gene | gene | IL-4
16177063 | @GENE_IL7 | IL7 | 846 | 4 | Gene | gene | IL-7
16177063 | @GENE_JAK3 | JAK3 | 885 | 4 | Gene | gene | JAK3
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 927 | 6 | Chemical | chemical | NC1153
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 1096 | 6 | Chemical | chemical | NC1153
16177063 | @CHEMICAL_Cyclosporine | Cyclosporine | 1130 | 13 | Chemical | chemical | cyclosporin A
16177063 | @CHEMICAL_Cyclosporine | Cyclosporine | 1145 | 3 | Chemical | chemical | CsA
16177063 | @CHEMICAL_Cyclosporine | Cyclosporine | 1251 | 3 | Chemical | chemical | CsA
16177063 | @CHEMICAL_Cyclosporine | Cyclosporine | 1294 | 3 | Chemical | chemical | CsA
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 1299 | 6 | Chemical | chemical | NC1153
16177063 | @GENE_CYP3A4 | CYP3A4 | 1329 | 19 | Gene | gene | cytochrome P450 3A4
16177063 | @CHEMICAL_NC_1153 | NC 1153 | 1356 | 6 | Chemical | chemical | NC1153
16698439 | @GENE_MICA | MICA | 28 | 4 | Gene | gene | MICA
16698439 | @GENE_CD4 | CD4 | 46 | 3 | Gene | gene | CD4
16698439 | @GENE_MICA | MICA | 101 | 4 | Gene | gene | MICA
16698439 | @GENE_MICA | MICA | 130 | 4 | Gene | gene | MICA
16698439 | @GENE_KLRK1 | KLRK1 | 212 | 6 | Gene | gene | NKG2D.
16698439 | @GENE_MICA | MICA | 252 | 4 | Gene | gene | MICA
16698439 | @GENE_IL2 | IL2 | 397 | 4 | Gene | gene | IL-2
16698439 | @GENE_IL4 | IL4 | 403 | 4 | Gene | gene | IL-4
16698439 | @GENE_IL15 | IL15 | 413 | 5 | Gene | gene | IL-15
16698439 | @GENE_TNF | TNF | 427 | 9 | Gene | gene | TNF-alpha
16698439 | @GENE_IFNA1 | IFNA1 | 440 | 9 | Gene | gene | IFN-alpha
16698439 | @GENE_MICA | MICA | 458 | 4 | Gene | gene | MICA
16698439 | @GENE_IL2 | IL2 | 575 | 4 | Gene | gene | IL-2
16698439 | @GENE_JAK3 | JAK3 | 596 | 4 | Gene | gene | Jak3
16698439 | @GENE_STAT5A | STAT5A | 601 | 5 | Gene | gene | STAT5
16698439 | @GENE_LCK | LCK | 634 | 3 | Gene | gene | Lck
16698439 | @GENE_NFKB1 | NFKB1 | 655 | 10 | Gene | gene | NF-kappaB.
16698439 | @GENE_MICA | MICA | 666 | 4 | Gene | gene | MICA
16698439 | @GENE_CD4 | CD4 | 812 | 3 | Gene | gene | CD4
16698439 | @CHEMICAL_Tetradecanoylphorbol_Acetate | Tetradecanoylphorbol Acetate | 847 | 31 | Chemical | chemical | phorbol-12-myristate-13-acetate
16698439 | @CHEMICAL_Ionomycin | Ionomycin | 883 | 9 | Chemical | chemical | ionomycin
16698439 | @GENE_MICA | MICA | 906 | 4 | Gene | gene | MICA
16698439 | @GENE_CD4 | CD4 | 1033 | 3 | Gene | gene | CD4
16698439 | @GENE_IL15 | IL15 | 1066 | 5 | Gene | gene | IL-15
16698439 | @GENE_IL2 | IL2 | 1076 | 4 | Gene | gene | IL-2
16698439 | @GENE_IFNG | IFNG | 1225 | 9 | Gene | gene | IFN-gamma
16698439 | @GENE_CD4 | CD4 | 1264 | 3 | Gene | gene | CD4
16698439 | @GENE_MICA | MICA | 1314 | 4 | Gene | gene | MICA
16698439 | @GENE_MICA | MICA | 1395 | 4 | Gene | gene | MICA
16698439 | @GENE_CD4 | CD4 | 1436 | 3 | Gene | gene | CD4
16698439 | @GENE_MICA | MICA | 1501 | 4 | Gene | gene | MICA
16698439 | @GENE_CD4 | CD4 | 1519 | 3 | Gene | gene | CD4
16698439 | @DISEASE_Inflammation | Inflammation | 1605 | 12 | Disease | disease | inflammatory
16698439 | @DISEASE_Neoplasms | Neoplasms | 1638 | 5 | Disease | disease | tumor
16698439 | @GENE_CD4 | CD4 | 1685 | 3 | Gene | gene | CD4
19139084 | @GENE_JAK3 | Jak3 | 13 | 4 | Gene | gene | JAK3
19139084 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 37 | 29 | Disease | disease | lymphoproliferative syndromes
19139084 | @GENE_JAK3 | Jak3 | 133 | 4 | Gene | gene | JAK3
19139084 | @DISEASE_Lymphoma | Lymphoma | 253 | 21 | Disease | disease | lymphoid malignancies
19139084 | @VARIANT_p.A572V_JAK3_human | p.A572V | 397 | 5 | Variant | variant | A572V
19139084 | @GENE_JAK3 | Jak3 | 452 | 4 | Gene | gene | JAK3
19139084 | @VARIANT_p.A572V_JAK3_human | p.A572V | 536 | 5 | Variant | variant | A572V
19139084 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 591 | 28 | Disease | disease | lymphoproliferative disorder
19139084 | @GENE_CD8A | CD8A | 654 | 3 | Gene | gene | CD8
19139084 | @GENE_CD44 | Cd44 | 675 | 4 | Gene | gene | CD44
19139084 | @GENE_IL2RB | Il2rb | 682 | 5 | Gene | gene | CD122
19139084 | @GENE_BCL2 | Bcl2 | 945 | 5 | Gene | gene | Bcl-2
19139084 | @GENE_IFNG | Ifng | 980 | 16 | Gene | gene | interferon-gamma
19139084 | @GENE_IFNG | Ifng | 998 | 8 | Gene | gene | IFNgamma
19139084 | @GENE_TNF | Tnf | 1012 | 27 | Gene | gene | tumor necrosis factor-alpha
19139084 | @GENE_TNF | Tnf | 1041 | 8 | Gene | gene | TNFalpha
19139084 | @VARIANT_p.A572V_JAK3_human | p.A572V | 1152 | 5 | Variant | variant | A572V
19139084 | @GENE_CD8A | CD8A | 1342 | 3 | Gene | gene | CD8
19139084 | @DISEASE_Lymphoma_T_Cell_Cutaneous | Lymphoma T-Cell Cutaneous | 1355 | 26 | Disease | disease | cutaneous T-cell lymphomas
19139084 | @DISEASE_Lymphoma_T_Cell_Cutaneous | Lymphoma T-Cell Cutaneous | 1383 | 5 | Disease | disease | CTCLs
19139084 | @GENE_CD4 | CD4 | 1419 | 3 | Gene | gene | CD4
19139084 | @GENE_JAK3 | Jak3 | 1549 | 4 | Gene | gene | JAK3
19139084 | @DISEASE_Lymphoproliferative_Disorders | Lymphoproliferative Disorders | 1605 | 28 | Disease | disease | lymphoproliferative diseases
20391436 | @GENE_CD4 | CD4 | 47 | 3 | Gene | gene | CD4
20391436 | @GENE_CD4 | CD4 | 172 | 3 | Gene | gene | CD4
20391436 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 212 | 3 | Gene | gene | TCR
20391436 | @GENE_HSPA4 | HSPA4 | 329 | 5 | Gene | gene | HSP70
20391436 | @GENE_NFKB1 | NFKB1 | 340 | 9 | Gene | gene | NF-kappaB
20391436 | @GENE_IL15 | IL15 | 432 | 5 | Gene | gene | IL-15
20391436 | @GENE_CD4 | CD4 | 501 | 3 | Gene | gene | CD4
20391436 | @GENE_JAK3 | JAK3 | 537 | 4 | Gene | gene | Jak3
20391436 | @GENE_STAT5A | STAT5A | 546 | 5 | Gene | gene | STAT5
20391436 | @GENE_CD40LG | CD40LG | 597 | 11 | Gene | gene | CD40 ligand
20391436 | @GENE_IFNG | IFNG | 646 | 9 | Gene | gene | IFN-gamma
20391436 | @GENE_CD40LG | CD40LG | 668 | 11 | Gene | gene | CD40 ligand
20391436 | @GENE_CD4 | CD4 | 683 | 3 | Gene | gene | CD4
20391436 | @GENE_CD40 | CD40 | 719 | 4 | Gene | gene | CD40
20391436 | @GENE_IL15 | IL15 | 768 | 5 | Gene | gene | IL-15
20391436 | @GENE_CD4 | CD4 | 845 | 3 | Gene | gene | CD4
20391436 | @GENE_PTPRC | PTPRC | 882 | 6 | Gene | gene | CD45RA
20391436 | @GENE_SELL | SELL | 892 | 5 | Gene | gene | CD62L
20391436 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1021 | 3 | Gene | gene | TCR
20391436 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1070 | 3 | Gene | gene | TCR
20391436 | @GENE_ZAP70 | ZAP70 | 1088 | 5 | Gene | gene | ZAP70
20391436 | @GENE_CD4 | CD4 | 1185 | 3 | Gene | gene | CD4
20435017 | @GENE_TYK2 | TYK2 | 50 | 5 | Gene | gene | TYK-2
20435017 | @GENE_JAK1 | JAK1 | 158 | 13 | Gene | gene | JAK-1, -2, -3
20435017 | @GENE_TYK2 | TYK2 | 176 | 5 | Gene | gene | TYK-2
20435017 | @GENE_JAK2 | JAK2 | 189 | 5 | Gene | gene | JAK-2
20435017 | @GENE_JAK3 | JAK3 | 199 | 5 | Gene | gene | JAK-3
20435017 | @GENE_TYK2 | TYK2 | 273 | 5 | Gene | gene | TYK-2
20435017 | @GENE_TYK2 | TYK2 | 306 | 5 | Gene | gene | TYK-2
20435017 | @DISEASE_Inflammation | Inflammation | 371 | 12 | Disease | disease | inflammatory
20435017 | @GENE_TYK2 | TYK2 | 468 | 5 | Gene | gene | TYK-2
20435017 | @GENE_TYK2 | TYK2 | 535 | 5 | Gene | gene | TYK-2
20435017 | @GENE_TYK2 | TYK2 | 683 | 5 | Gene | gene | TYK-2
20435017 | @GENE_TYK2 | TYK2 | 906 | 5 | Gene | gene | TYK-2
20435017 | @GENE_JAK2 | JAK2 | 1181 | 5 | Gene | gene | JAK-2
20435017 | @GENE_JAK3 | JAK3 | 1194 | 5 | Gene | gene | JAK-3
20435017 | @GENE_JAK2 | JAK2 | 1357 | 5 | Gene | gene | JAK-2
20435017 | @CHEMICAL_Adenosine_Triphosphate | Adenosine Triphosphate | 1377 | 3 | Chemical | chemical | ATP
20435017 | @GENE_TYK2 | TYK2 | 1477 | 5 | Gene | gene | TYK-2
20435017 | @GENE_JAK3 | JAK3 | 1530 | 5 | Gene | gene | JAK-3
20435017 | @GENE_JAK2 | JAK2 | 1593 | 5 | Gene | gene | JAK-2
20506481 | @GENE_JAK3 | Jak3 | 35 | 5 | Gene | gene | JAK-3
20506481 | @DISEASE_Arthritis | Arthritis | 88 | 9 | Disease | disease | arthritis
20506481 | @GENE_JAK3 | Jak3 | 159 | 5 | Gene | gene | JAK-3
20506481 | @GENE_JAK1 | Jak1 | 169 | 5 | Gene | gene | JAK-1
20506481 | @GENE_JAK3 | Jak3 | 242 | 5 | Gene | gene | JAK-3
20506481 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 347 | 18 | Disease | disease | autoimmune disease
20506481 | @GENE_JAK1 | Jak1 | 422 | 5 | Gene | gene | JAK-1
20506481 | @GENE_JAK2 | Jak2 | 429 | 5 | Gene | gene | JAK-2
20506481 | @GENE_TYK2 | Tyk2 | 440 | 5 | Gene | gene | Tyk-2
20506481 | @GENE_JAK3 | Jak3 | 528 | 5 | Gene | gene | JAK-3
20506481 | @GENE_IL2 | Il2 | 545 | 13 | Gene | gene | interleukin-2
20506481 | @GENE_IL2 | Il2 | 560 | 4 | Gene | gene | IL-2
20506481 | @GENE_IL6 | Il6 | 585 | 4 | Gene | gene | IL-6
20506481 | @GENE_CSF2 | Csf2 | 591 | 48 | Gene | gene | granulocyte-macrophage colony-stimulating factor
20506481 | @GENE_CSF2 | Csf2 | 641 | 6 | Gene | gene | GM-CSF
20506481 | @GENE_IL22 | Il22 | 763 | 5 | Gene | gene | IL-22
20506481 | @GENE_EPO | Epo | 774 | 14 | Gene | gene | erythropoietin
20506481 | @GENE_EPO | Epo | 790 | 3 | Gene | gene | EPO
20506481 | @GENE_IL2 | Il2 | 854 | 4 | Gene | gene | IL-2
20506481 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 929 | 29 | Disease | disease | delayed-type hypersensitivity
20506481 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 960 | 3 | Disease | disease | DTH
20506481 | @DISEASE_Arthritis | Arthritis | 986 | 9 | Disease | disease | arthritis
20506481 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 997 | 3 | Disease | disease | CIA
20506481 | @GENE_IL2 | Il2 | 1068 | 4 | Gene | gene | IL-2
20506481 | @GENE_STAT5A | Stat5a | 1081 | 6 | Gene | gene | STAT-5
20506481 | @GENE_JAK3 | Jak3 | 1178 | 5 | Gene | gene | JAK-3
20506481 | @GENE_IL6 | Il6 | 1196 | 4 | Gene | gene | IL-6
20506481 | @GENE_CSF2 | Csf2 | 1205 | 6 | Gene | gene | GM-CSF
20506481 | @GENE_IL2 | Il2 | 1273 | 4 | Gene | gene | IL-2
20506481 | @GENE_IL6 | Il6 | 1316 | 4 | Gene | gene | IL-6
20506481 | @GENE_JAK3 | Jak3 | 1409 | 5 | Gene | gene | JAK-3
20506481 | @GENE_IL2 | Il2 | 1424 | 4 | Gene | gene | IL-2
20506481 | @GENE_IFNG | Ifng | 1437 | 16 | Gene | gene | interferon-gamma
20506481 | @GENE_IL22 | Il22 | 1543 | 5 | Gene | gene | IL-22
20506481 | @GENE_EPO | Epo | 1587 | 3 | Gene | gene | EPO
20506481 | @DISEASE_Reticulocytosis | Reticulocytosis | 1599 | 15 | Disease | disease | reticulocytosis
20506481 | @DISEASE_Hypersensitivity_Delayed | Hypersensitivity Delayed | 1652 | 3 | Disease | disease | DTH
20506481 | @DISEASE_Arthritis_Experimental | Arthritis Experimental | 1660 | 3 | Disease | disease | CIA
