24631022 | Negative_Correlation | galiellalactone | NFKB1
29171984 | Positive_Correlation | MIR1246 | VIM
29171984 | Association | MIR1246 | CXCR4
29171984 | Negative_Correlation | MIR1246 | AKT1
29171984 | Positive_Correlation | CDH2 | MIR1246
29171984 | Negative_Correlation | MIR1246 | SNAI1
29171984 | Negative_Correlation | Lung Neoplasms | MIR1246
29501729 | Positive_Correlation | Genetic Diseases Inborn | JAK2
29501729 | Association | Lymphoma B-Cell | p.E571K
29501729 | Association | JAK2 | STAT6
29501729 | Association | Lymphoma B-Cell | JAK2
29501729 | Association | Lymphoma B-Cell | STAT6
29501729 | Bind | STAT6 | XPO1
29501729 | Association | Lymphoma B-Cell | XPO1
29679717 | Negative_Correlation | icaritin | Bone Diseases Metabolic
29679717 | Association | icaritin | CXCL12
29679717 | Negative_Correlation | icaritin | Fragile X Syndrome
29679717 | Positive_Correlation | icaritin | STAT3
29679717 | Positive_Correlation | icaritin | CXCR4
29679717 | Association | STAT3 | CXCR4
29679717 | Negative_Correlation | icaritin | Osteoporosis
29925658 | Bind | KPNA1 | STAT1
30283452 | Association | Inflammation | HMGB1
30283452 | Association | Dinoprostone | Arthritis Rheumatoid
30283452 | Association | Arthritis Rheumatoid | TXN
30283452 | Association | Inflammation | TXN
30283452 | Association | CXCL12 | CXCR4
30283452 | Association | Arthritis Rheumatoid | HMGB1
30283452 | Association | Arthritis Rheumatoid | CXCL12
30283452 | Association | HMGB1 | TLR2
30283452 | Association | HMGB1 | CXCR4
30283452 | Association | HMGB1 | TLR4
30283452 | Association | HMGB1 | CXCL12
31301483 | Association | Lung Neoplasms | MAP2K7
31301483 | Association | Lung Neoplasms | ZHX2
31301483 | Association | Lung Neoplasms | CTNNB1
31301483 | Association | Lung Neoplasms | IGF1R
31301483 | Association | Lung Neoplasms | KDR
31301483 | Association | Lung Neoplasms | NOTCH1
31301483 | Association | Lung Neoplasms | EGFR
31301483 | Association | Lung Neoplasms | CXCR4
31301483 | Association | Lung Neoplasms | SLTM
31372333 | Association | Neoplasms | CXCR4
31372333 | Bind | CXCL12 | CXCR4
31372333 | Association | Multiple Myeloma | CXCR4
31372333 | Association | Multiple Myeloma | CXCL12
31372333 | Association | Neoplasm Metastasis | CXCR4
31575039 | Association | STAT1 | STAT3
31575039 | Association | KPNA1 | STAT3
31575039 | Association | Infections | STAT3
31575039 | Association | Inflammation | STAT3
31575039 | Association | Infections | KPNA1
31575039 | Bind | KPNA1 | STAT1
31629729 | Association | IL4 | CAV1
31629729 | Association | Fibrosis | CAV1
31629729 | Association | Lung Diseases Interstitial | TGFB1
31629729 | Association | Lung Diseases Interstitial | CAV1
31629729 | Association | Idiopathic Pulmonary Fibrosis | TGFB1
31629729 | Association | Idiopathic Pulmonary Fibrosis | CAV1
31629729 | Association | Fibrosis | TGFB1
31629729 | Association | CXCR4 | CAV1
31629729 | Association | CXCL12 | CAV1
31629729 | Association | Scleroderma Systemic | TGFB1
31629729 | Negative_Correlation | TGFB1 | CAV1
31629729 | Association | STAT3 | CAV1
31629729 | Association | MAPK8 | CAV1
32119183 | Association | CTNNB1 | MMP7
32119183 | Negative_Correlation | GSK3B | STAT3
32119183 | Association | CTNNB1 | GSK3B
32119183 | Association | Fibrosis | CTNNB1
32119183 | Negative_Correlation | plerixafor | Adenocarcinoma
32119183 | Association | JAK2 | CXCR4
32119183 | Negative_Correlation | plerixafor | Fibrosis
32119183 | Negative_Correlation | GSK3B | STAT6
32119183 | Negative_Correlation | ICG 001 | Fibrosis
32119183 | Association | MMP7 | CXCR4
32119183 | Positive_Correlation | Ctnnb1 | Cxcr4
32119183 | Positive_Correlation | Fibrosis | Cxcr4
32119183 | Association | JAK3 | CXCR4
32119183 | Association | Renal Insufficiency Chronic | Cxcr4
32119183 | Association | STAT3 | CXCR4
32119183 | Negative_Correlation | plerixafor | CTNNB1
32119183 | Negative_Correlation | ICG 001 | CTNNB1
32119183 | Positive_Correlation | CTNNB1 | CXCR4
32119183 | Association | CTNNB1 | STAT6
32119183 | Association | Cxcr4 | CTNNB1
32119183 | Positive_Correlation | Cxcr4 | GSK3B
32119183 | Association | STAT6 | CXCR4
32119183 | Association | GSK3B | CXCR4
32119183 | Negative_Correlation | ICG 001 | CXCR4
32119183 | Positive_Correlation | Fibrosis | CXCR4
32119183 | Association | Fibrosis | GSK3B
32119183 | Association | Renal Insufficiency Chronic | Ctnnb1
32733468 | Negative_Correlation | tofacitinib | IgA Vasculitis
32733468 | Association | tofacitinib | NOX5
32733468 | Positive_Correlation | IgA Vasculitis | CD209
32733468 | Positive_Correlation | Arthritis Psoriatic | CXCR4
32733468 | Positive_Correlation | Arthritis Psoriatic | CD40
32733468 | Association | IgA Vasculitis | CD14
32733468 | Negative_Correlation | tofacitinib | CD40
32733468 | Positive_Correlation | Arthritis Psoriatic | CCR7
32733468 | Positive_Correlation | IgA Vasculitis | CD40
32733468 | Positive_Correlation | IgA Vasculitis | CXCR3
32733468 | Positive_Correlation | IgA Vasculitis | CXCR4
32733468 | Positive_Correlation | IgA Vasculitis | CXCR5
32733468 | Negative_Correlation | tofacitinib | CD209
32733468 | Association | tofacitinib | CYBB
32733468 | Association | Arthritis Psoriatic | CXCR3
32733468 | Positive_Correlation | IgA Vasculitis | CCR7
32979938 | Association | TBK1 | IRF3
32979938 | Association | COVID-19 | ORF1ab
32979938 | Association | COVID-19 | SH2D3A
32979938 | Negative_Correlation | IRF3 | KPNA2
32979938 | Association | KPNA2 | ORF6
32979938 | Association | TBK1 | ORF1ab
33013914 | Negative_Correlation | plerixafor | Infections
33013914 | Positive_Correlation | plerixafor | Hemorrhage
33013914 | Negative_Correlation | plerixafor | Poly I-C
33097660 | Bind | NUP98 | RAE1
33097660 | Association | IFNA1 | NUP98
33097660 | Negative_Correlation | IFNA1 | ORF6
33097660 | Association | ORF6 | RAE1
33097660 | Association | IFNA1 | RAE1
33097660 | Association | ORF6 | NUP98
33810944 | Positive_Correlation | cyanidin | Tnfrsf11b
33810944 | Negative_Correlation | cyanidin | Stat3
33810944 | Negative_Correlation | cyanidin | Tooth Erosion
33810944 | Positive_Correlation | Hspb1 | Il17a
33810944 | Positive_Correlation | Il17a | Cxcr4
33810944 | Negative_Correlation | cyanidin | Tnfsf11
33810944 | Negative_Correlation | cyanidin | Arthritis Rheumatoid
33810944 | Negative_Correlation | cyanidin | Inflammation
33810944 | Positive_Correlation | Ccr7 | Il17a
33810944 | Negative_Correlation | cyanidin | Ccr7
33810944 | Negative_Correlation | cyanidin | Hspb1
33810944 | Association | Arthritis Rheumatoid | Il17ra
33810944 | Positive_Correlation | Il17a | Il17ra
33810944 | Association | Tooth Erosion | Il17a
33810944 | Association | Inflammation | Il17a
33810944 | Association | Inflammation | Il17ra
33810944 | Association | Arthritis Experimental | Il17a
33810944 | Negative_Correlation | cyanidin | Cxcr4
33810944 | Association | Tooth Erosion | Il17ra
33810944 | Association | Arthritis Rheumatoid | Il17a
33810944 | Negative_Correlation | cyanidin | Il17ra
33810944 | Negative_Correlation | cyanidin | Il17a
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | CXCR4
33843403 | Negative_Correlation | ruxolitinib | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
33843403 | Positive_Correlation | ruxolitinib | Paralysis
33843403 | Negative_Correlation | plerixafor | venetoclax
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | JAK1
33843403 | Negative_Correlation | plerixafor | CXCR4
33843403 | Negative_Correlation | venetoclax | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma
33843403 | Positive_Correlation | venetoclax | Paralysis
33843403 | Association | BCL2 | CXCR4
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | JAK2
33843403 | Cotreatment | ruxolitinib | venetoclax
33843403 | Association | Precursor T-Cell Lymphoblastic Leukemia-Lymphoma | BCL2
33843403 | Cotreatment | plerixafor | ruxolitinib
33843403 | Bind | CXCL12 | CXCR4
34082024 | Negative_Correlation | ceralasertib | CD274
34082024 | Negative_Correlation | olaparib | Biliary Tract Neoplasms
34082024 | Negative_Correlation | olaparib | Neoplasms
34082024 | Cotreatment | ceralasertib | olaparib
34082024 | Association | Biliary Tract Neoplasms | CD274
34082024 | Negative_Correlation | ceralasertib | Neoplasms
34082024 | Positive_Correlation | olaparib | ATR
34082024 | Negative_Correlation | ceralasertib | Biliary Tract Neoplasms
34082024 | Association | Biliary Tract Neoplasms | ATR
34082024 | Negative_Correlation | ceralasertib | ATR
34082024 | Negative_Correlation | ceralasertib | YAP1
34082024 | Positive_Correlation | olaparib | CD274
34082024 | Association | YAP1 | CD274
34082024 | Association | CD274 | STAT3
34082024 | Association | olaparib | YAP1
34082024 | Negative_Correlation | olaparib | COL11A2
34082024 | Association | Neoplasms | COL11A2
34419959 | Negative_Correlation | Zinc Oxide | Breast Neoplasms
34419959 | Negative_Correlation | Zinc Oxide | BCL2L1
34419959 | Negative_Correlation | Zinc Oxide | MCL1
34419959 | Association | Polyethylene Glycols | Zinc Oxide
34467524 | Bind | CXCL8 | CXCR1
34467524 | Negative_Correlation | Scleroderma Systemic | MPO
34467524 | Negative_Correlation | Scleroderma Systemic | FCGR3A
34467524 | Association | Scleroderma Systemic | CXCR2
34467524 | Association | Scleroderma Systemic | CXCR1
34467524 | Association | Scleroderma Systemic | SELL
34467524 | Bind | CXCL8 | CXCR2
34493195 | Negative_Correlation | hederagenin | ICAM1
34493195 | Negative_Correlation | hederagenin | IL4
34493195 | Negative_Correlation | Berberine | CXCR4
34493195 | Association | COVID-19 | CXCL10
34493195 | Association | COVID-19 | IL4
34493195 | Negative_Correlation | hederagenin | COVID-19
34493195 | Negative_Correlation | Berberine | CXCL10
34493195 | Negative_Correlation | kaempferol | IFNG
34493195 | Negative_Correlation | Berberine | IL4
34493195 | Negative_Correlation | Quercetin | IL4
34493195 | Association | COVID-19 | HIF1A
34493195 | Negative_Correlation | Luteolin | IL6
34493195 | Negative_Correlation | shionone | IL6
34493195 | Negative_Correlation | Berberine | COVID-19
34493195 | Negative_Correlation | Quercetin | CCL2
34493195 | Negative_Correlation | Quercetin | CXCL8
34493195 | Negative_Correlation | Quercetin | IFNG
34493195 | Negative_Correlation | kaempferol | IL2
34493195 | Association | COVID-19 | IL17A
34493195 | Negative_Correlation | kaempferol | CXCR4
34493195 | Negative_Correlation | kaempferol | ICAM1
34493195 | Negative_Correlation | hederagenin | CXCL10
34493195 | Negative_Correlation | Berberine | IL6
34493195 | Negative_Correlation | kaempferol | COVID-19
34493195 | Negative_Correlation | hederagenin | IL2
34493195 | Negative_Correlation | shionone | IL2
34493195 | Negative_Correlation | Quercetin | ICAM1
34493195 | Negative_Correlation | hederagenin | CXCR4
34493195 | Negative_Correlation | hederagenin | CXCL8
34493195 | Negative_Correlation | Berberine | CCL2
34493195 | Negative_Correlation | shionone | ICAM1
34493195 | Negative_Correlation | Berberine | CXCL8
34493195 | Association | COVID-19 | ICAM1
34493195 | Negative_Correlation | hederagenin | IL1B
34493195 | Negative_Correlation | Berberine | IL1B
34493195 | Negative_Correlation | Berberine | IFNG
34493195 | Negative_Correlation | shionone | IL1B
34493195 | Negative_Correlation | Quercetin | IL2
34493195 | Negative_Correlation | Luteolin | CXCL8
34493195 | Association | COVID-19 | IL1B
34493195 | Negative_Correlation | shionone | IFNG
34493195 | Association | COVID-19 | IFNG
34493195 | Negative_Correlation | Luteolin | ICAM1
34493195 | Negative_Correlation | kaempferol | IL6
34493195 | Negative_Correlation | shionone | CCL2
34493195 | Negative_Correlation | hederagenin | IL6
34493195 | Association | COVID-19 | IL2
34493195 | Association | COVID-19 | CXCR4
34493195 | Association | COVID-19 | IL6
34493195 | Negative_Correlation | kaempferol | CXCL10
34493195 | Association | COVID-19 | NFKB1
34493195 | Negative_Correlation | shionone | CXCR4
34493195 | Negative_Correlation | Berberine | ICAM1
34493195 | Negative_Correlation | shionone | CXCL8
34493195 | Negative_Correlation | kaempferol | CXCL8
34493195 | Negative_Correlation | Quercetin | IL6
34493195 | Negative_Correlation | Berberine | IL2
34493195 | Negative_Correlation | shionone | CXCL10
34493195 | Negative_Correlation | hederagenin | CCL2
34493195 | Negative_Correlation | kaempferol | CCL2
34493195 | Negative_Correlation | shionone | IL4
34493195 | Negative_Correlation | Quercetin | COVID-19
34493195 | Negative_Correlation | Quercetin | CXCR4
34493195 | Negative_Correlation | Luteolin | CXCR4
34493195 | Association | COVID-19 | CCL2
34493195 | Negative_Correlation | Quercetin | IL1B
34493195 | Association | COVID-19 | CXCL8
34493195 | Association | COVID-19 | TNF
34493195 | Negative_Correlation | shionone | COVID-19
34493195 | Negative_Correlation | Luteolin | CCL2
34493195 | Negative_Correlation | Quercetin | CXCL10
34493195 | Negative_Correlation | Luteolin | CXCL10
34493195 | Negative_Correlation | hederagenin | IFNG
34493195 | Negative_Correlation | kaempferol | IL1B
34493195 | Negative_Correlation | kaempferol | IL4
35069519 | Negative_Correlation | IFNL1 | VP24
35069519 | Negative_Correlation | IFIH1 | VP24
35069519 | Positive_Correlation | DDX58 | IFNB1
35069519 | Positive_Correlation | DDX58 | IFNL1
35069519 | Association | IRF3 | VP24
35069519 | Association | IFNA1 | VP40
35069519 | Negative_Correlation | DDX58 | VP24
35069519 | Association | IFNA1 | VP24
35069519 | Association | IFNA1 | VP35
35069519 | Positive_Correlation | IFNB1 | IFIH1
35069519 | Association | KPNA1 | VP24
35069519 | Negative_Correlation | IFNB1 | VP24
35069519 | Positive_Correlation | IFNL1 | IFIH1
35095831 | Positive_Correlation | Arthritis Rheumatoid | CCR6
35095831 | Positive_Correlation | Arthritis Rheumatoid | CXCR5
35095831 | Positive_Correlation | CCR7 | CD209
35095831 | Positive_Correlation | Arthritis Rheumatoid | CXCR3
35095831 | Positive_Correlation | IL12B | CD14
35095831 | Positive_Correlation | Arthritis Rheumatoid | CD209
35095831 | Positive_Correlation | Arthritis Psoriatic | CD80
35095831 | Positive_Correlation | CD209 | TNF
35095831 | Positive_Correlation | CD14 | CD40
35095831 | Positive_Correlation | CXCR3 | CD209
35095831 | Association | Arthritis Psoriatic | NFKB1
35095831 | Positive_Correlation | Arthritis Psoriatic | CD40
35095831 | Positive_Correlation | CD209 | IL12B
35095831 | Positive_Correlation | CD209 | CD40
35095831 | Association | Arthritis | IL1B
35095831 | Association | Arthritis | IL6
35095831 | Association | NFKB1 | CD14
35095831 | Association | Arthritis | TNF
35095831 | Positive_Correlation | IL1B | CD14
35095831 | Positive_Correlation | CD209 | CXCR5
35095831 | Association | Arthritis | IL12B
35095831 | Positive_Correlation | CCR6 | CD209
35095831 | Positive_Correlation | CD14 | CD80
35095831 | Positive_Correlation | Arthritis Rheumatoid | CD14
35095831 | Positive_Correlation | Arthritis Psoriatic | CD14
35095831 | Association | Arthritis Psoriatic | CCR3
35095831 | Positive_Correlation | Arthritis Rheumatoid | CXCR4
35095831 | Positive_Correlation | CD209 | CXCR4
35095831 | Association | CD209 | NFKB1
35095831 | Positive_Correlation | Arthritis Psoriatic | CXCL10
35095831 | Positive_Correlation | CD209 | IL1B
35095831 | Positive_Correlation | Arthritis Rheumatoid | CCR7
35095831 | Positive_Correlation | CD209 | IL6
35095831 | Association | Arthritis Rheumatoid | NFKB1
35095831 | Positive_Correlation | Inflammation | CD40
35095831 | Positive_Correlation | Arthritis Psoriatic | CD209
35095831 | Association | Arthritis Psoriatic | CXCL11
35095831 | Positive_Correlation | CD209 | CD80
35095831 | Positive_Correlation | TNF | CD14
35095831 | Association | NFKB1 | TNF
35095831 | Association | Arthritis | CD209
35095831 | Positive_Correlation | IL6 | CD14
35116714 | Positive_Correlation | Urinary Bladder Neoplasms | CXCR4
35116714 | Association | Carcinoma Squamous Cell | CXCR4
35116714 | Association | Carcinogenesis | CXCR4
35116714 | Bind | CXCL12 | CXCR4
35116714 | Association | Breast Neoplasms | CXCR4
35116714 | Association | Neoplasms | CXCR4
35462338 | Association | Disease | CXCL12
35462338 | Positive_Correlation | CXCL12 | STAT3
35462338 | Association | Alopecia | CXCL12
35462338 | Positive_Correlation | CXCL12 | CXCR4
35462338 | Positive_Correlation | STAT5A | CXCR4
35462338 | Association | ACKR3 | CXCL12
35462338 | Positive_Correlation | CXCL12 | STAT5A
35462338 | Positive_Correlation | STAT3 | CXCR4
36077241 | Association | Breast Neoplasms | ACKR3
36077241 | Association | Breast Neoplasms | CXCR4
36077241 | Negative_Correlation | dehydroabietylamine | SOD2
36077241 | Association | Breast Neoplasms | SOD2
36077241 | Association | Neoplasms | ACKR3
36077241 | Negative_Correlation | dehydroabietylamine | CXCR4
36077241 | Positive_Correlation | dehydroabietylamine | Glutathione Disulfide
36077241 | Association | Neoplasms | CXCR4
36077241 | Positive_Correlation | dehydroabietylamine | Glutathione
36077241 | Negative_Correlation | dehydroabietylamine | Breast Neoplasms
36077241 | Association | Neoplasms | CXCL12
36077241 | Positive_Correlation | ACKR3 | SOD2
36077241 | Negative_Correlation | dehydroabietylamine | ACKR3
36077241 | Association | CXCL12 | CXCR4
36077241 | Positive_Correlation | CXCL12 | SOD2
36077241 | Association | ACKR3 | CXCL12
36077241 | Positive_Correlation | SOD2 | CXCR4
36609711 | Association | CSF3 | Nfkb1
36609711 | Positive_Correlation | CSF3 | CXCL12
36609711 | Association | Inflammation | Stat3
36609711 | Positive_Correlation | Neoplasms Basal Cell | CSF3
36609711 | Association | CSF3 | Cxcl12
36609711 | Positive_Correlation | Nfkb1 | CXCR4
36609711 | Association | Neoplasm Metastasis | CSF3
36609711 | Bind | CXCL12 | CXCR4
36609711 | Association | Breast Neoplasms | CSF3
36609711 | Positive_Correlation | Neoplasms | CSF3
36609711 | Association | Neoplasms | CXCR4
36609711 | Association | Cxcr4 | CSF3
36609711 | Association | Breast Neoplasms | CXCL12
36609711 | Association | Neoplasms | CXCL12
36609711 | Positive_Correlation | Akt1 | CXCR4
36609711 | Negative_Correlation | Leukopenia | CSF3
36609711 | Association | Carcinogenesis | Stat3
36609711 | Association | Breast Neoplasms | Cxcr4
36609711 | Association | Grk4 | Hspg2
36609711 | Positive_Correlation | CSF3 | CXCR4
36656397 | Association | Inflammatory Bowel Diseases | CXCR4
36656397 | Negative_Correlation | Flavonoids | Inflammation
36656397 | Association | Winter Shortland Temple syndrome | HIF1A
36656397 | Association | Winter Shortland Temple syndrome | SNCA
36656397 | Association | Winter Shortland Temple syndrome | IL6
36656397 | Association | Winter Shortland Temple syndrome | CXCR4
36656397 | Association | Winter Shortland Temple syndrome | ABCA1
36656397 | Negative_Correlation | Flavonoids | Neurodegenerative Diseases
36656397 | Association | Winter Shortland Temple syndrome | APOE
36656397 | Association | Flavonoids | CXCR4
36656397 | Negative_Correlation | Flavonoids | Cognition Disorders
36656397 | Association | Winter Shortland Temple syndrome | LRRK2
36656397 | Association | Parkinson Disease | CXCR4
36707041 | Positive_Correlation | CXCL12 | CXCR4
36707041 | Negative_Correlation | loliolide | Breast Neoplasms
36707041 | Positive_Correlation | CXCL12 | SOD2
36707041 | Negative_Correlation | loliolide | Parkinson Disease Secondary
36707041 | Positive_Correlation | SOD2 | CXCR4
36707041 | Association | Neoplasms | CXCR4
36707041 | Association | Neoplasms | ACKR3
36707041 | Negative_Correlation | loliolide | ACKR3
36707041 | Association | Neoplasm Metastasis | ACKR3
36707041 | Association | Neoplasms | SOD2
36707041 | Negative_Correlation | loliolide | SOD2
36707041 | Association | Neoplasm Metastasis | SOD2
36707041 | Association | Neoplasm Metastasis | CXCR4
36707041 | Positive_Correlation | ACKR3 | CXCL12
36707041 | Negative_Correlation | loliolide | CXCR4
36707041 | Negative_Correlation | loliolide | Neoplasm Metastasis
36780103 | Association | Leukemia Lymphocytic Chronic B-Cell | CXCL12
36780103 | Association | CXCL12 | CXCR4
36780103 | Association | DPP4 | CXCL12
36780103 | Association | Leukemia Lymphocytic Chronic B-Cell | DPP4
36780103 | Association | Leukemia Lymphocytic Chronic B-Cell | CXCR4
36822100 | Association | Heart Failure | Mir1955
36822100 | Association | Conversion Disorder | Mir1955
36822100 | Association | Conversion Disorder | Cxcr4
36822100 | Association | Heart Failure | Cxcr4
36949176 | Negative_Correlation | Proscillaridin | Disease
36949176 | Negative_Correlation | tegobuvir | COVID-19
36949176 | Negative_Correlation | Sorafenib | Disease
36949176 | Negative_Correlation | nilotinib | Disease
36949176 | Negative_Correlation | Vancomycin | Disease
36949176 | Negative_Correlation | Sirolimus | COVID-19
36949176 | Negative_Correlation | Vancomycin | COVID-19
36949176 | Negative_Correlation | Hesperidin | COVID-19
36949176 | Negative_Correlation | Sirolimus | Disease
36949176 | Negative_Correlation | Digoxin | COVID-19
36949176 | Negative_Correlation | Proscillaridin | COVID-19
36949176 | Negative_Correlation | nilotinib | Idiopathic Pulmonary Fibrosis
36949176 | Negative_Correlation | Simeprevir | Disease
36949176 | Negative_Correlation | Simeprevir | COVID-19
36949176 | Negative_Correlation | Sorafenib | COVID-19
36949176 | Negative_Correlation | tegobuvir | Disease
36949176 | Negative_Correlation | Sorafenib | Idiopathic Pulmonary Fibrosis
36949176 | Negative_Correlation | nilotinib | COVID-19
36949176 | Negative_Correlation | Hesperidin | Disease
36949176 | Negative_Correlation | Digoxin | Disease
37227160 | Association | IBTK | PLCG2
37227160 | Positive_Correlation | acalabrutinib | Lymphocytosis
37227160 | Positive_Correlation | acalabrutinib | ITGA4
37227160 | Negative_Correlation | Leukemia Lymphocytic Chronic B-Cell | IBTK
37227160 | Association | Leukemia Lymphocytic Chronic B-Cell | ITGA4
37227160 | Association | Lymphocytosis | ITGA4
37227160 | Association | Leukemia Lymphocytic Chronic B-Cell | BTK
37227160 | Negative_Correlation | acalabrutinib | Leukemia Lymphocytic Chronic B-Cell
37227160 | Association | Leukemia Lymphocytic Chronic B-Cell | NFKB1
37227160 | Positive_Correlation | ITGA4 | BTK
37227160 | Association | IBTK | ITGA4
37227160 | Association | Leukemia Lymphocytic Chronic B-Cell | PLCG2
37227160 | Positive_Correlation | ITGA4 | NFKB1
37285884 | Positive_Correlation | wedelolactone | CCR7
37285884 | Positive_Correlation | wedelolactone | GZMB
37285884 | Positive_Correlation | wedelolactone | CXCR4
37285884 | Association | wedelolactone | Polysaccharides
37713206 | Negative_Correlation | upadacitinib | Neuritis Autoimmune Experimental
37713206 | Association | upadacitinib | ISG15
37713206 | Negative_Correlation | upadacitinib | CXCR4
37713206 | Negative_Correlation | upadacitinib | Inflammation
37713206 | Association | Uveitis | JAK1
37713206 | Association | Neuritis Autoimmune Experimental | JAK1
37713206 | Association | upadacitinib | CD8A
37713206 | Association | Neuritis Autoimmune Experimental | CXCR4
37713206 | Negative_Correlation | upadacitinib | CD4
37713206 | Negative_Correlation | upadacitinib | JAK1
38243290 | Positive_Correlation | Polycystic Ovary Syndrome | OPN3
38243290 | Positive_Correlation | Polycystic Ovary Syndrome | IDH1
38243290 | Association | Polycystic Ovary Syndrome | DANCR
38243290 | Association | Polycystic Ovary Syndrome | PRKCQ
38243290 | Association | Polycystic Ovary Syndrome | SNHG8
38243290 | Positive_Correlation | Polycystic Ovary Syndrome | SYBU
38243290 | Association | Polycystic Ovary Syndrome | TPT1
38243290 | Positive_Correlation | Polycystic Ovary Syndrome | RABL6
38243290 | Association | Polycystic Ovary Syndrome | PCAT14
38243290 | Association | Pyruvic Acid | Polycystic Ovary Syndrome
38243290 | Association | Polycystic Ovary Syndrome | FTX
38243290 | Positive_Correlation | Polycystic Ovary Syndrome | CXCR4
38243290 | Negative_Correlation | Polycystic Ovary Syndrome | ZEB1
38243290 | Positive_Correlation | Polycystic Ovary Syndrome | NOP10
