36423071 | Positive_Correlation | Ustekinumab | rs12189871
31137555 | Association | Autoimmune Diseases | HCP5
31504236 | Association | Parkinson Disease | MICB
31504236 | Association | Parkinson Disease | WNT3
31504236 | Association | Schizophrenia | WNT3
31504236 | Association | Alzheimer Disease | MICB
31504236 | Association | Schizophrenia | rs13017199
31504236 | Association | Parkinson Disease | MAP2
31504236 | Association | Parkinson Disease | rs199512
31504236 | Association | Alzheimer Disease | rs199512
31504236 | Positive_Correlation | Mental Disorders | rs199512
31504236 | Association | Schizophrenia | rs3094128
31504236 | Association | Schizophrenia | MAP2
31504236 | Association | Schizophrenia | rs199512
31504236 | Association | Schizophrenia | rs45608532
31504236 | Association | Schizophrenia | MAPT
31504236 | Association | Alzheimer Disease | rs3094128
31504236 | Association | Alzheimer Disease | WNT3
31504236 | Association | Alzheimer Disease | MAP2
31504236 | Association | Alzheimer Disease | MAPT
31504236 | Association | Schizophrenia | MICB
31504236 | Association | Parkinson Disease | MAPT
31504236 | Association | Mental Disorders | WNT3
31504236 | Association | Schizophrenia | RSPH14
33297781 | Negative_Correlation | secukinumab | rs2304255
33297781 | Positive_Correlation | secukinumab | rs6900444
33297781 | Association | secukinumab | HLA-C
33297781 | Negative_Correlation | secukinumab | Psoriasis
33297781 | Negative_Correlation | secukinumab | rs4406273
33297781 | Positive_Correlation | secukinumab | rs13207315
33297781 | Negative_Correlation | secukinumab | rs10484554
33297781 | Negative_Correlation | secukinumab | rs34085293
33297781 | Positive_Correlation | secukinumab | rs12189871
33297781 | Association | Psoriasis | IL17A
33297781 | Positive_Correlation | secukinumab | rs9267325
33297781 | Association | Psoriasis | DDX58
33297781 | Positive_Correlation | secukinumab | rs1131118
33297781 | Association | secukinumab | TYK2
33297781 | Association | Psoriasis | TYK2
33297781 | Association | secukinumab | DDX58
33297781 | Negative_Correlation | secukinumab | IL17A
33297781 | Association | IL17A | TYK2
33297781 | Negative_Correlation | secukinumab | rs12191877
33297781 | Negative_Correlation | secukinumab | Arthritis Psoriatic
33297781 | Association | DDX58 | IL17A
33297781 | Association | Psoriasis | HLA-C
33552945 | Association | Urinary Bladder Neoplasms | LINC01356
33552945 | Association | Urinary Bladder Neoplasms | IPO5P1
33552945 | Association | Urinary Bladder Neoplasms | HCP5
33552945 | Association | Urinary Bladder Neoplasms | LINC00942
34650978 | Association | IPO7 | CD8A
34650978 | Association | CD276 | CD8A
34650978 | Association | IPO7 | GTF2I
34650978 | Association | Uterine Cervical Neoplasms | CD8A
34650978 | Association | Uterine Cervical Neoplasms | GTF2I
34650978 | Association | IPO7 | CD276
34650978 | Association | Uterine Cervical Neoplasms | IPO7
34650978 | Association | Uterine Cervical Neoplasms | CD276
34650978 | Positive_Correlation | IPO7 | MTOR
34650978 | Association | IPO7 | PSPC1
34650978 | Positive_Correlation | IPO7 | AKT1
34650978 | Association | Uterine Cervical Neoplasms | AKT1
34650978 | Association | Uterine Cervical Neoplasms | MTOR
34650978 | Association | IPO7 | RBM25
34650978 | Association | Carcinogenesis | IPO7
34650978 | Association | Neoplasms | IPO7
35792283 | Association | Dengue | HLA-A
35792283 | Association | Dengue | PLCE1
35792283 | Association | Dengue | VDR
35792283 | Association | Inflammation | PLCE1
35792283 | Association | Dengue | FCGR2A
35792283 | Association | Dengue | MICB
35792283 | Association | Dengue | TNF
37307368 | Association | Pulmonary Disease Chronic Obstructive | rs2386841
37307368 | Association | Lung Neoplasms | MICB
37307368 | Association | Pulmonary Disease Chronic Obstructive | TNF
37307368 | Association | Pulmonary Disease Chronic Obstructive | TCF7L1
37307368 | Positive_Correlation | Lung Neoplasms | HLA-B
37307368 | Association | Pulmonary Disease Chronic Obstructive | MICB
37307368 | Positive_Correlation | Lung Neoplasms | rs11256442
37307368 | Association | Lung Neoplasms | BTNL2
37307368 | Association | Pulmonary Disease Chronic Obstructive | NCR3
37307368 | Association | Inflammation | NFKB1
37307368 | Association | Lung Neoplasms | HLA-C
37307368 | Positive_Correlation | Lung Neoplasms | rs2386841
37307368 | Association | Pulmonary Disease Chronic Obstructive | BTNL2
37307368 | Positive_Correlation | Pulmonary Disease Chronic Obstructive | rs11256442
37307368 | Association | Pulmonary Disease Chronic Obstructive | IL2RA
37307368 | Association | Pulmonary Disease Chronic Obstructive | HCP5
37307368 | Association | Lung Neoplasms | IL2RA
37307368 | Association | Lung Neoplasms | TCF7L1
37307368 | Association | Pulmonary Disease Chronic Obstructive | IFNG
37307368 | Association | Pulmonary Disease Chronic Obstructive | BAG6
37307368 | Association | Lung Neoplasms | NCR3
37307368 | Association | Lung Neoplasms | TNF
37307368 | Association | Lung Neoplasms | ABCF1
37307368 | Association | Lung Neoplasms | HCP5
37307368 | Association | Lung Neoplasms | BAG6
37307368 | Association | Pulmonary Disease Chronic Obstructive | HLA-C
37307368 | Association | Pulmonary Disease Chronic Obstructive | ABCF1
37460534 | Bind | KLRK1 | MICB
37460534 | Association | Multiple Myeloma | KLRK1
37460534 | Association | Multiple Myeloma | MICB
37460534 | Association | Multiple Myeloma | MICA
37460534 | Association | MICA | KLRK1
37679517 | Association | Adenocarcinoma of Lung | ICAM5
37679517 | Positive_Correlation | Lung Neoplasms | AIF1
37679517 | Negative_Correlation | Lung Neoplasms | SFTPB
37679517 | Positive_Correlation | Lung Neoplasms | CTSH
37679517 | Negative_Correlation | Lung Neoplasms | GMFG
37679517 | Negative_Correlation | Lung Neoplasms | MICB
37679517 | Negative_Correlation | Lung Neoplasms | HLA-DQA2
37679517 | Negative_Correlation | Lung Neoplasms | NRP1
37679517 | Positive_Correlation | Lung Neoplasms | MICA
37685962 | Bind | KLRK1 | KLRC1
37685962 | Association | Triple Negative Breast Neoplasms | MICA
37685962 | Association | Triple Negative Breast Neoplasms | KLRK1
37685962 | Association | Triple Negative Breast Neoplasms | FCGR3A
37685962 | Association | Neoplasms | KLRC1
37685962 | Association | Triple Negative Breast Neoplasms | ULBP2
37685962 | Association | Triple Negative Breast Neoplasms | KLRC1
37685962 | Bind | FCGR3A | KLRK1
37685962 | Association | Neoplasms | FCGR3A
37685962 | Bind | FCGR3A | KLRC1
38345160 | Association | Leukemia | DNMT1
38345160 | Association | DNMT1 | MICB
38345160 | Negative_Correlation | Decitabine | Myelodysplastic Syndromes
38345160 | Negative_Correlation | Decitabine | Leukemia Myeloid Acute
38345160 | Negative_Correlation | Azacitidine | Leukemia Myeloid Acute
38345160 | Association | MICA | DNMT1
38345160 | Association | Neoplasms | DNMT1
38345160 | Comparison | Decitabine | Azacitidine
38345160 | Negative_Correlation | Azacitidine | Myelodysplastic Syndromes
38575368 | Bind | KLRK1 | MICB
38575368 | Association | MICA | KLRK1
38627665 | Association | Hydrogen Sulfide | Breast Neoplasms
38627665 | Association | Hydrogen Sulfide | CBS
38627665 | Positive_Correlation | MICB | MIR548C
38627665 | Association | Hydrogen Sulfide | CTH
38627665 | Negative_Correlation | CTH | MIR193A
38627665 | Positive_Correlation | MICA | MIR193A
38627665 | Association | Breast Neoplasms | MIR193A
38627665 | Association | Hydrogen Sulfide | PVR
38627665 | Association | CTH | MIR548C
38627665 | Negative_Correlation | LGALS9 | MIR193A
38627665 | Negative_Correlation | LGALS9 | MIR548C
38627665 | Positive_Correlation | MICA | MIR548C
38627665 | Positive_Correlation | MIR193A | MICB
38627665 | Association | Breast Neoplasms | CBS
38627665 | Negative_Correlation | MIR193A | PVR
38627665 | Negative_Correlation | MIR548C | CBS
38627665 | Association | Breast Neoplasms | CTH
38627665 | Association | Breast Neoplasms | MPST
38627665 | Association | Breast Neoplasms | PVR
38627665 | Association | Breast Neoplasms | MIR548C
38627665 | Negative_Correlation | MIR193A | MPST
38627665 | Negative_Correlation | PVR | MIR548C
38627665 | Negative_Correlation | MIR193A | CBS
38627665 | Association | Hydrogen Sulfide | MPST
38627665 | Negative_Correlation | MPST | MIR548C
38627665 | Negative_Correlation | LGALS3 | MIR548C
38627665 | Negative_Correlation | LGALS3 | MIR193A
38627665 | Association | Hydrogen Sulfide | Neoplasms
38630551 | Negative_Correlation | pembrolizumab | Neoplasms
10037026 | Association | Leukemia | JAK3
10037026 | Bind | JAK1 | JAK3
10037026 | Association | IL2RB | JAK1
10037026 | Association | JAK3 | STAT1
10037026 | Association | IL2RA | JAK3
10037026 | Association | IL2RA | JAK1
10037026 | Bind | JAK3 | STAT5A
10037026 | Association | IL2RB | JAK3
10037026 | Bind | JAK3 | STAT3
10383053 | Positive_Correlation | Csf2 | Jak2
10383053 | Positive_Correlation | Csf2 | Stat3
10383053 | Positive_Correlation | Csf2 | Mapk1
10383053 | Positive_Correlation | Csf2 | Stat6
10383053 | Positive_Correlation | Csf2 | Mapk3
10383053 | Positive_Correlation | Csf2 | Stat5a
10383053 | Positive_Correlation | Csf2 | Stat5b
17682048 | Association | LLGL2 | C1QBP
17682048 | Association | PRKCZ | C1QBP
17959680 | Association | UL44 | UL84
17959680 | Association | UL84 | KPNA1
19655172 | Positive_Correlation | CCL2 | STAT6
19655172 | Negative_Correlation | JAK3 | CCL13
19655172 | Positive_Correlation | SPINT2 | JAK3
19655172 | Positive_Correlation | CCL22 | STAT6
19655172 | Negative_Correlation | JAK3 | CCL2
19655172 | Positive_Correlation | Infections | SPINT2
19655172 | Association | IL4 | IL4R
19655172 | Positive_Correlation | Infections | CCL2
19655172 | Positive_Correlation | CCL1 | STAT6
19655172 | Negative_Correlation | JAK3 | CCL8
19655172 | Positive_Correlation | SERPINB3 | STAT6
19655172 | Positive_Correlation | Infections | CCL13
19655172 | Positive_Correlation | Infections | CCL22
19655172 | Positive_Correlation | CCL8 | STAT6
19655172 | Association | JAK3 | STAT6
19655172 | Positive_Correlation | Infections | SERPINB3
19655172 | Positive_Correlation | Infections | CCL1
19655172 | Association | FCER2 | IL4
19655172 | Negative_Correlation | JAK3 | CCL1
19655172 | Positive_Correlation | SPINT2 | STAT6
19655172 | Negative_Correlation | JAK3 | CCL22
19655172 | Positive_Correlation | CCL13 | STAT6
19655172 | Association | IFNG | STAT6
19655172 | Positive_Correlation | Infections | CCL8
19655172 | Association | IL4 | STAT6
19655172 | Negative_Correlation | JAK3 | SERPINB3
19655172 | Association | IL4 | CD40
19812686 | Negative_Correlation | Dinoprostone | JAK3
19812686 | Association | Neoplasms | JAK3
19812686 | Association | Neoplasms | CD4
19812686 | Association | Neoplasms | STAT5A
19812686 | Negative_Correlation | Dinoprostone | BCL2
19812686 | Positive_Correlation | Dinoprostone | Neoplasms
19812686 | Negative_Correlation | Dinoprostone | STAT5A
19812686 | Positive_Correlation | BCL2 | STAT5A
19812686 | Negative_Correlation | Dinoprostone | BAX
19812686 | Association | Neoplasms | PTGS2
19812686 | Association | STAT5A | CD4
19812686 | Association | theaflavin | JAK3
19812686 | Negative_Correlation | Dinoprostone | CD4
19812686 | Association | Neoplasms | BCL2
19812686 | Association | Dinoprostone | PTGS2
19812686 | Association | theaflavin | Dinoprostone
20853320 | Association | Leukemia | BAX
20853320 | Negative_Correlation | Tretinoin | Leukemia Lymphocytic Chronic B-Cell
20853320 | Positive_Correlation | AKT1 | KLRK1
20853320 | Association | Leukemia | BCL2
20853320 | Negative_Correlation | Tretinoin | Leukemia
20853320 | Association | Leukemia Lymphocytic Chronic B-Cell | KLRK1
20853320 | Association | KLRK1 | BCL2
20853320 | Association | Leukemia | BCL2L1
20853320 | Association | Tretinoin | KLRK1
20853320 | Association | Leukemia | KLRK1
20853320 | Association | Leukemia | CD8A
20853320 | Positive_Correlation | KLRK1 | BCL2L1
20853320 | Association | BAX | CD8A
20853320 | Positive_Correlation | KLRK1 | RELB
20853320 | Positive_Correlation | KLRK1 | BAX
20853320 | Positive_Correlation | KLRK1 | CD8A
21844139 | Positive_Correlation | IL6 | JAK2
21844139 | Negative_Correlation | tofacitinib | IL6
21844139 | Negative_Correlation | tofacitinib | AA amyloidosis
21844139 | Negative_Correlation | tofacitinib | STAT3
21844139 | Positive_Correlation | IL6 | SAA4
21844139 | Association | Arthritis Rheumatoid | IL6
21844139 | Positive_Correlation | IL6 | STAT3
21844139 | Association | Arthritis Rheumatoid | SAA4
21844139 | Negative_Correlation | tofacitinib | JAK3
21844139 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
21844139 | Positive_Correlation | IL6 | SAA1
21844139 | Positive_Correlation | IL6 | SAA2
21844139 | Negative_Correlation | tofacitinib | JAK2
21844139 | Association | IgA Vasculitis | IL6
23968543 | Negative_Correlation | tofacitinib | JAK1
23968543 | Negative_Correlation | tofacitinib | JAK3
23968543 | Association | Arthritis Rheumatoid | JAK2
23968543 | Negative_Correlation | tofacitinib | STAT3
23968543 | Negative_Correlation | baricitinib | SAA2
23968543 | Negative_Correlation | baricitinib | JAK2
23968543 | Association | IgA Vasculitis | STAT3
23968543 | Negative_Correlation | tofacitinib | STAT5A
23968543 | Negative_Correlation | PF 956980 | STAT1
23968543 | Negative_Correlation | baricitinib | STAT3
23968543 | Negative_Correlation | baricitinib | STAT1
23968543 | Negative_Correlation | tofacitinib | STAT1
23968543 | Negative_Correlation | PF 956980 | STAT5A
23968543 | Negative_Correlation | PF 956980 | CCL2
23968543 | Negative_Correlation | PF 956980 | JAK3
23968543 | Negative_Correlation | tofacitinib | JAK2
23968543 | Negative_Correlation | baricitinib | JAK1
23968543 | Negative_Correlation | baricitinib | STAT5A
23968543 | Association | Arthritis Rheumatoid | JAK1
23968543 | Association | IgA Vasculitis | JAK3
23968543 | Negative_Correlation | baricitinib | SAA1
23968543 | Negative_Correlation | baricitinib | JAK3
24216307 | Association | XPO1 | CDC6
24216307 | Association | CASP3 | CDC6
24216307 | Association | Leucine | CDC6
24216307 | Association | CCNA2 | CDC6
24216307 | Association | KLK10 | CDC6
24216307 | Association | CDK2 | CDC6
24216307 | Association | Leucine | KLK10
24335104 | Association | Multiple Myeloma | NRAS
24335104 | Association | Multiple Myeloma | BRAF
24335104 | Association | Multiple Myeloma | KRAS
24335104 | Association | Bortezomib | NRAS
24335104 | Negative_Correlation | Bortezomib | Multiple Myeloma
24877754 | Positive_Correlation | IL2 | STAT5A
24877754 | Negative_Correlation | curcumol | STAT5A
24877754 | Positive_Correlation | IL2 | STAT3
24877754 | Association | Arthritis Rheumatoid | JAK3
24877754 | Association | IL2 | CD4
24877754 | Negative_Correlation | curcumol | Arthritis Rheumatoid
24877754 | Association | BCL2 | CD4
24877754 | Association | JAK3 | CD4
24877754 | Negative_Correlation | curcumol | IL2
24877754 | Negative_Correlation | curcumol | CD4
24877754 | Negative_Correlation | curcumol | JAK3
24877754 | Negative_Correlation | ZM39923 | JAK3
24877754 | Negative_Correlation | ZM39923 | STAT5A
24877754 | Negative_Correlation | curcumol | BCL2
24877754 | Association | Arthritis Rheumatoid | CD4
24877754 | Association | IL2 | JAK3
28128670 | Negative_Correlation | Alemtuzumab | Leukemia Large Granular Lymphocytic
28128670 | Negative_Correlation | Cyclophosphamide | Leukemia Large Granular Lymphocytic
28128670 | Negative_Correlation | fludarabine | purine
28128670 | Negative_Correlation | Cyclophosphamide | Leukemia Lymphoid
28128670 | Negative_Correlation | purine | Pentostatin
28128670 | Negative_Correlation | Methotrexate | Leukemia Large Granular Lymphocytic
28128670 | Association | Leukemia Large Granular Lymphocytic | JAK3
28128670 | Negative_Correlation | fludarabine | Leukemia Large Granular Lymphocytic
29038115 | Bind | IL2 | IL2RG
29038115 | Association | X-Linked Combined Immunodeficiency Diseases | IL2RG
29038115 | Association | X-Linked Combined Immunodeficiency Diseases | JAK3
29038115 | Association | Immunologic Deficiency Syndromes | IL2RG
29038115 | Bind | IL2RG | IL21
29038115 | Association | IL2RG | JAK3
29038115 | Association | Autoimmune Diseases | IL2RG
29038115 | Association | Neoplasms | IL2RG
29670170 | Association | YBX1 | C1QBP
29670170 | Association | Neoplasms | YBX1
29670170 | Association | TNPO1 | YBX1
29932316 | Negative_Correlation | tofacitinib | Arthritis Rheumatoid
29932316 | Association | Arthritis Rheumatoid | JAK3
30814284 | Association | Infections | NFKB1
30814284 | Association | Nfkb1 | Nfkbia
31774393 | Association | ProtA | His2Av
31799703 | Association | IL2RG | STAT5A
31799703 | Association | Dysgammaglobulinemia | p.R328X
31799703 | Positive_Correlation | X-Linked Combined Immunodeficiency Diseases | p.R328X
31799703 | Association | Epstein-Barr Virus Infections | p.R328X
31799703 | Association | Dysgammaglobulinemia | IL2RG
31799703 | Association | X-Linked Combined Immunodeficiency Diseases | STAT5A
31799703 | Bind | IL2RG | JAK3
31799703 | Association | X-Linked Combined Immunodeficiency Diseases | IL2RG
31799703 | Association | Epstein-Barr Virus Infections | IL2RG
32646440 | Positive_Correlation | MRTFA | STAT5B
32646440 | Positive_Correlation | FOXP3 | MRTFA
32646440 | Association | FOXP3 | STAT5B
32646440 | Association | Purpura Thrombocytopenic Idiopathic | MRTFA
32646440 | Association | Autoimmune Diseases | FOXP3
32646440 | Association | MRTFA | STAT5A
32646440 | Association | Autoimmune Diseases | CD4
32647892 | Association | Acute Coronary Syndrome | CD4
32647892 | Association | IL7 | IL7R
32647892 | Association | Inflammation | IL1B
32647892 | Association | Acute Coronary Syndrome | IL7
32647892 | Association | Inflammation | CD4
32647892 | Association | IL7 | CD4
32647892 | Negative_Correlation | tofacitinib | JAK3
32647892 | Negative_Correlation | tofacitinib | IL15
32647892 | Association | IL2RB | IL7
32647892 | Association | Inflammation | TNF
32647892 | Positive_Correlation | IFNG | IL7
32647892 | Negative_Correlation | tofacitinib | JAK1
32647892 | Positive_Correlation | IFNG | IL15
32647892 | Association | IL15 | JAK3
32647892 | Negative_Correlation | tofacitinib | IL7
32647892 | Association | Inflammation | IL6
32647892 | Association | Acute Coronary Syndrome | IL15
32647892 | Association | IL15 | CD4
33526873 | Positive_Correlation | Precursor Cell Lymphoblastic Leukemia-Lymphoma | NCAM1
33526873 | Association | GATA2 Deficiency | NOTCH1
33526873 | Association | GATA2 Deficiency | JAK3
33526873 | Association | GATA2 Deficiency | MME
33526873 | Association | GATA2 Deficiency | CD4
33526873 | Association | GATA2 Deficiency | ETV6
33526873 | Association | Leukemia Myeloid Acute | NCAM1
33584707 | Positive_Correlation | Il2 | CD8A
