34625540 | Association | Klf4 | Ipo13
20805509 | Association | Fanconi Anemia | Ipo4
20805509 | Positive_Correlation | Mitomycin | Cebpd
20805509 | Association | Cebpd | IMP4
20805509 | Negative_Correlation | Neoplasms | CEBPD
20805509 | Association | Cebpd | IPO4
20805509 | Association | Cebpd | Fancd2
20805509 | Negative_Correlation | Mitomycin | Breast Neoplasms
21840941 | Association | Pou5f1 | Kpna7
21840941 | Association | Kpna3 | Pou5f1
21840941 | Negative_Correlation | Impa2 | Pou5f1
22646292 | Association | IPO7 | PPARA
22646292 | Association | KPNA1 | PPARA
22730302 | Association | Guanosine Triphosphate | RAN
22730302 | Association | IPO5 | RRM1
22730302 | Negative_Correlation | CPEB3 | STAT5B
22730302 | Positive_Correlation | N-Methylaspartate | CPEB3
22730302 | Association | RRM1 | XPO1
22730302 | Association | CPEB3 | IPO5
22730302 | Association | CPEB3 | RRM1
22730302 | Association | CPEB3 | XPO1
24924195 | Association | Mapk1 | IPO7
24924195 | Association | Mapk1 | FGF10
25250856 | Association | Ischemia | XPO7
25250856 | Association | XPO7 | STK11
25250856 | Association | Ischemia | STK11
25782991 | Association | Msi1 | Msi2
25782991 | Association | Erh | Msi1
25782991 | Association | Msi1 | Ipo5
25855727 | Association | Protactinium | Pbrm1
25855727 | Association | PBRM1 | Ipo5
26399853 | Association | Xpo1 | Kpna2
26585299 | Association | Ipo7 | Skp2
26585299 | Association | Coro1a | Gja8
26585299 | Association | Gja8 | Mul1
26585299 | Association | Cdkn1b | Gja8
26585299 | Association | Gja8 | Skp2
30745319 | Association | Down Syndrome | DYRK1A
30745319 | Association | Down Syndrome | SH2D2A
30745319 | Association | DSCAM | IPO5
30745319 | Association | Down Syndrome | STAT3
30745319 | Association | IPO5 | DSCAML1
30745319 | Association | Down Syndrome | DSCAM
30745319 | Association | Intellectual Disability | DSCAM
30745319 | Association | Down Syndrome | USP21
31288861 | Association | IPO5 | RASAL2
31288861 | Association | Colorectal Neoplasms | RASAL2
31288861 | Association | Colorectal Neoplasms | IPO5
31325559 | Association | Cycloheximide | Melatonin
31325559 | Association | Melatonin | ST13
31325559 | Positive_Correlation | Hypoxia Brain | NEDD4
31325559 | Association | NEDD4 | NPM1
31325559 | Association | Hypoxia Brain | OTOF
31325559 | Association | Melatonin | RPL35
31325559 | Association | Hypoxia Brain | ST13
31325559 | Association | Melatonin | RPS7
31325559 | Association | Melatonin | NPM1
31325559 | Association | RPL35 | NEDD4
31325559 | Association | Melatonin | OTOF
31325559 | Negative_Correlation | Melatonin | Hypoxia Brain
31325559 | Association | NEDD4 | RPS7
31325559 | Association | Hypoxia Brain | SF3B2
31325559 | Negative_Correlation | Melatonin | NEDD4
31325559 | Association | Hypoxia Brain | MX2
31325559 | Association | Melatonin | IPO5
31325559 | Association | Hypoxia Brain | IPO5
31325559 | Association | Hypoxia Brain | MX1
31325559 | Association | Melatonin | SF3B2
31325559 | Association | Melatonin | FGFR3
31325559 | Negative_Correlation | Cycloheximide | NEDD4
31325559 | Association | Hypoxia Brain | FGFR3
31325559 | Association | Melatonin | MX2
31325559 | Association | Melatonin | MX1
31520166 | Association | PLIN2 | PRDM11
31520166 | Association | PLIN2 | MAP1LC3A
31520166 | Association | PLIN2 | ALOX15
31520166 | Association | Stomach Neoplasms | IPO7
31520166 | Association | PLIN2 | ACSL3
31520166 | Association | Stomach Neoplasms | PLIN2
31520166 | Association | Stomach Neoplasms | PRDM11
31520166 | Association | Stomach Neoplasms | ACSL3
31520166 | Association | Stomach Neoplasms | MAP1LC3A
31520166 | Association | Stomach Neoplasms | ALOX15
31520166 | Association | IPO7 | PLIN2
31520166 | Association | Obesity | PLIN2
32661323 | Association | Cisplatin | IPO4
32661323 | Positive_Correlation | Cisplatin | CEBPD
32661323 | Association | Drug-Related Side Effects and Adverse Reactions | IPO4
32661323 | Association | 2-(morpholin-4-yl)benzo(h)chromen-4-one | Uterine Cervical Neoplasms
32661323 | Association | 2-(morpholin-4-yl)benzo(h)chromen-4-one | IPO4
32661323 | Negative_Correlation | 2-(morpholin-4-yl)benzo(h)chromen-4-one | CEBPD
32661323 | Positive_Correlation | CEBPD | PRKDC
32661323 | Negative_Correlation | 2-(morpholin-4-yl)benzo(h)chromen-4-one | PRKDC
32661323 | Positive_Correlation | PRKDC | IPO4
32661323 | Negative_Correlation | Cisplatin | Uterine Cervical Neoplasms
32661323 | Association | CEBPD | IPO4
32661323 | Negative_Correlation | 2-(morpholin-4-yl)benzo(h)chromen-4-one | Cisplatin
32661323 | Association | Uterine Cervical Neoplasms | IPO4
32661323 | Positive_Correlation | Cisplatin | PRKDC
32661323 | Positive_Correlation | Cisplatin | Drug-Related Side Effects and Adverse Reactions
32661323 | Association | Uterine Cervical Neoplasms | PRKDC
32661323 | Association | Drug-Related Side Effects and Adverse Reactions | CEBPD
32661323 | Association | Uterine Cervical Neoplasms | CEBPD
33973712 | Association | DDX10 | IMP4
33973712 | Positive_Correlation | Lung Neoplasms | DDX10
33973712 | Association | Lung Neoplasms | IMP4
34536747 | Negative_Correlation | paricalcitol | Casp1
34536747 | Negative_Correlation | paricalcitol | Fas
34536747 | Association | Lupus Nephritis | Nfkb1
34536747 | Association | Nfkb1 | Ipo4
34536747 | Negative_Correlation | paricalcitol | Lupus Nephritis
34536747 | Association | Lupus Nephritis | Casp1
34536747 | Association | Nlrp3 | Vdr
34536747 | Association | Vitamin D | Casp1
34536747 | Association | Vitamin D | Nfkb1
34536747 | Association | Lupus Nephritis | Il1b
34536747 | Association | Il1b | Vdr
34536747 | Negative_Correlation | paricalcitol | Nlrp3
34536747 | Association | Vitamin D | Lupus Nephritis
34536747 | Association | Lupus Nephritis | Il18
34536747 | Negative_Correlation | paricalcitol | Il1b
34536747 | Association | Lupus Nephritis | Vdr
34536747 | Association | Lupus Nephritis | Nlrp3
34536747 | Association | Casp1 | Vdr
34536747 | Association | paricalcitol | Ipo4
34536747 | Association | Vitamin D | Nlrp3
34536747 | Association | Nfkb1 | Vdr
34536747 | Association | Il18 | Vdr
34536747 | Negative_Correlation | paricalcitol | Il18
34536747 | Negative_Correlation | paricalcitol | Nfkb1
35199158 | Positive_Correlation | Meropenem | Disulfiram
35199158 | Negative_Correlation | Disulfiram | Acinetobacter Infections
35199158 | Negative_Correlation | Disulfiram | Inosine Monophosphate
35199158 | Negative_Correlation | Meropenem | Infections
35199158 | Negative_Correlation | Meropenem | Carbapenems
35199158 | Association | N-desmethylstobadine | Infections
35199158 | Negative_Correlation | Disulfiram | Carbapenems
35199158 | Negative_Correlation | N-desmethylstobadine | Meropenem
35199158 | Negative_Correlation | Disulfiram | Infections
35199158 | Negative_Correlation | Meropenem | Acinetobacter Infections
35199158 | Negative_Correlation | N-desmethylstobadine | Disulfiram
35199158 | Association | Inosine Monophosphate | Infections
35225687 | Association | Quinolones | qnrS1
36120598 | Association | Esophageal Neoplasms | IPO5
36120598 | Association | Esophageal Neoplasms | MAPK1
36120598 | Association | Neoplasms | IPO5
36120598 | Association | IPO5 | MAPK1
37004548 | Association | Lung Injury | Ipo7
37004548 | Positive_Correlation | Ipo7 | Mapk14
37004548 | Association | Ventilator-Induced Lung Injury | Ipo7
37004548 | Association | Lung Injury | Mapk14
37004548 | Association | Inflammation | Mapk14
37004548 | Association | Pneumonia | Ipo7
37321470 | Association | Colorectal Neoplasms | PKM
37321470 | Negative_Correlation | oridonin | PKM
37321470 | Negative_Correlation | oridonin | KPNA1
37321470 | Negative_Correlation | oridonin | Colorectal Neoplasms
37321470 | Cotreatment | oridonin | fructose-1 6-diphosphate
37321470 | Negative_Correlation | oridonin | Cysteine
37321470 | Negative_Correlation | oridonin | Neoplasms
37321470 | Association | KPNA1 | PKM
37328841 | Positive_Correlation | Foxj1 | Lrrc6
37328841 | Association | Ciliopathies | Lrrc6
37432596 | Association | Inflammation | Fbxw7
37432596 | Negative_Correlation | Kpna2 | Fbxw7
37432596 | Association | Fbxw7 | Irf3
37432596 | Association | Inflammation | Rela
37432596 | Positive_Correlation | Lipopolysaccharides | Inflammation
37432596 | Association | Lipopolysaccharides | Kpna2
37432596 | Association | Atherosclerosis | Mul1
37432596 | Association | Vascular Diseases | Irf3
37432596 | Association | Atherosclerosis | Irf3
37432596 | Negative_Correlation | Rela | Fbxw7
37432596 | Association | Kpna2 | Irf3
37432596 | Association | Vascular Diseases | Rela
37432596 | Association | Vascular Diseases | Kpna2
37432596 | Association | Inflammation | Irf3
37432596 | Positive_Correlation | Atherosclerosis | Kpna2
37432596 | Association | Vascular Diseases | Fbxw7
37432596 | Association | Kpna2 | Mul1
37432596 | Association | Inflammation | Kpna2
37432596 | Association | Inflammation | KPNA2
37432596 | Association | Lipopolysaccharides | KPNA2
37432596 | Association | Kpna2 | Rela
37432596 | Association | Atherosclerosis | Fbxw7
37456838 | Association | Infertility | Kpna2
37456838 | Association | Deafness Cataract Retinitis Pigmentosa And Sperm Abnormalities | Kpna2
37466313 | Positive_Correlation | Hat1 | KPNA2
37466313 | Association | Hat1 | CGAS
37466313 | Association | STING1 | KPNA2
37466313 | Association | CGAS | STING1
37466313 | Association | Hat1 | STING1
37473892 | Association | Thyroid Neoplasms | p.V600E
37473892 | Association | Thyroid Neoplasms | Pin1
37473892 | Positive_Correlation | Vemurafenib | Mapk1
37473892 | Association | Birc3 | Mir20a
37473892 | Negative_Correlation | Vemurafenib | Thyroid Neoplasms
37473892 | Association | Akt1 | Pin1
37473892 | Negative_Correlation | Birc3 | Pin1
37473892 | Negative_Correlation | Birc3 | Erbb3
37473892 | Negative_Correlation | Vemurafenib | Birc3
37473892 | Positive_Correlation | Vemurafenib | Akt1
37473892 | Association | Erbb3 | Mapk1
37473892 | Negative_Correlation | Braf | Birc3
37473892 | Negative_Correlation | Vemurafenib | Neoplasms
37473892 | Association | Mir20a | Xpo5
37473892 | Association | Braf | Pin1
37473892 | Positive_Correlation | Birc3 | Xpo5
37473892 | Association | Thyroid Neoplasms | Braf
37473892 | Negative_Correlation | Thyroid Neoplasms | Birc3
37473892 | Negative_Correlation | Vemurafenib | Braf
37473892 | Negative_Correlation | Akt1 | Birc3
37473892 | Association | Akt1 | Erbb3
37473892 | Association | Neoplasms | Pin1
37473892 | Association | Thyroid Neoplasms | BRAF
37516020 | Association | Ventilator-Induced Lung Injury | Ipo7
37516020 | Negative_Correlation | Ventilator-Induced Lung Injury | Ocln
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Il1b
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Tnf
37516020 | Positive_Correlation | Winter Shortland Temple syndrome | Il1b
37516020 | Negative_Correlation | Winter Shortland Temple syndrome | Ipo7
37516020 | Positive_Correlation | Winter Shortland Temple syndrome | Tnf
37516020 | Negative_Correlation | Ventilator-Induced Lung Injury | Tjp1
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Il6
37516020 | Positive_Correlation | Ventilator-Induced Lung Injury | Cldn2
37516020 | Positive_Correlation | Winter Shortland Temple syndrome | Il6
37541772 | Association | Carcinoma Pancreatic Ductal | Cxcl1
37541772 | Association | Carcinoma Pancreatic Ductal | Nfkb1
37541772 | Positive_Correlation | Leukemia Myeloid | CRIP1
37541772 | Association | Neoplasms | Rela
37541772 | Association | Carcinoma Pancreatic Ductal | Cxcl5
37541772 | Negative_Correlation | INCB057643 | Cxcr1
37541772 | Association | Carcinoma Pancreatic Ductal | Crip1
37541772 | Association | Carcinoma Pancreatic Ductal | Cxcl15
37541772 | Positive_Correlation | Crip1 | Rela
37541772 | Association | CRIP1 | RELA
37541772 | Association | Neoplasms | CRIP1
37541772 | Positive_Correlation | Crip1 | Cd274
37541772 | Positive_Correlation | CRIP1 | CXCL5
37541772 | Association | Neoplasms | Cd274
37541772 | Association | CRIP1 | Nfkb1
37541772 | Association | Neoplasms | Crip1
37541772 | Association | Carcinoma Pancreatic Ductal | CRIP1
37541772 | Association | INCB057643 | Crip1
37541772 | Association | Crip1 | Nfkb1
37541772 | Negative_Correlation | INCB057643 | Neoplasms
37541772 | Association | Carcinoma Pancreatic Ductal | Rela
37541772 | Negative_Correlation | INCB057643 | Cxcr2
37541772 | Positive_Correlation | CRIP1 | CXCL1
37541772 | Negative_Correlation | INCB057643 | Cd274
37733267 | Association | Hif1a | LDHA
37733267 | Association | Liver Cirrhosis | CTNNB1
37733267 | Association | CTNNB1 | TNPO1
37733267 | Association | TNPO1 | LDHA
37733267 | Association | Liver Cirrhosis | LDHA
37733267 | Negative_Correlation | XAV939 | Ctnnb1
37733267 | Association | Ldha | WNT3A
37733267 | Positive_Correlation | CTNNB1 | LDHA
37733267 | Positive_Correlation | LDHA | WNT3A
37733267 | Association | TCF4 | WNT3A
37733267 | Association | Liver Cirrhosis | Ldha
37733267 | Association | HIF1A | LDHA
37733267 | Association | Liver Cirrhosis | Hif1a
37733267 | Association | Liver Cirrhosis | Ctnnb1
37733267 | Association | LDHA | TCF4
37733267 | Negative_Correlation | XAV939 | Liver Cirrhosis
37984724 | Association | Multiple Myeloma | NMD3
37984724 | Association | HNRNPU | MDM2
37984724 | Association | 601308 | RAN
37984724 | Association | HNRNPU | NMD3
37984724 | Association | selinexor | MDM2
37984724 | Association | HNRNPU | RAN
37984724 | Association | 601308 | HNRNPU
37984724 | Bind | RBMS3 | HNRNPU
37984724 | Association | selinexor | NMD3
37984724 | Association | Multiple Myeloma | HNRNPU
37984724 | Association | HNRNPU | XPO1
37984724 | Association | Multiple Myeloma | LTV1
37984724 | Association | selinexor | 601308
37984724 | Negative_Correlation | selinexor | Multiple Myeloma
37984724 | Association | selinexor | LTV1
37984724 | Association | selinexor | RAN
37984724 | Negative_Correlation | selinexor | HNRNPU
37984724 | Association | Multiple Myeloma | RBMS3
37984724 | Association | Multiple Myeloma | MDM2
37984724 | Association | RAN | XPO1
37984724 | Association | HNRNPU | LTV1
37984724 | Association | selinexor | RBMS3
37984724 | Association | 601308 | XPO1
37986737 | Association | Ipo5 | Fbxo24
37986737 | Association | Infertility Male | Fbxo24
37986737 | Association | Kpnb1 | Fbxo24
38065227 | Association | IMPA1 | NEIL3
38065227 | Bind | IMPA1 | NEIL1
38131168 | Negative_Correlation | selinexor | Pancreatic Neoplasms
38131168 | Association | Gemcitabine | Xpo1
38131168 | Association | Carcinoma Pancreatic Ductal | XPO1
38131168 | Negative_Correlation | Neoplasms | Foxo3
38131168 | Negative_Correlation | Gemcitabine | Carcinoma Pancreatic Ductal
38131168 | Association | Neoplasms | Akt1
38131168 | Association | Neoplasms | Chil3
38131168 | Negative_Correlation | selinexor | Neoplasms
38158756 | Association | UL44 | IMPA1
38158756 | Association | UL44 | CDK1
38158756 | Association | Impa2 | UL44
38336912 | Association | Schizophrenia | Kpna1
38336912 | Positive_Correlation | Phencyclidine | Schizophrenia
38336912 | Association | Mental Disorders | Kpna1
38336912 | Positive_Correlation | Phencyclidine | Mental Disorders
38336912 | Association | Schizophrenia | KPNA1
38369216 | Negative_Correlation | Periodic fever familial autosomal dominant | Dnase1
38369216 | Association | Periodic fever familial autosomal dominant | Traf6
38369216 | Association | Periodic fever familial autosomal dominant | Tlr4
38369216 | Association | Periodic fever familial autosomal dominant | Pad4
38369216 | Association | Periodic fever familial autosomal dominant | Myd88
38369216 | Association | Liver Failure | Ipo7
38369216 | Association | Ventilator-Induced Lung Injury | Hmgb1
38369216 | Negative_Correlation | Periodic fever familial autosomal dominant | Ipo7
38570500 | Association | FOXO1 | XPO1
38570500 | Negative_Correlation | selinexor | Obesity
38570500 | Negative_Correlation | selinexor | XPO1
38570500 | Association | IPO7 | FOXO1
38570500 | Association | FOXO1 | RANBP2
38570500 | Positive_Correlation | selinexor | FOXO1
11046145 | Negative_Correlation | trichostatin A | CIITA
11046145 | Association | CREBBP | CIITA
11046145 | Association | IFNG | CIITA
11046145 | Positive_Correlation | CIITA | KAT2B
12517958 | Association | CIITA | XPO1
12517958 | Association | CIITA | MTG1
12799413 | Association | Kpna1 | IFNGR1
12799413 | Association | Kpna1 | IFNG
15128813 | Association | HIV Infections | CXCR4
15128813 | Negative_Correlation | Tuberculosis | CCR5
15128813 | Positive_Correlation | Tuberculosis | CCL5
15128813 | Association | CCR5 | ITIH4
15128813 | Positive_Correlation | Infections | CXCR4
15128813 | Positive_Correlation | Tuberculosis | CX3CL1
15128813 | Positive_Correlation | Tuberculosis | CCL4
15128813 | Association | Acquired Immunodeficiency Syndrome | ITIH4
15128813 | Positive_Correlation | Tuberculosis | CXCR4
17143267 | Bind | DPPA3 | IPO5
18245089 | Association | CIITA | XPO1
18245089 | Negative_Correlation | CIITA | MAPK1
18245089 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | CIITA
18245089 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | MAPK1
18245089 | Association | CIITA | MAPK3
18245089 | Association | Guanosine Triphosphate | CIITA
18245089 | Association | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | XPO1
19545931 | Negative_Correlation | leptomycin B | CD80
19545931 | Negative_Correlation | leptomycin B | CD86
19545931 | Association | XPO1 | CD83
19545931 | Negative_Correlation | leptomycin B | CD83
19545931 | Negative_Correlation | leptomycin B | XPO1
20191895 | Association | Leukemia Myeloid Acute | IL7R
20191895 | Association | Leukemia Myeloid Acute | IL3RA
20191895 | Association | Leukemia | IL7R
20191895 | Association | Neoplasm Residual | IL3RA
20191895 | Association | Leukemia | CXCR4
20191895 | Association | Acute erythroleukemia | IL3RA
20191895 | Association | Leukemia Myeloid Acute | CXCR4
25948812 | Association | IFNG | CIITA
25948812 | Association | CIITA | XPO1
25948812 | Association | leptomycin B | CIITA
27780205 | Association | IL27 | STAT1
27780205 | Negative_Correlation | STAT1 | STAT2
27780205 | Association | IL6 | STAT1
27780205 | Positive_Correlation | HLA-C | IFNG
31557508 | Bind | Ccl4 | Ccr5
31557508 | Bind | Ccr5 | Ccl3
31557508 | Negative_Correlation | Maraviroc | Cocaine
31557508 | Association | Cocaine | Cxcr4
31557508 | Positive_Correlation | Cocaine | Ccr5
31557508 | Association | Cocaine | Ccr2
31557508 | Negative_Correlation | Maraviroc | Ccr5
31557508 | Association | Dopamine | Ccr5
31557508 | Bind | Ccr5 | Ccl5
31557508 | Association | Cocaine-Related Disorders | Ccr5
31698677 | Positive_Correlation | IGHE | CXCR4
31698677 | Association | Mastocytosis | CD34
31698677 | Positive_Correlation | CCR5 | IGHE
33575887 | Positive_Correlation | COVID-19 | CXCL9
33575887 | Association | COVID-19 | MZB1
33575887 | Association | Histiocytosis | ITGAX
33575887 | Positive_Correlation | COVID-19 | STAT1
33575887 | Association | Histiocytosis | CD68
33575887 | Association | COVID-19 | CD8A
33575887 | Association | COVID-19 | CD163
33575887 | Positive_Correlation | COVID-19 | GZMB
33575887 | Positive_Correlation | COVID-19 | PAK1
33950285 | Positive_Correlation | COVID-19 | PAK1
33950285 | Positive_Correlation | COVID-19 | GZMB
33950285 | Association | COVID-19 | CD8A
33950285 | Positive_Correlation | COVID-19 | CXCL9
33950285 | Association | COVID-19 | MZB1
33950285 | Association | Histiocytosis | ITGAX
33950285 | Positive_Correlation | COVID-19 | STAT1
33950285 | Association | COVID-19 | CD163
33950285 | Association | Histiocytosis | CD68
35893012 | Association | COVID-19 | N
35893012 | Association | 6-methyladenine | COVID-19
35893012 | Association | Adenosine | COVID-19
36189286 | Association | Fatigue Syndrome Chronic | CXCL8
36189286 | Association | Fatigue Syndrome Chronic | CD8A
36189286 | Association | Post-Acute COVID-19 Syndrome | IL1B
36189286 | Association | Post-Acute COVID-19 Syndrome | CXCL8
36189286 | Association | Post-Acute COVID-19 Syndrome | TP53
36189286 | Association | Fatigue Syndrome Chronic | IL1B
36189286 | Association | Fatigue Syndrome Chronic | TP53
36189286 | Association | Post-Acute COVID-19 Syndrome | CD8A
36228659 | Association | COVID-19 | HLA-A
36228659 | Association | Infections | HLA-A
37221323 | Association | Pulmonary Disease Chronic Obstructive | TNFRSF17
37533854 | Association | Multiple Organ Failure | TCN1
37533854 | Association | Multiple Organ Failure | GUSB
37533854 | Association | Multiple Organ Failure | RPL3
37533854 | Association | Multiple Organ Failure | CD8A
37533854 | Association | Multiple Organ Failure | BPI
37533854 | Positive_Correlation | Multiple Organ Failure | MMP8
37533854 | Association | Multiple Organ Failure | LTF
37533854 | Association | Multiple Organ Failure | HLA-DMB
37533854 | Association | Multiple Organ Failure | LCN2
37533854 | Positive_Correlation | Multiple Organ Failure | OLFM4
37533854 | Positive_Correlation | Multiple Organ Failure | S100A12
37533854 | Association | Multiple Organ Failure | EEF1G
37533854 | Association | Multiple Organ Failure | MRPL3
37533854 | Association | Multiple Organ Failure | RETN
37690681 | Association | Inflammation | CXCR4
37690681 | Association | Inflammation | CCR5
37690681 | Association | Calcium | CXCR4
37690681 | Association | CXCL12 | CXCR4
37690681 | Association | HIV Infections | CCR5
37690681 | Association | HIV Infections | CXCR4
37718001 | Negative_Correlation | Maraviroc | CCR5
37718001 | Negative_Correlation | vicriviroc | CCR5
37833254 | Association | Neoplasms | CCR5
37833254 | Association | Immune System Diseases | CXCR4
37833254 | Association | Neoplasms | CXCR4
37833254 | Association | Immune System Diseases | CCR5
37997026 | Association | CCR5 | CXCL12
37997026 | Association | CCR5 | env
37997026 | Positive_Correlation | CXCL12 | CXCR4
37997026 | Association | CCR5 | ITIH4
37997026 | Positive_Correlation | CCR5 | CCL5
37997026 | Association | Tyrosine | CCR5
37997026 | Association | Tyrosine | CCL5
37997026 | Association | Tyrosine | CXCR4
37997026 | Positive_Correlation | CCL5 | CXCR4
37997026 | Association | Tyrosine | CXCL12
38001943 | Association | APP | PRNP
38001943 | Association | Alzheimer Disease | KNTC1
38001943 | Positive_Correlation | CCR5 | KNTC1
38001943 | Positive_Correlation | APP | KNTC1
38001943 | Association | DLG4 | SLC17A7
38001943 | Association | CFL1 | KNTC1
38001943 | Association | PRNP | KNTC1
38001943 | Association | APP | CXCR4
38001943 | Positive_Correlation | CXCR4 | KNTC1
38001943 | Association | Alzheimer Disease | CCR5
38001943 | Positive_Correlation | Tooth Loss | KNTC1
38001943 | Association | Alzheimer Disease | APP
38001943 | Association | Alzheimer Disease | CXCR4
38255199 | Negative_Correlation | RAP-103 | APP
38255199 | Association | CFL1 | CXCR4
38255199 | Association | Retrograde Degeneration | CFL1
38255199 | Association | IL6 | PRNP
38255199 | Association | ITIH4 | PRNP
38255199 | Negative_Correlation | CCR5 | APP
38256260 | Association | ITIH4 | CXCR4
38311121 | Negative_Correlation | Acriflavine | HIF1A
38311121 | Positive_Correlation | Tgfb1 | HIF1A
38311121 | Negative_Correlation | Acriflavine | Tgfb1
38311121 | Association | Liver Failure | Tgfb1
38311121 | Association | Hif1a | Tgfb1
38311121 | Bind | Cxcr4 | ITIH4
38311121 | Positive_Correlation | Mapk1 | ITIH4
38311121 | Positive_Correlation | Akt1 | ITIH4
38311121 | Positive_Correlation | Liver Failure | ITIH4
38311121 | Association | Ccr5 | ITIH4
38311121 | Association | Liver Failure | Hif1a
38311121 | Positive_Correlation | Tgfb1 | ITIH4
38311121 | Positive_Correlation | Hif1a | ITIH4
38321132 | Association | Rosacea | IL1B
38321132 | Association | Rosacea | CXCL10
38321132 | Association | Rosacea | TLR8
38321132 | Association | Acne Vulgaris | CXCL10
38321132 | Association | Acne Vulgaris | CCL4
38321132 | Association | Acne Vulgaris | MMP9
38321132 | Association | Rosacea | MMP9
38321132 | Association | Acne Vulgaris | CXCR4
38321132 | Association | Rosacea | CXCR4
38321132 | Association | Rosacea | CCR5
38321132 | Association | Acne Vulgaris | CCR5
38321132 | Association | Acne Vulgaris | IL1B
38579682 | Association | HIV Infections | CXCR4
38579682 | Association | HIV Infections | CCR5
38642547 | Positive_Correlation | Obesity | CD8A
38642547 | Positive_Correlation | Obesity | IFNG
38642547 | Positive_Correlation | Obesity | IL2
11570581 | Association | Glioma | Cd8b
