28559015 | @DISEASE_Squamous_Cell_Carcinoma_of_Head_and_Neck | Squamous Cell Carcinoma of Head and Neck | 36 | 37 | Disease | disease | head and neck squamous cell carcinoma
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 1177 | 3 | Gene | gene | KIR
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1311 | 2 | Disease | disease | PC
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 1400 | 3 | Gene | gene | KIR
36599262 | @GENE_KIR3DS1 | KIR3DS1 | 1468 | 7 | Gene | gene | KIR3DS1
36599262 | @GENE_KIR3DL1 | KIR3DL1 | 1540 | 7 | Gene | gene | KIR3DL1
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1639 | 15 | Disease | disease | prostate cancer
36599262 | @GENE_KIR3DL1 | KIR3DL1 | 1685 | 7 | Gene | gene | KIR3DL1
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1906 | 15 | Disease | disease | prostate cancer
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 1953 | 2 | Disease | disease | PC
36599262 | @DISEASE_Neoplasms | Neoplasms | 2002 | 5 | Disease | disease | tumor
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 2221 | 3 | Gene | gene | KIR
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 2245 | 15 | Disease | disease | prostate cancer
36599262 | @DISEASE_Prostatic_Neoplasms | Prostatic Neoplasms | 2349 | 15 | Disease | disease | prostate cancer
36599262 | @GENE_KIR3DL2 | KIR3DL2 | 2430 | 3 | Gene | gene | KIR
36969239 | @GENE_NUSAP1 | Nusap1 | 19 | 3 | Gene | gene | LNP
36969239 | @DISEASE_Death | Death | 72 | 9 | Disease | disease | mortality
36969239 | @DISEASE_Infections | Infections | 88 | 9 | Disease | disease | infection
36969239 | @DISEASE_COVID_19 | COVID-19 | 129 | 8 | Disease | disease | COVID-19
36969239 | @DISEASE_Virus_Diseases | Virus Diseases | 158 | 15 | Disease | disease | viral infection
36969239 | @GENE_S | S | 249 | 5 | Gene | gene | Spike
36969239 | @DISEASE_COVID_19 | COVID-19 | 484 | 20 | Disease | disease | SARS-CoV-2 infection
36969239 | @GENE_NUSAP1 | Nusap1 | 620 | 3 | Gene | gene | LNP
36969239 | @DISEASE_COVID_19 | COVID-19 | 684 | 10 | Disease | disease | SARS-CoV-2
36969239 | @GENE_NUSAP1 | Nusap1 | 728 | 3 | Gene | gene | LNP
36969239 | @DISEASE_COVID_19 | COVID-19 | 741 | 11 | Disease | disease | MIT-T-COVID
36969239 | @GENE_CD4 | Cd4 | 822 | 3 | Gene | gene | CD4
36969239 | @DISEASE_Death | Death | 881 | 9 | Disease | disease | mortality
36969239 | @DISEASE_Infections | Infections | 922 | 8 | Disease | disease | infected
36969239 | @DISEASE_COVID_19 | COVID-19 | 1008 | 11 | Disease | disease | MIT-T-COVID
36969239 | @DISEASE_Infections | Infections | 1134 | 9 | Disease | disease | infection
36969239 | @DISEASE_Infections | Infections | 1237 | 8 | Disease | disease | infected
36969239 | @DISEASE_COVID_19 | COVID-19 | 1273 | 11 | Disease | disease | MIT-T-COVID
36969239 | @DISEASE_COVID_19 | COVID-19 | 1402 | 11 | Disease | disease | MIT-T-COVID
36969239 | @GENE_CD4 | Cd4 | 1452 | 3 | Gene | gene | CD4
36969239 | @DISEASE_COVID_19 | COVID-19 | 1543 | 11 | Disease | disease | MIT-T-COVID
36969239 | @DISEASE_COVID_19 | COVID-19 | 1661 | 20 | Disease | disease | SARS-CoV-2 infection
36969239 | @DISEASE_Post_Acute_COVID_19_Syndrome | Post-Acute COVID-19 Syndrome | 1851 | 10 | Disease | disease | Long COVID
36996809 | @GENE_CD8A | CD8A | 99 | 3 | Gene | gene | CD8
36996809 | @DISEASE_COVID_19 | COVID-19 | 126 | 20 | Disease | disease | SARS-CoV-2 infection
36996809 | @DISEASE_Infections | Infections | 237 | 9 | Disease | disease | infection
36996809 | @GENE_HLA_C | HLA-C | 320 | 3 | Gene | gene | MHC
36996809 | @GENE_CD4 | CD4 | 513 | 3 | Gene | gene | CD4
36996809 | @GENE_CD8A | CD8A | 544 | 3 | Gene | gene | CD8
36996809 | @GENE_CD4 | CD4 | 599 | 3 | Gene | gene | CD4
36996809 | @GENE_CD8A | CD8A | 608 | 3 | Gene | gene | CD8
36996809 | @GENE_CD4 | CD4 | 663 | 3 | Gene | gene | CD4
36996809 | @GENE_CD8A | CD8A | 747 | 3 | Gene | gene | CD8
36996809 | @DISEASE_COVID_19 | COVID-19 | 844 | 8 | Disease | disease | COVID-19
36996809 | @DISEASE_COVID_19 | COVID-19 | 891 | 20 | Disease | disease | SARS-CoV-2 infection
36996809 | @GENE_CD8A | CD8A | 934 | 3 | Gene | gene | CD8
36996809 | @DISEASE_Infections | Infections | 997 | 9 | Disease | disease | infection
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 29 | 23 | Disease | disease | Axial Spondyloarthritis
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 54 | 23 | Disease | disease | Axial spondyloarthritis
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 79 | 9 | Disease | disease | axial-SpA
37047435 | @DISEASE_Inflammation | Inflammation | 135 | 12 | Disease | disease | inflammation
37047435 | @DISEASE_Joint_Diseases | Joint Diseases | 162 | 6 | Disease | disease | joints
37047435 | @DISEASE_Ankylosis | Ankylosis | 247 | 9 | Disease | disease | ankylosis
37047435 | @GENE_HLA_B | HLA-B | 356 | 7 | Gene | gene | HLA-B27
37047435 | @GENE_HLA_B | HLA-B | 638 | 7 | Gene | gene | HLA-B27
37047435 | @DISEASE_Autoimmune_Diseases_of_the_Nervous_System | Autoimmune Diseases of the Nervous System | 854 | 28 | Disease | disease | systemic autoimmune diseases
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 912 | 9 | Disease | disease | axial-SpA
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 1224 | 9 | Disease | disease | axial-SpA
37047435 | @GENE_TRBV20OR9_2 | TRBV20OR9-2 | 1292 | 3 | Gene | gene | TCR
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 1587 | 10 | Disease | disease | axial-SpA.
37047435 | @DISEASE_Axial_Spondyloarthritis | Axial Spondyloarthritis | 1654 | 9 | Disease | disease | axial-SpA
37074725 | @GENE_CD4 | CD4 | 34 | 3 | Gene | gene | CD4
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 109 | 13 | Chemical | chemical | Carbamazepine
37074725 | @DISEASE_Hypersensitivity | Hypersensitivity | 123 | 26 | Disease | disease | Hypersensitivity Reactions
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 151 | 13 | Chemical | chemical | Carbamazepine
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 166 | 3 | Chemical | chemical | CBZ
37074725 | @DISEASE_Hypersensitivity | Hypersensitivity | 221 | 26 | Disease | disease | hypersensitivity reactions
37074725 | @DISEASE_Exanthema | Exanthema | 294 | 23 | Disease | disease | maculopapular exanthema
37074725 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 339 | 24 | Disease | disease | Stevens-Johnson syndrome
37074725 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 368 | 26 | Disease | disease | toxic epidermal necrolysis
37074725 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 396 | 7 | Disease | disease | SJS-TEN
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 505 | 3 | Chemical | chemical | CBZ
37074725 | @GENE_CD8A | CD8A | 576 | 3 | Gene | gene | CD8
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 706 | 3 | Chemical | chemical | CBZ
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 929 | 3 | Chemical | chemical | CBZ
37074725 | @GENE_CD4 | CD4 | 1236 | 3 | Gene | gene | CD4
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 1241 | 3 | Chemical | chemical | CBZ
37074725 | @GENE_CD4 | CD4 | 1355 | 3 | Gene | gene | CD4
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 1441 | 3 | Chemical | chemical | CBZ
37074725 | @GENE_CD8A | CD8A | 1482 | 3 | Gene | gene | CD8
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 1497 | 3 | Chemical | chemical | CBZ
37074725 | @GENE_CD4 | CD4 | 1512 | 3 | Gene | gene | CD4
37074725 | @GENE_GNLY | GNLY | 1533 | 10 | Gene | gene | granulysin
37074725 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 1563 | 7 | Disease | disease | SJS-TEN
37074725 | @CHEMICAL_Carbamazepine | Carbamazepine | 1643 | 3 | Chemical | chemical | CBZ
37074725 | @DISEASE_Stevens_Johnson_Syndrome | Stevens-Johnson Syndrome | 1655 | 7 | Disease | disease | SJS-TEN
37074725 | @DISEASE_Hypersensitivity | Hypersensitivity | 1766 | 26 | Disease | disease | hypersensitivity reactions
37074725 | @GENE_CD4 | CD4 | 1842 | 3 | Gene | gene | CD4
37074725 | @DISEASE_Hypersensitivity | Hypersensitivity | 1937 | 26 | Disease | disease | hypersensitivity reactions
37168557 | @GENE_HLA_DPB1 | HLA-DPB1 | 0 | 6 | Gene | gene | HLA-DP
37168557 | @GENE_HLA_A | HLA-A | 276 | 3 | Gene | gene | HLA
37168557 | @GENE_HLA_A | HLA-A | 307 | 3 | Gene | gene | HLA
37168557 | @DISEASE_Neoplasms | Neoplasms | 465 | 6 | Disease | disease | cancer
37168557 | @GENE_HLA_A | HLA-A | 678 | 13 | Gene | gene | HLA-A, -B, -C
37168557 | @GENE_HLA_DRB1 | HLA-DRB1 | 693 | 5 | Gene | gene | -DRB1
37168557 | @GENE_HLA_DQB1 | HLA-DQB1 | 701 | 4 | Gene | gene | DQB1
37168557 | @GENE_HLA_DPB1 | HLA-DPB1 | 712 | 4 | Gene | gene | DPB1
37168557 | @GENE_HLA_DPB1 | HLA-DPB1 | 853 | 4 | Gene | gene | DPB1
37168557 | @GENE_HLA_DPB1 | HLA-DPB1 | 887 | 4 | Gene | gene | DPB1
37168557 | @GENE_HLA_DPB1 | HLA-DPB1 | 929 | 6 | Gene | gene | HLA-DP
37168557 | @GENE_CD4 | CD4 | 1044 | 3 | Gene | gene | CD4
37177979 | @DISEASE_Anus_Neoplasms | Anus Neoplasms | 68 | 11 | Disease | disease | anal cancer
37177979 | @DISEASE_HIV_Infections | HIV Infections | 116 | 3 | Disease | disease | HIV
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 190 | 35 | Disease | disease | squamous cell carcinoma of the anus
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 227 | 4 | Disease | disease | SCCA
37177979 | @DISEASE_Anus_Neoplasms | Anus Neoplasms | 258 | 11 | Disease | disease | anal cancer
37177979 | @DISEASE_Neoplasms | Neoplasms | 438 | 5 | Disease | disease | tumor
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 469 | 4 | Disease | disease | SCCA
37177979 | @GENE_IL4 | IL4 | 1085 | 3 | Gene | gene | IL4
37177979 | @GENE_CD40LG | CD40LG | 1090 | 6 | Gene | gene | CD40LG
37177979 | @GENE_ICAM2 | ICAM2 | 1098 | 5 | Gene | gene | ICAM2
37177979 | @GENE_HLA_A | HLA-A | 1112 | 5 | Gene | gene | HLA-A
37177979 | @GENE_HLA_C | HLA-C | 1119 | 5 | Gene | gene | HLA-C
37177979 | @GENE_HLA_DQA1 | HLA-DQA1 | 1138 | 8 | Gene | gene | HLA-DQA1
37177979 | @GENE_HLA_DRB5 | HLA-DRB5 | 1148 | 8 | Gene | gene | HLA-DRB5
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 1179 | 4 | Disease | disease | SCCA
37177979 | @GENE_CD4 | CD4 | 1267 | 3 | Gene | gene | CD4
37177979 | @GENE_KRT1 | KRT1 | 1350 | 16 | Gene | gene | KRT1, 10, 12, 20
37177979 | @GENE_PTCH2 | PTCH2 | 1400 | 5 | Gene | gene | PTCH2
37177979 | @GENE_MIR4316 | MIR4316 | 1497 | 8 | Gene | gene | miR-4316
37177979 | @DISEASE_Neoplasms | Neoplasms | 1520 | 5 | Disease | disease | tumor
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 1643 | 4 | Disease | disease | SCCA
37177979 | @GENE_SOX21 | SOX21 | 1673 | 5 | Gene | gene | SOX21
37177979 | @DISEASE_Neoplasms | Neoplasms | 1728 | 7 | Disease | disease | cancers
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 1813 | 4 | Disease | disease | SCCA
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 1891 | 4 | Disease | disease | SCCA
37177979 | @DISEASE_Anus_Neoplasms | Anus Neoplasms | 2187 | 11 | Disease | disease | anal cancer
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 2348 | 31 | Disease | disease | squamous cell carcinoma of anus
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 2381 | 4 | Disease | disease | SCCA
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 2485 | 4 | Disease | disease | SCCA
37177979 | @DISEASE_Carcinoma_Squamous_Cell | Carcinoma Squamous Cell | 2599 | 4 | Disease | disease | SCCA
37179751 | @GENE_LMP2A | LMP2A | 45 | 5 | Gene | gene | LMP2A
37179751 | @GENE_CD8A | CD8A | 60 | 3 | Gene | gene | CD8
37179751 | @GENE_CD4 | CD4 | 69 | 3 | Gene | gene | CD4
37179751 | @GENE_LMP2A | LMP2A | 188 | 5 | Gene | gene | LMP2A
37179751 | @DISEASE_Epstein_Barr_Virus_Infections | Epstein-Barr Virus Infections | 319 | 27 | Disease | disease | EBV-associated malignancies
37179751 | @GENE_LMP2A | LMP2A | 481 | 5 | Gene | gene | LMP2A
37179751 | @GENE_CD8A | CD8A | 496 | 3 | Gene | gene | CD8
37179751 | @GENE_CD4 | CD4 | 505 | 3 | Gene | gene | CD4
37179751 | @GENE_CD8A | CD8A | 646 | 3 | Gene | gene | CD8
37179751 | @GENE_CD4 | CD4 | 699 | 3 | Gene | gene | CD4
37179751 | @GENE_CD8A | CD8A | 722 | 3 | Gene | gene | CD8
37179751 | @GENE_HLA_A | HLA-A | 792 | 5 | Gene | gene | HLA-A
37179751 | @GENE_HLA_B | HLA-B | 799 | 5 | Gene | gene | HLA-B
37179751 | @GENE_HLA_C | HLA-C | 810 | 5 | Gene | gene | HLA-C
37179751 | @GENE_CD4 | CD4 | 826 | 3 | Gene | gene | CD4
37179751 | @GENE_HLA_DPB1 | HLA-DPB1 | 881 | 6 | Gene | gene | HLA-DP
37179751 | @GENE_HLA_A | HLA-A | 964 | 5 | Gene | gene | HLA-A
37179751 | @GENE_HLA_B | HLA-B | 973 | 5 | Gene | gene | HLA-B
37179751 | @GENE_HLA_C | HLA-C | 982 | 5 | Gene | gene | HLA-C
37179751 | @GENE_HLA_DPB1 | HLA-DPB1 | 1016 | 6 | Gene | gene | HLA-DP
37179751 | @GENE_CD8A | CD8A | 1104 | 3 | Gene | gene | CD8
37179751 | @GENE_CD4 | CD4 | 1112 | 3 | Gene | gene | CD4
37179751 | @GENE_LMP2A | LMP2A | 1392 | 5 | Gene | gene | LMP2A
37179751 | @GENE_LMP2A | LMP2A | 1522 | 5 | Gene | gene | LMP2A
37179751 | @DISEASE_Epstein_Barr_Virus_Infections | Epstein-Barr Virus Infections | 1763 | 23 | Disease | disease | EBV-associated diseases
37333490 | @GENE_KDR | Kdr | 14 | 7 | Gene | gene | VEGF-R2
37333490 | @DISEASE_Melanoma | Melanoma | 107 | 8 | Disease | disease | melanoma
37333490 | @GENE_KDR | Kdr | 133 | 45 | Gene | gene | vascular endothelial growth factor receptor-2
37333490 | @GENE_KDR | Kdr | 180 | 7 | Gene | gene | VEGFR-2
37333490 | @DISEASE_Melanoma | Melanoma | 216 | 8 | Disease | disease | melanoma
37333490 | @DISEASE_Neoplasms | Neoplasms | 301 | 6 | Disease | disease | cancer
37333490 | @GENE_KDR | Kdr | 335 | 7 | Gene | gene | VEGFR-2
37333490 | @DISEASE_Neoplasms | Neoplasms | 348 | 5 | Disease | disease | tumor
37333490 | @DISEASE_Neoplasms | Neoplasms | 419 | 5 | Disease | disease | tumor
37333490 | @DISEASE_Neoplasms | Neoplasms | 435 | 5 | Disease | disease | tumor
37333490 | @GENE_KDR | Kdr | 750 | 7 | Gene | gene | VEGFR-2
37333490 | @DISEASE_Melanoma | Melanoma | 1333 | 15 | Disease | disease | melanoma tumors
37333490 | @DISEASE_Neoplasms | Neoplasms | 1408 | 5 | Disease | disease | tumor
37333490 | @GENE_KDR | Kdr | 1488 | 7 | Gene | gene | VEGFR-2
37333490 | @GENE_CD4 | Cd4 | 1564 | 3 | Gene | gene | CD4
37333490 | @GENE_IFNG | Ifng | 1664 | 9 | Gene | gene | IFN-gamma
37333490 | @GENE_IL4 | Il4 | 1691 | 4 | Gene | gene | IL-4
37333490 | @DISEASE_Neoplasms | Neoplasms | 1773 | 5 | Disease | disease | tumor
37333490 | @GENE_KDR | Kdr | 1920 | 7 | Gene | gene | VEGFR-2
37333490 | @DISEASE_Neoplasms | Neoplasms | 2057 | 5 | Disease | disease | tumor
37380166 | @DISEASE_HIV_Infections | HIV Infections | 192 | 3 | Disease | disease | HIV
37380166 | @GENE_CD4 | CD4 | 413 | 3 | Gene | gene | CD4
37454198 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 118 | 22 | Disease | disease | acute myeloid leukemia
37454198 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 162 | 22 | Disease | disease | Acute myeloid leukemia
37454198 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 186 | 3 | Disease | disease | AML
37454198 | @DISEASE_Leukemia | Leukemia | 220 | 8 | Disease | disease | leukemia
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 481 | 3 | Gene | gene | KIR
37454198 | @GENE_HLA_A | HLA-A | 489 | 3 | Gene | gene | HLA
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 499 | 3 | Gene | gene | KIR
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 635 | 3 | Gene | gene | KIR
37454198 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 681 | 3 | Disease | disease | AML
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 725 | 3 | Gene | gene | KIR
37454198 | @GENE_HLA_A | HLA-A | 733 | 3 | Gene | gene | HLA
37454198 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 819 | 3 | Disease | disease | AML
37454198 | @GENE_KIR3DS1 | KIR3DS1 | 894 | 7 | Gene | gene | KIR3DS1
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 1399 | 3 | Gene | gene | KIR
37454198 | @GENE_KIR2DL1 | KIR2DL1 | 1462 | 7 | Gene | gene | KIR2DL1
37454198 | @GENE_KIR2DL2 | KIR2DL2 | 1486 | 9 | Gene | gene | KIR2DL2/3
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 1512 | 7 | Gene | gene | KIR3DL1
37454198 | @GENE_KIR3DL2 | KIR3DL2 | 1543 | 7 | Gene | gene | KIR3DL2
37454198 | @GENE_KIR3DS1 | KIR3DS1 | 1854 | 7 | Gene | gene | KIR3DS1
37454198 | @GENE_HLA_B | HLA-B | 1866 | 5 | Gene | gene | HLA-B
37454198 | @GENE_HLA_B | HLA-B | 1900 | 5 | Gene | gene | HLA-B
37454198 | @GENE_KIR3DS1 | KIR3DS1 | 1930 | 7 | Gene | gene | KIR3DS1
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 1952 | 3 | Gene | gene | KIR
37454198 | @DISEASE_Leukemia_Myeloid_Acute | Leukemia Myeloid Acute | 2218 | 3 | Disease | disease | AML
37454198 | @GENE_KIR3DL1 | KIR3DL1 | 2292 | 3 | Gene | gene | KIR
37454198 | @DISEASE_Hematologic_Neoplasms | Hematologic Neoplasms | 2393 | 26 | Disease | disease | hematological malignancies
37528526 | @GENE_CXADRP1 | CXADRP1 | 9 | 3 | Gene | gene | CAR
37528526 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 89 | 25 | Disease | disease | Graft-Versus-Host Disease
37528526 | @DISEASE_Diabetes_Mellitus_Type_1 | Diabetes Mellitus Type 1 | 128 | 15 | Disease | disease | Type 1 diabetes
37528526 | @DISEASE_Autoimmune_Diseases | Autoimmune Diseases | 150 | 18 | Disease | disease | autoimmune disease
37528526 | @GENE_INS | INS | 443 | 7 | Gene | gene | insulin
37528526 | @GENE_INS | INS | 614 | 7 | Gene | gene | insulin
37528526 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 692 | 25 | Disease | disease | graft-versus-host disease
37528526 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 719 | 5 | Disease | disease | xGVHD
37528526 | @GENE_CXADRP1 | CXADRP1 | 798 | 3 | Gene | gene | CAR
37528526 | @GENE_CD4 | CD4 | 812 | 3 | Gene | gene | CD4
37528526 | @GENE_CD8A | CD8A | 821 | 3 | Gene | gene | CD8
37528526 | @DISEASE_Immunologic_Deficiency_Syndromes | Immunologic Deficiency Syndromes | 956 | 15 | Disease | disease | immunodeficient
37528526 | @DISEASE_Graft_vs_Host_Disease | Graft vs Host Disease | 1018 | 5 | Disease | disease | xGVHD
37528526 | @GENE_CXADRP1 | CXADRP1 | 1095 | 3 | Gene | gene | CAR
37528526 | @GENE_CXADRP1 | CXADRP1 | 1168 | 3 | Gene | gene | CAR
37528526 | @GENE_CXADRP1 | CXADRP1 | 1282 | 3 | Gene | gene | CAR
