38516860 | Bind | KIR2DS2 | HLA-C
37591356 | Association | Neoplasms | MICA
37591356 | Positive_Correlation | PLEK2 | MMP14
37591356 | Association | MICA | MMP14
37591356 | Positive_Correlation | MICA | PLEK2
37591356 | Association | Stomach Neoplasms | MICA
37591356 | Association | Neoplasms | MMP14
37591356 | Association | Neoplasm Metastasis | Plek2
37591356 | Association | Stomach Neoplasms | Plek2
37591356 | Negative_Correlation | PLEK2 | 1300017J02Rik
37608777 | Negative_Correlation | venetoclax | BCL2
37608777 | Positive_Correlation | Azacitidine | Inflammation
37608777 | Negative_Correlation | Azacitidine | Leukemia
37608777 | Association | Leukemia Myeloid Acute | ICAM1
37608777 | Negative_Correlation | venetoclax | Leukemia Myeloid Acute
37608777 | Negative_Correlation | Azacitidine | Leukemia Myeloid Acute
37608777 | Positive_Correlation | Azacitidine | ICAM1
37608777 | Cotreatment | venetoclax | Azacitidine
37626965 | Association | Neoplasms | KLRC1
37626965 | Bind | KLRK1 | KLRC1
37626965 | Association | Neoplasms | Klrk1
37626965 | Association | Inflammation | KLRK1
37626965 | Association | Neoplasms | KLRK1
37744375 | Association | Lipopolysaccharides | Klrk1
37744375 | Positive_Correlation | Lipopolysaccharides | Bronchopulmonary Dysplasia
37744375 | Association | Il17a | Klrk1
37744375 | Association | Bronchopulmonary Dysplasia | Klrk1
37744375 | Association | Klrk1 | IL23A
37744375 | Association | Lung Injury | Klrk1
37744375 | Association | IL17A | IL23A
37744375 | Association | Lipopolysaccharides | Ulbp1
37744375 | Association | Klrk1 | MICB
37744375 | Association | MICA | Klrk1
37744375 | Positive_Correlation | Lipopolysaccharides | Il17a
37744375 | Association | Lung Injury | Il17a
37744375 | Association | Bronchopulmonary Dysplasia | Il17a
37744375 | Positive_Correlation | Lipopolysaccharides | Trp53-ps
37744375 | Association | Inflammation | IL17A
37744375 | Association | Lipopolysaccharides | Rae1
37744375 | Positive_Correlation | Lipopolysaccharides | Lung Injury
37744375 | Positive_Correlation | Lipopolysaccharides | Pneumonia
37744375 | Association | Trp53-ps | Klrk1
37801126 | Association | Neoplasms | Pvr
37801126 | Association | Neoplasms | Nectin2
37801126 | Association | Neoplasms | Mill2
37801126 | Association | Neoplasms | MICA
38035108 | Association | MICA | HLA-B
38035108 | Bind | MICA | KLRK1
38035108 | Association | Neoplasms | MICA
38043385 | Positive_Correlation | ginsenoside Rh2 | GZMB
38043385 | Association | Breast Neoplasms | GZMB
38043385 | Negative_Correlation | ginsenoside Rh2 | PDIA6
38043385 | Negative_Correlation | ginsenoside Rh2 | Neoplasm Metastasis
38043385 | Association | Breast Neoplasms | PDIA6
38043385 | Association | Neoplasm Metastasis | IFNG
38043385 | Negative_Correlation | ginsenoside Rh2 | Breast Neoplasms
38043385 | Positive_Correlation | ginsenoside Rh2 | IFNG
38043385 | Association | Breast Neoplasms | IFNG
38043385 | Negative_Correlation | ginsenoside Rh2 | MICA
38043385 | Negative_Correlation | ginsenoside Rh2 | Neoplasms
38043385 | Negative_Correlation | ginsenoside Rh2 | KLRK1
38043385 | Association | Neoplasm Metastasis | GZMB
38180524 | Association | Neoplasms | MICA
38180524 | Bind | MICA | KLRK1
38180524 | Association | Neoplasms | KLRK1
38191242 | Association | Multiple Myeloma | MICA
38191242 | Negative_Correlation | MICA | KLRK1
38215755 | Association | Teratoma | CD55
38215755 | Association | Teratoma | HLA-E
38215755 | Association | Teratoma | CD59
38236249 | Association | Melanoma | PDCD1
38236249 | Association | Neoplasms | VEGFA
38236249 | Positive_Correlation | pembrolizumab | Angina Stable
38236249 | Association | Neoplasms | CXCL10
38236249 | Negative_Correlation | pembrolizumab | PDCD1
38236249 | Negative_Correlation | pembrolizumab | Melanoma
38245792 | Association | Urinary Bladder Neoplasms | Il2rg
38245792 | Association | Urinary Bladder Neoplasms | NCAM1
38245792 | Association | Urinary Bladder Neoplasms | KIR2DL4
38245792 | Association | Urinary Bladder Neoplasms | IL2RA
38245792 | Association | Urinary Bladder Neoplasms | CD69
38245792 | Association | Urinary Bladder Neoplasms | KLRK1
38245792 | Association | Urinary Bladder Neoplasms | FCGR3A
38245792 | Association | Urinary Bladder Neoplasms | NCR1
38245792 | Association | Urinary Bladder Neoplasms | NCR3
38245792 | Association | Urinary Bladder Neoplasms | NCR3LG1
38279325 | Association | COVID-19 | HLA-A
38279325 | Association | COVID-19 | HLA-DQB1
38292490 | Association | Pulmonary Fibrosis | CD8A
38312438 | Positive_Correlation | Clozapine | Constipation
38331849 | Association | CD70 | NR1I3
38331849 | Association | IL15 | NR1I3
38331849 | Association | Neoplasms | Cd70
38331849 | Association | Colorectal Neoplasms | CD70
38331849 | Association | IL15 | CD70
38331849 | Association | Neoplasms | IL15
38331849 | Association | Neoplasms | CD70
38331849 | Association | Carcinoma Pancreatic Ductal | CD70
38331849 | Association | Neoplasms | NR1I3
38331849 | Positive_Correlation | Inflammation | IL15
38543955 | Negative_Correlation | Polylactic Acid-Polyglycolic Acid Copolymer | Disease
38581915 | Association | IFNG | IL15RA
38581915 | Association | Alopecia Areata | MICA
38581915 | Association | Alopecia Areata | IL15
38581915 | Association | Alopecia Areata | IFNG
38581915 | Negative_Correlation | Alopecia Areata | IL15RA
38589549 | Association | HLA-C | TRBV20OR9-2
38615042 | Association | Neoplasms | TRBV20OR9-2
38615042 | Association | COVID-19 | TRBV20OR9-2
38615042 | Bind | HLA-C | TRBV20OR9-2
9071023 | Association | HLA-B | TNF
32035130 | Association | Carcinoma Hepatocellular | KLRC1
32035130 | Negative_Correlation | SB 203580 | Mapk14
32035130 | Association | Carcinoma Hepatocellular | 1300017J02Rik
32035130 | Association | Neoplasms | KLRC1
32035130 | Association | Carcinoma Hepatocellular | Mill2
32035130 | Association | galactopyranosyl-1-4-paragloboside | Mapk14
32035130 | Negative_Correlation | SB 203580 | galactopyranosyl-1-4-paragloboside
32035130 | Association | Carcinoma Hepatocellular | AGR2
32209637 | Association | Neoplasms | JAK1
32209637 | Negative_Correlation | Panobinostat | Neoplasms
32209637 | Association | Neoplasm Metastasis | JAK1
32209637 | Positive_Correlation | KLRK1 | MICB
32209637 | Association | Neoplasms | MICB
32209637 | Negative_Correlation | Panobinostat | Neoplasm Metastasis
32209637 | Positive_Correlation | MICA | KLRK1
32209637 | Negative_Correlation | Panobinostat | HDAC9
32209637 | Association | Neoplasms | KLRK1
32209637 | Association | IFNG | JAK1
32209637 | Association | Neoplasms | MICA
32209637 | Association | Neoplasms | HDAC9
32209637 | Negative_Correlation | Panobinostat | Melanoma
32517713 | Association | Melanoma | KLRK1
32517713 | Association | Neoplasms | KLRK1
32517713 | Association | Melanoma | CD274
32518090 | Bind | KLRK1 | MICB
32518090 | Association | Neoplasms | MICB
32518090 | Association | Neoplasms | MICA
32518090 | Bind | MICA | 1300017J02Rik
32518090 | Positive_Correlation | RFXANK | CD8A
32518090 | Association | Neoplasms | 1300017J02Rik
32518090 | Bind | MICA | KLRK1
32518090 | Association | Neoplasms | KLRK1
32582150 | Bind | MICA | KLRK1
32582150 | Association | Communicable Diseases | MICA
32582150 | Bind | KLRK1 | 1300017J02Rik
32582150 | Association | Neoplasms | 1300017J02Rik
32582150 | Bind | KLRK1 | KLRC1
32582150 | Association | Autoimmune Diseases | MICA
33037097 | Association | Neoplasms | NR1I3
33037097 | Association | p.K40T | p.R38S
33037097 | Bind | MICA | KLRK1
33037097 | Association | Neoplasms | p.R38S
33037097 | Association | MICA | NR1I3
33037097 | Association | Neoplasms | IFNG
33037097 | Association | Neoplasms | MICA
33037097 | Association | MICA | IFNG
33037097 | Positive_Correlation | IFNG | NR1I3
33484773 | Bind | KLRK1 | ULBP1
33484773 | Association | Carcinogenesis | KLRK1
33484773 | Association | Neoplasms | MICA
33484773 | Association | Neoplasms | KLRK1
33484773 | Bind | KLRK1 | ULBP2
33484773 | Association | Inflammation | CTNNB1
33484773 | Association | Carcinoma Hepatocellular | MICB
33484773 | Association | Carcinoma Hepatocellular | ULBP1
33484773 | Association | Carcinoma Hepatocellular | MICA
33484773 | Association | Carcinoma Hepatocellular | KLRK1
33484773 | Association | Neoplasms | MICB
33484773 | Association | Ctnnb1 | Tcf4
33484773 | Negative_Correlation | Ctnnb1 | KLRK1
33484773 | Negative_Correlation | Ctnnb1 | Rae1
33484773 | Association | Neoplasms | CTNNB1
33484773 | Negative_Correlation | CTNNB1 | ULBP2
33484773 | Negative_Correlation | CTNNB1 | KLRK1
33484773 | Bind | MICA | KLRK1
33484773 | Association | Carcinoma Hepatocellular | ULBP2
33484773 | Association | Neoplasms | KLRD1
33484773 | Association | Carcinoma Hepatocellular | CTNNB1
33484773 | Negative_Correlation | CTNNB1 | ULBP1
33484773 | Bind | KLRK1 | MICB
33972238 | Negative_Correlation | Gentamicins | Neonatal Sepsis
33972238 | Cotreatment | Amikacin | Fosfomycin
33972238 | Negative_Correlation | Amikacin | Neonatal Sepsis
33972238 | Cotreatment | Ampicillin | Gentamicins
33972238 | Negative_Correlation | Ampicillin | Neonatal Sepsis
33972238 | Negative_Correlation | Fosfomycin | Neonatal Sepsis
34359073 | Positive_Correlation | romidepsin | MICB
34359073 | Negative_Correlation | romidepsin | Leukemia Myeloid Acute
34359073 | Association | Leukemia Myeloid Acute | MICB
34502191 | Association | Carcinoma Hepatocellular | DFNA34
34502191 | Association | MICA | DFNA34
34502191 | Association | Carcinoma Hepatocellular | KLRK1
34502191 | Association | Neoplasms | DFNA34
34502191 | Association | Carcinoma Hepatocellular | MICA
34502191 | Association | DFNA34 | KLRK1
34502191 | Association | Neoplasm Metastasis | DFNA34
34599028 | Association | Breast Neoplasms | Erbb2
34599028 | Association | LOC105243590 | Erbb2
34599028 | Association | Glioblastoma | ERBB2
34599028 | Association | Breast Neoplasms | Klrk1
34599028 | Positive_Correlation | LOC105243590 | Fcgr3
34599028 | Association | Erbb2 | Klrk1
34599028 | Association | Neoplasms | Nr1i3
34599028 | Negative_Correlation | Erbb2 | KLRK1
34599028 | Bind | Mill2 | Klrk1
34599028 | Association | Cd247 | KLRK1
34599028 | Association | MICA | Klrk1
34599028 | Negative_Correlation | ERBB2 | NR1I3
34599028 | Negative_Correlation | ERBB2 | KLRK1
34599028 | Negative_Correlation | Nr1i3 | Erbb2
34599028 | Association | Neoplasms | Klrk1
34599028 | Bind | Nr1i3 | Klrk1
34599028 | Negative_Correlation | Cd247 | ERBB2
34599028 | Association | Neoplasms | Erbb2
34691037 | Bind | KLRK1 | CD244
34691037 | Positive_Correlation | KLRK1 | IFNG
34691037 | Association | Neoplasms | KLRK1
34691037 | Association | KLRK1 | NCAM1
34691037 | Positive_Correlation | ITGAL | CD244
34691037 | Positive_Correlation | KLRK1 | ITGAL
34691037 | Association | Graft vs Host Disease | KLRK1
35078573 | Negative_Correlation | Valproic Acid | Melanoma
35078573 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | MICB
35078573 | Association | Melanoma | MAPK1
35078573 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | MAPK1
35078573 | Positive_Correlation | Valproic Acid | MICA
35078573 | Positive_Correlation | Valproic Acid | KLRC1
35078573 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | MAP2K7
35078573 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | Valproic Acid
35078573 | Association | KLRC1 | MAPK1
35078573 | Association | Valproic Acid | MAPK1
35078573 | Positive_Correlation | Valproic Acid | MICB
35078573 | Association | Valproic Acid | MAPK3
35078573 | Association | Melanoma | KLRC1
35078573 | Association | Valproic Acid | MAP2K7
35078573 | Negative_Correlation | 2-(2-amino-3-methoxyphenyl)-4H-1-benzopyran-4-one | MICA
35078573 | Association | KLRC1 | MAP2K7
35437997 | Association | Eosinophilic Esophagitis | OCLN
35437997 | Association | Eosinophilic Esophagitis | TP53
35437997 | Association | Eosinophilic Esophagitis | TFF3
35437997 | Association | Eosinophilic Esophagitis | EGFR
35437997 | Association | Barrett Esophagus | HLA-C
35437997 | Association | Barrett Esophagus | OCLN
35437997 | Positive_Correlation | IL9 | MUC5AC
35437997 | Association | Barrett Esophagus | TP53
35437997 | Positive_Correlation | Eosinophilic Esophagitis | CDX1
35437997 | Positive_Correlation | Eosinophilic Esophagitis | ERBB3
35437997 | Positive_Correlation | IL9 | KRT18
35437997 | Positive_Correlation | IL9 | TFF1
35437997 | Association | Eosinophilic Esophagitis | MICA
35437997 | Association | Barrett Esophagus | TFF3
35437997 | Association | Barrett Esophagus | MICB
35437997 | Association | Barrett Esophagus | CDX1
35437997 | Association | Barrett Esophagus | ERBB3
35437997 | Association | Barrett Esophagus | MICA
35437997 | Association | Barrett Esophagus | IL9
35437997 | Association | GATA4 | IL9
35437997 | Association | Eosinophilic Esophagitis | CDKN2A
35437997 | Positive_Correlation | IL9 | SOX9
35437997 | Association | Eosinophilic Esophagitis | IL9
35437997 | Association | Barrett Esophagus | ERBIN
35437997 | Association | Eosinophilic Esophagitis | MUC4
35437997 | Association | Eosinophilic Esophagitis | MUC2
35437997 | Positive_Correlation | Eosinophilic Esophagitis | ERBIN
35437997 | Positive_Correlation | IL9 | KRT8
35437997 | Association | Eosinophilic Esophagitis | MICB
35437997 | Association | Barrett Esophagus | CDKN2A
35437997 | Association | Barrett Esophagus | EGFR
35525711 | Association | HLA-B | MICB
35525711 | Association | MICA | HLA-B
35594287 | Association | Varicose Veins | MICB
35780757 | Association | MICA | KLRC1
35780757 | Bind | KLRK1 | KLRC1
35780757 | Association | Neoplasms | MICA
35780757 | Association | Adenocarcinoma of Lung | MICA
35780757 | Association | Neoplasms | KLRC1
35780757 | Association | Adenocarcinoma of Lung | KLRC1
35780757 | Association | Neoplasms | KLRK1
35954489 | Association | Neoplasms | CXCR3
35954489 | Association | Neoplasms | CCL8
35954489 | Bind | CCR5 | CCL8
35954489 | Association | Neoplasms | CCR5
35954489 | Association | Pancreatic Neoplasms | CXCR4
35954489 | Association | CXCL10 | CXCR4
35967081 | Bind | KLRK1 | Mill2
35967081 | Association | Neoplasms | MICA
35967081 | Bind | MICA | KLRK1
35967081 | Association | Neoplasms | MICB
36112544 | Positive_Correlation | PDCD1 | CXCR4
36112544 | Positive_Correlation | CD274 | CXCR4
36112544 | Positive_Correlation | TIGIT | CXCR4
36112544 | Association | Neoplasm Metastasis | CXCR4
36112544 | Association | Carcinoma Pancreatic Ductal | CXCR4
36224607 | Cotreatment | baicalin | Azithromycin
36419107 | Association | CXCL12 | CXCR4
36419107 | Association | Neoplasms | CD8A
36419107 | Association | Thyroid Neoplasms | CD8A
36419107 | Association | Thyroid Neoplasms | CXCL12
36419107 | Association | Thyroid Neoplasms | CXCR4
36419107 | Association | Lymphatic Metastasis | CXCR4
36419107 | Association | Neoplasms | CXCL12
36419107 | Association | Neoplasms | CXCR4
36419107 | Association | CXCR4 | CD8A
36419107 | Association | CXCL12 | CD8A
36439161 | Positive_Correlation | Cxcr4 | Ido1
36439161 | Positive_Correlation | Cd86 | Ido1
36439161 | Association | Cd4 | Ido1
36439161 | Positive_Correlation | H2 | Ido1
36439161 | Association | Cd44 | Ido1
36439161 | Positive_Correlation | Ccr7 | Ido1
36439161 | Association | Infections | Cd4
36439161 | Positive_Correlation | Cd80 | Ido1
36439161 | Association | Ido1 | Sell
36439161 | Association | Alveolar echinococcosis | Ido1
36443691 | Positive_Correlation | Tuberculosis | GZMA
36443691 | Negative_Correlation | Coinfection | ANXA5
36443691 | Association | HIV Infections | CD4
36443691 | Association | Coinfection | CCR5
36443691 | Positive_Correlation | Coinfection | FAS
36443691 | Positive_Correlation | Coinfection | GZMA
36443691 | Association | Coinfection | CXCR4
36481267 | Association | Hidradenitis Suppurativa | CD8A
36481267 | Association | Abscess | TNFSF13B
36481267 | Association | KLF2 | TNFSF13B
36481267 | Association | TNFSF13B | CYBC1
36481267 | Association | TNFSF13B | PRKCB
36481267 | Association | TNFSF13B | CD53
36481267 | Association | TNFSF13B | CXCR4
36481267 | Association | Reactive Oxygen Species | TNFSF13B
36481267 | Association | Hidradenitis Suppurativa | TNFSF13B
36481267 | Positive_Correlation | TNFSF13B | CSF3
36481267 | Association | TNFSF13B | NCF1
36481267 | Association | TNFSF13B | CD37
36481267 | Association | TNFSF13B | SELL
36481267 | Association | TNFSF13B | BST2
36481267 | Association | Hidradenitis Suppurativa | TNFRSF13C
36521927 | Positive_Correlation | entinostat | TAP1
36521927 | Association | Neuroblastoma | MICA
36521927 | Association | Neuroblastoma | PRAME
36521927 | Negative_Correlation | entinostat | Neoplasms
36521927 | Association | Neoplasms | TAP1
36521927 | Negative_Correlation | entinostat | Neuroblastoma
36521927 | Positive_Correlation | entinostat | MICA
36521927 | Association | Neuroblastoma | TAP2
36521927 | Association | Neuroblastoma | MICB
36521927 | Positive_Correlation | entinostat | TAP2
36521927 | Association | Neuroblastoma | TAP1
36521927 | Positive_Correlation | entinostat | MICB
36521927 | Association | Neoplasms | PRAME
36521927 | Association | Neoplasms | TAP2
36548255 | Association | Multiple Sclerosis | HLA-C
36548255 | Association | Multiple Sclerosis | MICB
36754452 | Association | EZH2 | MICB
36754452 | Association | DNMT1 | NFKB1
36754452 | Association | MICB | NFKB1
36754452 | Association | MICA | DNMT1
36754452 | Association | Neoplasms | KLRK1
36754452 | Negative_Correlation | (arginine)9-cysteinyl-glutaminyl-cysteinyl-arginyl-arginyl-lysyl-asparagine | Neoplasms
36754452 | Association | EZH2 | NFKB1
36754452 | Association | Inflammation | DNMT1
36754452 | Association | MICA | NFKB1
36754452 | Association | Inflammation | NFKB1
36754452 | Association | Inflammation | MICB
36754452 | Association | Neoplasms | MICB
36754452 | Association | Inflammation | EZH2
36754452 | Association | Inflammation | MICA
36754452 | Association | MICA | EZH2
36754452 | Negative_Correlation | (arginine)9-cysteinyl-glutaminyl-cysteinyl-arginyl-arginyl-lysyl-asparagine | DNMT1
36754452 | Association | DNMT1 | MICB
36789975 | Association | Hypoxia | HIF1A
36789975 | Positive_Correlation | AKT1 | CXCR4
36789975 | Positive_Correlation | HIF1A | CXCR4
36789975 | Association | Hypoxia Brain | MTOR
36789975 | Positive_Correlation | AKT1 | HIF1A
36789975 | Positive_Correlation | MTOR | HIF1A
36789975 | Negative_Correlation | plerixafor | Lymphoma Large B-Cell Diffuse
36789975 | Association | Lymphoma Large B-Cell Diffuse | HIF1A
36789975 | Association | Hypoxia Brain | CXCR4
36789975 | Association | Hypoxia Brain | HIF1A
36789975 | Association | plerixafor | HIF1A
36789975 | Negative_Correlation | plerixafor | CXCR4
36789975 | Association | Lymphoma Large B-Cell Diffuse | CXCR4
36789975 | Positive_Correlation | MTOR | CXCR4
36789975 | Association | AKT1 | MTOR
36789975 | Association | Hypoxia | MTOR
36789975 | Association | Hypoxia | CXCR4
36789975 | Association | Hypoxia | AKT1
36898046 | Association | Virus Diseases | MICB
36958849 | Association | Autoimmune Diseases | rs1051792
36958849 | Negative_Correlation | Colorectal Neoplasms | rs2596542
36958849 | Association | Autoimmune Diseases | rs1131896
36958849 | Association | Neoplasms | rs1131896
36958849 | Association | Autoimmune Diseases | rs2596542
36958849 | Association | Neoplasms | rs2395029
36958849 | Association | Autoimmune Diseases | rs1063635
36958849 | Association | Autoimmune Diseases | MICB
36958849 | Association | Autoimmune Diseases | rs3763288
36958849 | Association | Neoplasms | P3H3
36958849 | Association | Colorectal Neoplasms | rs2395029
36958849 | Association | Colorectal Neoplasms | MICA
36958849 | Association | Colorectal Neoplasms | rs1131896
36958849 | Association | Colorectal Neoplasms | rs1051792
36958849 | Association | Autoimmune Diseases | rs2395029
36958849 | Association | Autoimmune Diseases | rs2516448
36958849 | Association | Autoimmune Diseases | MICA
36958849 | Association | Neoplasms | MICA
36958849 | Association | Colorectal Neoplasms | P3H3
36958849 | Association | Colorectal Neoplasms | MICB
36958849 | Association | Neoplasms | MICB
36958849 | Association | Neoplasms | HCP5
36958849 | Association | Colorectal Neoplasms | HCP5
36958849 | Association | Autoimmune Diseases | HCP5
37359242 | Positive_Correlation | binimetinib | Gastrointestinal Diseases
37359242 | Association | Calcinosis Cutis | PRRT2
37359242 | Negative_Correlation | binimetinib | Uveal melanoma
37359242 | Positive_Correlation | binimetinib | Exanthema
37359242 | Association | Uveal melanoma | PRRT2
37359242 | Positive_Correlation | binimetinib | Fatigue
37359242 | Negative_Correlation | sotrastaurin | PRRT2
37359242 | Negative_Correlation | sotrastaurin | Uveal melanoma
37359242 | Positive_Correlation | sotrastaurin | Vomiting
37359242 | Positive_Correlation | Uveal melanoma | SUCLG1
37359242 | Positive_Correlation | sotrastaurin | Fatigue
37359242 | Positive_Correlation | sotrastaurin | Nausea
37359242 | Negative_Correlation | binimetinib | PRRT2
37359242 | Negative_Correlation | sotrastaurin | MAP2K7
37359242 | Positive_Correlation | binimetinib | Nausea
37359242 | Association | PRRT2 | MAP2K7
37359242 | Positive_Correlation | binimetinib | Vomiting
37359242 | Positive_Correlation | sotrastaurin | Exanthema
37359242 | Positive_Correlation | sotrastaurin | Gastrointestinal Diseases
37359242 | Cotreatment | sotrastaurin | binimetinib
37359242 | Negative_Correlation | binimetinib | MAP2K7
37389656 | Association | CD109 | CLPTM1L
37389656 | Bind | PIGT | CLPTM1L
37389656 | Association | GPI | MELTF
37389656 | Association | MELTF | CLPTM1L
37389656 | Association | GPI | CLPTM1L
37389656 | Association | GPI | CD59
37389656 | Association | CLPTM1L | CD59
37389656 | Association | CD109 | GPI
37389656 | Negative_Correlation | US9 | CLPTM1L
37389656 | Negative_Correlation | US9 | MELTF
37492198 | Association | Diabetic Nephropathies | IGF1
37492198 | Association | Diabetic Nephropathies | GZMA
37492198 | Association | Diabetic Nephropathies | CLIC5
37492198 | Association | Diabetic Nephropathies | MICB
37492198 | Association | Diabetic Nephropathies | FCN1
37492198 | Association | Diabetic Nephropathies | CTSS
37674990 | Association | Neoplasms | KLRC1
37674990 | Association | Neoplasms | KLRK1
37674990 | Bind | MICA | KLRK1
37778428 | Bind | KLRK1 | ULBP3
37778428 | Bind | KLRK1 | RAET1G
37778428 | Association | MICA | KLRK1
37778428 | Bind | KLRK1 | ULBP1
37778428 | Bind | KLRK1 | ULBP2
37778428 | Bind | KLRK1 | MICB
37778428 | Association | Autoimmune Diseases | KLRK1
37778428 | Bind | RAET1E | KLRK1
37778428 | Bind | RAET1L | KLRK1
37958261 | Positive_Correlation | Severe Dengue | rs3132468
37958261 | Positive_Correlation | Dengue | rs3740360
37958261 | Association | Dengue | PLCE1
37958261 | Positive_Correlation | Severe Dengue | rs3740360
37958261 | Association | Dengue | MICB
37958261 | Association | Severe Dengue | PLCE1
37958261 | Positive_Correlation | Dengue | rs3132468
37958261 | Association | Dengue | rs3765524
37958261 | Association | Severe Dengue | MICB
38146367 | Association | HIV Infections | HLA-C
38146367 | Negative_Correlation | HIV Infections | rs2395029
38146367 | Association | HIV Infections | HCP5
38296018 | Association | Platinum | AKT1
38296018 | Negative_Correlation | pterostilbene | Uterine Cervical Neoplasms
38296018 | Association | Uterine Cervical Neoplasms | AKT1
38296018 | Association | Platinum | Neoplasms
38296018 | Negative_Correlation | Platinum | Uterine Cervical Neoplasms
38296018 | Association | pterostilbene | AKT1
38378397 | Association | Multiple Myeloma | KLRK1
38378397 | Bind | KLRK1 | MICB
38378397 | Bind | MICA | KLRK1
38454570 | Negative_Correlation | MICA | KLRK1
38454570 | Association | Endometriosis | MICA
38454570 | Negative_Correlation | Endometriosis | FCGR3A
38454570 | Association | Endometriosis | IFNG
38454570 | Association | Endometriosis | LAMP1
38454570 | Positive_Correlation | MICA | IFNG
38474281 | Association | Arthritis Rheumatoid | MICA
38474281 | Association | Psoriasis | MICA
38474281 | Association | Lupus Erythematosus Systemic | MICA
38474281 | Bind | MICA | KLRK1
38474281 | Association | Inflammation | MICA
38550583 | Association | Neoplasms | MICA
38550583 | Positive_Correlation | Infections | MICB
38550583 | Positive_Correlation | Infections | MICA
38598902 | Association | Neoplasms | KLRK1
38598902 | Association | Neoplasms | NR1I3
38598902 | Association | KLRK1 | NR1I3
38598902 | Bind | MICA | KLRK1
38598902 | Association | Neoplasms | MICB
38598902 | Bind | KLRK1 | MICB
16908015 | Association | UBE2I | IPO13
16908015 | Association | Ube2i | IPO13
19272828 | Association | Pulmonary Alveolar Proteinosis | Sftpc
19272828 | Positive_Correlation | Reactive Oxygen Species | Myc
19272828 | Association | Brain Injuries Diffuse | Gapdh
19272828 | Association | Hyperoxia | Ipo8
19272828 | Negative_Correlation | Hyperoxia | Cldn1
19272828 | Association | Hyperoxia | Cyp2f2
19272828 | Positive_Correlation | Oxygen | Brain Injuries Diffuse
19272828 | Negative_Correlation | Hyperoxia | B2m
19272828 | Association | Pulmonary Alveolar Proteinosis | Lyz2
19272828 | Association | Pulmonary Alveolar Proteinosis | Cldn1
19272828 | Association | Pulmonary Alveolar Proteinosis | Tjp1
19272828 | Association | Pulmonary Alveolar Proteinosis | Cyp2f2
19272828 | Negative_Correlation | Hyperoxia | Sftpc
19272828 | Association | Hyperoxia | Gapdh
